'BUY_4CF99',326,10,'Low','Heavy','Advanced',29.50,'MKT_SOB5D','VEND_0DY9A'
'BUY_SAR2O',166,40,'Medium','Regular','Basic',71.50,'MKT_3VNMP','VEND_2JDYC'
'BUY_9KX6B',81,96,'Medium','One-time','Basic',54.50,'MKT_3Y1WX','VEND_JAI03'
'BUY_I28N8',10,74,'Medium','One-time','Basic',27.40,'MKT_QC5NK','VEND_HPORG'
'BUY_DGBXD',94,30,'Low','One-time','Advanced',94.20,'MKT_46CZQ','VEND_7BVLA'
'BUY_MHQ15',109,84,'Variable','One-time','Basic',95.60,'MKT_WI6TW','VEND_0P77N'
'BUY_BLBJ8',155,64,'Medium','Heavy','Advanced',43.90,'MKT_YHQMT','VEND_99LLG'
'BUY_71I6P',282,56,'High','Occasional','Advanced',25.60,'MKT_0OT4E','VEND_HB03F'
'BUY_T8DBX',39,53,'Low','Regular','Basic',37.30,'MKT_0BXUU','VEND_G3QSJ'
'BUY_XWK4E',224,56,'Low','One-time','Basic',26.00,'MKT_AG802','VEND_MH6BR'
'BUY_869KG',356,25,'Variable','Heavy','Basic',25.90,'MKT_74TFR','VEND_Y4G4K'
'BUY_26UYS',309,66,'Variable','Occasional','Basic',31.70,'MKT_1L66O','VEND_F3R8M'
'BUY_K4XCU',42,94,'Low','One-time','Basic',53.80,'MKT_HPCCE','VEND_A8PJP'
'BUY_CRCNM',80,16,'High','Regular','Basic',58.50,'MKT_E9VVU','VEND_EU7N8'
'BUY_UDZ7W',185,15,'High','Regular','Advanced',19.50,'MKT_14CBK','VEND_4955Z'
'BUY_OA5HA',196,88,'High','Heavy','Advanced',23.80,'MKT_BR8QV','VEND_LFOOB'
'BUY_986MO',93,64,'Variable','Heavy','Advanced',5.40,'MKT_I1K8Q','VEND_5E5BI'
'BUY_3AY2E',54,79,'Low','Heavy','Advanced',58.40,'MKT_XC7VE','VEND_MJ0V4'
'BUY_6X0TN',93,17,'Medium','Occasional','Advanced',20.20,'MKT_2DPY3','VEND_S39GP'
'BUY_GVS1N',295,45,'Variable','Regular','Basic',27.20,'MKT_M3W7O','VEND_ESXLK'
'BUY_WSBDO',276,97,'Variable','Regular','Basic',71.20,'MKT_OM8B0','VEND_10I0I'
'BUY_FI0MQ',69,4,'High','One-time','Basic',74.30,'MKT_I46S7','VEND_8PM0I'
'BUY_OX7H0',365,43,'High','Regular','Basic',0.60,'MKT_JS1TD','VEND_DWK6P'
'BUY_77R2C',180,31,'Variable','One-time','Basic',85.20,'MKT_8V7FP','VEND_OLVKK'
'BUY_69YD4',266,54,'Low','Occasional','Basic',23.70,'MKT_56O5U','VEND_T1ONE'
'BUY_03ADE',137,41,'Medium','Regular','Basic',87.90,'MKT_K97OC','VEND_65E0M'
'BUY_0AATW',68,89,'Low','Regular','Advanced',37.40,'MKT_PWKQH','VEND_XPWS7'
'BUY_WNYFK',310,10,'Low','One-time','Advanced',53.50,'MKT_JEXE0','VEND_8VNMI'
'BUY_IS3K8',216,47,'Low','Heavy','Basic',33.40,'MKT_26MCX','VEND_SSUJ9'
'BUY_APB66',192,46,'Variable','One-time','Advanced',83.10,'MKT_W8183','VEND_PJ7Y1'
'BUY_SB1O8',59,72,'Medium','One-time','Advanced',15.70,'MKT_VY3TS','VEND_EURT3'
'BUY_L4YJM',359,94,'High','Regular','Advanced',88.80,'MKT_JGGPB','VEND_6FBFK'
'BUY_51HXT',131,54,'High','Regular','Basic',83.90,'MKT_Q3OLN','VEND_PP1M7'
'BUY_IZMQD',152,80,'High','One-time','Advanced',98.90,'MKT_BC3G3','VEND_BUXO8'
'BUY_K5TH6',347,97,'Low','Heavy','Basic',73.70,'MKT_SZ179','VEND_GE0HY'
