'MKT_SOB5D','Market_84','Forum',168,'Large',5388,38982,232,73577,34839,76.300,12.800,'{"status": "Under Investigation", "trust_level": "High", "reputation_score": 91.100, "compliance_metrics": {"penalty_count": 1, "warning_count": 6, "rule_break_count": 10, "restriction_level": "Partial"}, "community_trust_score": 35.80, "dispute_resolution_score": 3.4}'
'MKT_3VNMP','Market_35','Service',745,'Small',5691,38209,59,75138,34217,27.300,97.600,'{"status": "Under Investigation", "trust_level": "Low", "reputation_score": 75.700, "compliance_metrics": {"penalty_count": 0, "warning_count": 4, "rule_break_count": 4, "restriction_level": "Full"}, "community_trust_score": 64.00, "dispute_resolution_score": 3.2}'
'MKT_3Y1WX','Market_91','Forum',579,'Medium',3093,43189,185,60697,38732,4.300,89.400,'{"status": "Suspended", "trust_level": "Medium", "reputation_score": 84.400, "compliance_metrics": {"penalty_count": 1, "warning_count": 7, "rule_break_count": 7, "restriction_level": "Partial"}, "community_trust_score": 95.20, "dispute_resolution_score": 33.2}'
'MKT_QC5NK','Market_43','Forum',113,'Medium',8790,30261,76,41494,3694,78.000,53.600,'{"status": "Active", "trust_level": "High", "reputation_score": 36.500, "compliance_metrics": {"penalty_count": 3, "warning_count": 1, "rule_break_count": 16, "restriction_level": "Full"}, "community_trust_score": 38.40, "dispute_resolution_score": 33.6}'
'MKT_46CZQ','Market_6','Marketplace',564,'Small',7236,88999,798,93731,40441,17.900,9.600,'{"status": "Under Investigation", "trust_level": "High", "reputation_score": 65.200, "compliance_metrics": {"penalty_count": 1, "warning_count": 6, "rule_break_count": 12, "restriction_level": "Full"}, "community_trust_score": 66.10, "dispute_resolution_score": 44.9}'
'MKT_04SBC','Market_55','Service',650,'Small',1104,17572,671,95022,15540,94.900,77.000,'{"status": "Active", "trust_level": "High", "reputation_score": 61.600, "compliance_metrics": {"penalty_count": 0, "warning_count": 2, "rule_break_count": 14, "restriction_level": "Partial"}, "community_trust_score": 48.10, "dispute_resolution_score": 44.0}'
'MKT_WI6TW','Market_24','Forum',550,'Large',4456,7273,455,16486,45982,55.400,30.800,'{"status": "Active", "trust_level": "Low", "reputation_score": 57.300, "compliance_metrics": {"penalty_count": 4, "warning_count": 1, "rule_break_count": 9, "restriction_level": "Partial"}, "community_trust_score": 25.60, "dispute_resolution_score": 63.6}'
'MKT_YHQMT','Market_11','Marketplace',495,'Large',1672,67384,638,30001,21500,21.100,7.900,'{"status": "Suspended", "trust_level": "Low", "reputation_score": 35.300, "compliance_metrics": {"penalty_count": 2, "warning_count": 9, "rule_break_count": 13, "restriction_level": "Partial"}, "community_trust_score": 58.10, "dispute_resolution_score": 36.3}'
'MKT_VTIB5','Market_47','Forum',46,'Large',5450,67060,646,34344,16077,7.300,53.300,'{"status": "Suspended", "trust_level": "Unknown", "reputation_score": 2.200, "compliance_metrics": {"penalty_count": 5, "warning_count": 3, "rule_break_count": 7, "restriction_level": "Partial"}, "community_trust_score": 19.20, "dispute_resolution_score": 93.2}'
'MKT_0OT4E','Market_77','Marketplace',848,'Large',2641,70787,350,23728,47293,85.100,35.100,'{"status": "Active", "trust_level": "High", "reputation_score": 39.300, "compliance_metrics": {"penalty_count": 2, "warning_count": 9, "rule_break_count": 9, "restriction_level": "Partial"}, "community_trust_score": 76.90, "dispute_resolution_score": 65.3}'
'MKT_0BXUU','Market_87','Exchange',753,'Small',100,47177,801,79617,39340,82.900,20.700,'{"status": "Under Investigation", "trust_level": "Medium", "reputation_score": 14.200, "compliance_metrics": {"penalty_count": 5, "warning_count": 5, "rule_break_count": 17, "restriction_level": "Partial"}, "community_trust_score": 62.90, "dispute_resolution_score": 87.3}'
'MKT_AG802','Market_88','Forum',330,'Large',5697,95852,351,50812,36397,55.100,87.500,'{"status": "Under Investigation", "trust_level": "Medium", "reputation_score": 69.300, "compliance_metrics": {"penalty_count": 4, "warning_count": 1, "rule_break_count": 15, "restriction_level": "Full"}, "community_trust_score": 57.70, "dispute_resolution_score": 76.2}'
'MKT_1L66O','Market_91','Marketplace',657,'Mega',8528,22957,667,79107,9562,2.200,36.600,'{"status": "Closed", "trust_level": "Unknown", "reputation_score": 64.900, "compliance_metrics": {"penalty_count": 5, "warning_count": 1, "rule_break_count": 8, "restriction_level": "Full"}, "community_trust_score": 22.30, "dispute_resolution_score": 27.4}'
'MKT_HPCCE','Market_47','Service',94,'Mega',310,10583,797,52136,48595,84.300,45.500,'{"status": "Suspended", "trust_level": "High", "reputation_score": 5.700, "compliance_metrics": {"penalty_count": 2, "warning_count": 10, "rule_break_count": 4, "restriction_level": "Partial"}, "community_trust_score": 78.70, "dispute_resolution_score": 25.0}'
'MKT_E9VVU','Market_23','Forum',511,'Medium',6718,81607,52,43179,48345,85.500,31.800,'{"status": "Suspended", "trust_level": "Unknown", "reputation_score": 1.100, "compliance_metrics": {"penalty_count": 0, "warning_count": 3, "rule_break_count": 11, "restriction_level": "Full"}, "community_trust_score": 16.70, "dispute_resolution_score": 43.6}'
'MKT_14CBK','Market_6','Marketplace',808,'Small',5223,83307,750,33460,42936,55.600,39.600,'{"status": "Suspended", "trust_level": "Unknown", "reputation_score": 85.300, "compliance_metrics": {"penalty_count": 0, "warning_count": 5, "rule_break_count": 6, "restriction_level": "Partial"}, "community_trust_score": 26.30, "dispute_resolution_score": 71.7}'
'MKT_BR8QV','Market_34','Exchange',615,'Small',9410,12201,888,38758,20280,3.500,44.600,'{"status": "Active", "trust_level": "Medium", "reputation_score": 35.900, "compliance_metrics": {"penalty_count": 4, "warning_count": 7, "rule_break_count": 19, "restriction_level": "Full"}, "community_trust_score": 98.90, "dispute_resolution_score": 1.9}'
'MKT_I1K8Q','Market_9','Forum',918,'Large',5572,87020,360,91855,11047,31.700,51.600,'{"status": "Active", "trust_level": "Low", "reputation_score": 55.600, "compliance_metrics": {"penalty_count": 2, "warning_count": 5, "rule_break_count": 2, "restriction_level": "Full"}, "community_trust_score": 60.50, "dispute_resolution_score": 64.1}'
'MKT_XC7VE','Market_19','Service',895,'Small',7202,3105,214,4699,25491,27.500,53.400,'{"status": "Suspended", "trust_level": "Medium", "reputation_score": 28.400, "compliance_metrics": {"penalty_count": 4, "warning_count": 10, "rule_break_count": 2, "restriction_level": "Full"}, "community_trust_score": 91.00, "dispute_resolution_score": 35.1}'
'MKT_2DPY3','Market_74','Service',219,'Large',2128,69985,661,98326,38006,93.100,80.100,'{"status": "Closed", "trust_level": "Low", "reputation_score": 59.900, "compliance_metrics": {"penalty_count": 0, "warning_count": 0, "rule_break_count": 4, "restriction_level": "Full"}, "community_trust_score": 78.80, "dispute_resolution_score": 36.6}'
'MKT_M3W7O','Market_53','Marketplace',318,'Medium',66,79943,807,29873,11741,79.700,8.800,'{"status": "Closed", "trust_level": "Unknown", "reputation_score": 75.200, "compliance_metrics": {"penalty_count": 1, "warning_count": 8, "rule_break_count": 8, "restriction_level": "Full"}, "community_trust_score": 42.70, "dispute_resolution_score": 35.7}'
'MKT_74TFR','Market_59','Marketplace',387,'Small',9503,12870,526,43367,45553,31.500,76.200,'{"status": "Closed", "trust_level": "Unknown", "reputation_score": 32.300, "compliance_metrics": {"penalty_count": 0, "warning_count": 8, "rule_break_count": 15, "restriction_level": "Full"}, "community_trust_score": 95.10, "dispute_resolution_score": 54.7}'
'MKT_OM8B0','Market_9','Forum',966,'Mega',4208,99457,763,45764,18944,71.700,34.500,'{"status": "Under Investigation", "trust_level": "Low", "reputation_score": 81.000, "compliance_metrics": {"penalty_count": 5, "warning_count": 8, "rule_break_count": 6, "restriction_level": "Full"}, "community_trust_score": 26.00, "dispute_resolution_score": 13.1}'
'MKT_I46S7','Market_9','Service',703,'Small',8805,44616,488,5428,21773,48.400,66.600,'{"status": "Active", "trust_level": "Unknown", "reputation_score": 50.000, "compliance_metrics": {"penalty_count": 5, "warning_count": 1, "rule_break_count": 19, "restriction_level": "Partial"}, "community_trust_score": 50.40, "dispute_resolution_score": 55.6}'
'MKT_JS1TD','Market_96','Exchange',691,'Mega',3346,63582,46,80019,47635,60.900,88.400,'{"status": "Closed", "trust_level": "High", "reputation_score": 76.100, "compliance_metrics": {"penalty_count": 3, "warning_count": 1, "rule_break_count": 9, "restriction_level": "Partial"}, "community_trust_score": 0.90, "dispute_resolution_score": 67.6}'
'MKT_8V7FP','Market_67','Exchange',39,'Medium',4669,89298,653,74854,27499,72.300,3.200,'{"status": "Suspended", "trust_level": "Low", "reputation_score": 59.400, "compliance_metrics": {"penalty_count": 4, "warning_count": 5, "rule_break_count": 18, "restriction_level": "Full"}, "community_trust_score": 66.80, "dispute_resolution_score": 29.6}'
'MKT_56O5U','Market_100','Forum',249,'Mega',3403,5612,619,65097,47471,93.000,66.100,'{"status": "Closed", "trust_level": "Unknown", "reputation_score": 43.500, "compliance_metrics": {"penalty_count": 5, "warning_count": 10, "rule_break_count": 3, "restriction_level": "Full"}, "community_trust_score": 21.90, "dispute_resolution_score": 42.6}'
'MKT_PWKQH','Market_48','Marketplace',963,'Medium',8419,86408,424,23956,10775,25.400,21.400,'{"status": "Under Investigation", "trust_level": "Unknown", "reputation_score": 20.700, "compliance_metrics": {"penalty_count": 3, "warning_count": 8, "rule_break_count": 3, "restriction_level": "Full"}, "community_trust_score": 58.50, "dispute_resolution_score": 41.8}'
'MKT_K97OC','Market_61','Exchange',818,'Mega',816,89101,925,26271,48195,39.900,38.400,'{"status": "Under Investigation", "trust_level": "Low", "reputation_score": 82.500, "compliance_metrics": {"penalty_count": 2, "warning_count": 3, "rule_break_count": 1, "restriction_level": "Full"}, "community_trust_score": 82.00, "dispute_resolution_score": 31.2}'
'MKT_JEXE0','Market_95','Forum',659,'Small',7857,16579,239,75447,1724,71.100,17.000,'{"status": "Active", "trust_level": "Unknown", "reputation_score": 68.000, "compliance_metrics": {"penalty_count": 1, "warning_count": 8, "rule_break_count": 18, "restriction_level": "Partial"}, "community_trust_score": 79.80, "dispute_resolution_score": 28.3}'
