'VEND_0DY9A',319,4.50,576887,428648,89535,5,2,'Advanced','2025-02-15','MKT_SOB5D'
'VEND_2JDYC',26,4.10,683389,880175,26386,5,8,'Basic','2025-02-05','MKT_3VNMP'
'VEND_3EUJI',179,3.90,137303,264983,77677,7,2,'Advanced','2025-01-31','MKT_VTIB5'
'VEND_JAI03',229,3.70,943651,859194,24394,10,8,'Basic','2025-01-24','MKT_3Y1WX'
'VEND_HPORG',39,4.00,982354,227581,43274,10,1,'Advanced','2025-02-03','MKT_QC5NK'
'VEND_7BVLA',166,2.20,686332,78603,34891,9,3,'Basic','2025-01-22','MKT_46CZQ'
'VEND_0P77N',252,3.40,231292,476049,85703,9,3,'Advanced','2025-02-11','MKT_WI6TW'
'VEND_99LLG',41,4.60,4607,793628,71176,6,4,'Premium','2025-02-07','MKT_YHQMT'
'VEND_HB03F',495,2.00,549961,455452,61753,9,8,'Basic','2025-01-22','MKT_0OT4E'
'VEND_G3QSJ',131,1.60,698694,865218,86749,7,10,'Advanced','2025-01-24','MKT_0BXUU'
'VEND_MH6BR',297,1.10,578123,488285,38265,8,6,'Advanced','2025-01-20','MKT_AG802'
'VEND_F3R8M',64,3.40,823095,138515,20308,3,1,'Premium','2025-01-24','MKT_1L66O'
'VEND_A8PJP',354,2.60,253649,981406,96334,4,8,'Premium','2025-02-19','MKT_HPCCE'
'VEND_EU7N8',76,4.50,556322,883701,89219,4,3,'Premium','2025-01-24','MKT_E9VVU'
'VEND_4955Z',247,2.20,767163,324089,66632,10,4,'Premium','2025-02-17','MKT_14CBK'
'VEND_LFOOB',456,2.70,818730,821309,16586,5,7,'Premium','2025-02-13','MKT_BR8QV'
'VEND_Y4G4K',165,4.60,340306,853470,49929,5,3,'Premium','2025-02-02','MKT_74TFR'
'VEND_5E5BI',500,1.90,638682,602203,22441,8,3,'Premium','2025-02-16','MKT_I1K8Q'
'VEND_MJ0V4',491,4.60,849484,45836,27475,2,2,'Basic','2025-01-30','MKT_XC7VE'
'VEND_S39GP',24,2.20,143533,767335,99761,2,5,'Premium','2025-01-25','MKT_2DPY3'
'VEND_ESXLK',316,3.50,763983,995695,89952,8,3,'Basic','2025-01-24','MKT_M3W7O'
'VEND_10I0I',1,3.80,209079,3652,83430,4,1,'Basic','2025-02-09','MKT_OM8B0'
'VEND_8PM0I',387,2.30,121598,43304,51194,10,8,'Basic','2025-01-27','MKT_I46S7'
'VEND_DWK6P',382,3.50,146120,668194,39576,6,8,'Advanced','2025-02-03','MKT_JS1TD'
'VEND_OLVKK',272,4.50,601979,728409,28938,8,5,'Advanced','2025-02-12','MKT_8V7FP'
'VEND_T1ONE',193,1.90,695381,529638,73914,3,10,'Basic','2025-02-13','MKT_56O5U'
'VEND_XPWS7',227,1.70,79253,820627,78365,8,9,'Premium','2025-02-17','MKT_PWKQH'
'VEND_65E0M',303,1.40,590585,483528,48052,1,2,'Basic','2025-02-02','MKT_K97OC'
'VEND_8VNMI',253,4.10,819829,213885,41828,5,4,'Premium','2025-02-13','MKT_JEXE0'
'VEND_SSUJ9',4,1.80,857738,936505,52151,1,8,'Basic','2025-02-10','MKT_26MCX'
'VEND_EURT3',115,1.50,936483,711609,30181,9,8,'Premium','2025-01-26','MKT_VY3TS'
'VEND_6FBFK',99,3.80,676939,531413,73204,10,5,'Advanced','2025-02-06','MKT_JGGPB'
'VEND_PJ7Y1',213,1.60,810417,240618,48691,4,1,'Advanced','2025-01-27','MKT_W8183'
'VEND_PP1M7',114,4.30,989335,115693,29052,5,6,'Basic','2025-02-19','MKT_Q3OLN'
'VEND_GE0HY',278,2.60,661396,740122,42233,10,10,'Basic','2025-01-25','MKT_SZ179'
'VEND_BKVBT',476,3.20,207573,702828,90595,1,4,'Premium','2025-02-13','MKT_WBPFI'
'VEND_TIEF9',468,4.10,242501,813070,9956,1,2,'Premium','2025-02-18','MKT_2ADEY'
'VEND_HJ41R',178,1.50,268503,203121,85581,9,7,'Advanced','2025-02-02','MKT_YA875'
'VEND_3LH5G',153,3.60,390679,163590,54775,3,8,'Premium','2025-01-29','MKT_MZSIV'
'VEND_BUXO8',43,1.40,124294,498109,70579,4,4,'Premium','2025-01-27','MKT_BC3G3'
'VEND_8KFKZ',302,3.80,406230,836895,63650,6,6,'Basic','2025-02-10','MKT_16GZZ'
'VEND_DKEZB',434,2.60,834666,13636,23058,9,6,'Premium','2025-02-06','MKT_CDEGG'
'VEND_NOYFE',277,4.70,524448,827808,31403,6,4,'Advanced','2025-02-12','MKT_1XZ5D'
'VEND_T0C9H',249,3.50,504156,492288,20692,2,9,'Advanced','2025-02-17','MKT_BMIEL'
'VEND_337EJ',347,3.10,112330,924065,18728,6,8,'Basic','2025-02-05','MKT_9EQ7G'
'VEND_IQ0IE',92,1.30,688013,17276,82421,3,9,'Advanced','2025-01-20','MKT_U0JL1'
'VEND_JD88V',127,4.20,338346,999012,10330,6,2,'Premium','2025-02-01','MKT_I7GFI'
'VEND_QZJI2',445,2.40,796621,51639,89680,10,2,'Premium','2025-01-28','MKT_C4150'
'VEND_XRTMA',162,4.70,453436,153327,7276,9,2,'Basic','2025-01-26','MKT_V7ODY'
'VEND_ZP00N',42,1.40,775511,347225,41526,6,5,'Advanced','2025-01-24','MKT_67JZ1'
'VEND_Y7UU3',442,3.20,154591,201691,56386,1,5,'Basic','2025-02-06','MKT_73NGG'
'VEND_2ND0T',268,1.80,29108,388890,34860,10,3,'Basic','2025-02-18','MKT_T8GG8'
'VEND_87DI1',67,3.60,291154,337756,8985,8,8,'Premium','2025-02-13','MKT_NB7BD'
'VEND_RDXJM',286,4.80,459440,653682,65041,4,6,'Advanced','2025-01-21','MKT_ERNRB'
'VEND_9V33W',300,4.80,80272,40074,53281,1,6,'Premium','2025-02-14','MKT_2ZQXR'
'VEND_H3938',170,2.10,272172,387464,99200,10,10,'Basic','2025-02-03','MKT_MLA0C'
'VEND_ZFTP3',108,1.00,267518,535897,95177,2,1,'Basic','2025-02-14','MKT_Q8GKR'
'VEND_MPP5H',269,2.80,356540,651381,19426,9,5,'Premium','2025-02-04','MKT_7EVBJ'
'VEND_5T71M',234,3.60,564381,96415,60020,10,2,'Advanced','2025-01-29','MKT_5ZYWQ'
'VEND_CDIQ8',468,4.50,529448,981075,30803,7,9,'Basic','2025-02-02','MKT_9MQ48'
'VEND_G4T8B',420,4.70,619989,654835,17815,10,9,'Premium','2025-01-25','MKT_Z39AX'
'VEND_XCIC6',176,2.10,524114,895702,62409,8,1,'Premium','2025-02-16','MKT_Y3YXV'
'VEND_LKPDP',226,3.00,382712,895239,66319,6,5,'Basic','2025-02-09','MKT_RNS1I'
'VEND_51PTT',495,5.00,508433,879531,43848,5,1,'Premium','2025-01-30','MKT_GR8D5'
'VEND_55MNC',322,5.00,95112,971137,40223,1,3,'Premium','2025-01-28','MKT_C9J59'
'VEND_TQFUJ',284,1.80,689500,517065,59232,9,1,'Premium','2025-02-10','MKT_XLE24'
'VEND_SN9BJ',360,3.40,925227,673099,65085,6,4,'Advanced','2025-02-14','MKT_KX4U0'
'VEND_EPIBI',311,3.70,306572,45744,88842,4,8,'Basic','2025-02-18','MKT_XXC02'
'VEND_5TJSI',485,1.40,493731,890327,86709,10,3,'Basic','2025-01-30','MKT_XDEO3'
'VEND_YWO38',69,3.70,680820,206648,63772,6,7,'Advanced','2025-02-10','MKT_7QB5Z'
'VEND_5K9YP',218,3.60,395678,998399,17527,3,3,'Basic','2025-02-15','MKT_SLR74'
'VEND_VGC18',243,1.10,734573,364646,92569,8,7,'Premium','2025-02-11','MKT_NG9KZ'
'VEND_8U1YR',358,2.60,752231,820769,95197,10,8,'Basic','2025-02-07','MKT_WXJEK'
'VEND_EJR49',218,4.30,21856,948026,35590,8,2,'Premium','2025-01-22','MKT_D9ZES'
'VEND_HIKY4',455,3.80,717834,101935,46447,2,5,'Basic','2025-02-07','MKT_EDKD5'
'VEND_A2CSB',367,1.50,157921,775667,86399,7,8,'Premium','2025-01-24','MKT_CXAMB'
'VEND_LZFV9',241,3.90,52927,625830,51691,2,6,'Basic','2025-01-31','MKT_IXX5E'
'VEND_CN7CJ',137,1.40,632402,800821,55469,1,7,'Premium','2025-01-20','MKT_H5EDB'
'VEND_YDVB7',488,3.90,667396,171972,41686,10,7,'Advanced','2025-02-05','MKT_1FZFD'
'VEND_TZD16',19,3.90,592392,561441,24379,1,6,'Premium','2025-01-21','MKT_G65Y3'
'VEND_G8TVP',185,3.80,389666,260042,35553,1,3,'Premium','2025-02-15','MKT_8SO1G'
'VEND_74UY2',111,3.70,163004,313921,41927,8,4,'Premium','2025-02-07','MKT_7XZVD'
'VEND_QVID6',233,2.10,814040,339494,31384,5,8,'Basic','2025-02-12','MKT_DPW9F'
'VEND_AXB5X',466,2.60,337408,212437,26597,2,5,'Advanced','2025-01-23','MKT_U7GVN'
'VEND_E4I1G',102,3.70,244103,90244,44191,5,1,'Advanced','2025-02-14','MKT_SZA77'
'VEND_L0P13',100,2.80,815409,469404,16173,7,5,'Basic','2025-01-25','MKT_J35EI'
'VEND_IMK61',155,3.60,253190,377705,20098,7,8,'Premium','2025-02-14','MKT_0W06Z'
'VEND_ZU7P1',49,4.20,342581,942784,88433,6,4,'Premium','2025-01-24','MKT_69PSR'
'VEND_T61TF',288,2.90,856707,7670,27315,7,2,'Basic','2025-02-05','MKT_938Y6'
'VEND_0FOTM',284,2.70,601017,591442,56937,2,9,'Premium','2025-02-19','MKT_7MNKU'
'VEND_9FFIP',500,2.00,977979,328483,43761,6,4,'Advanced','2025-01-25','MKT_WH5YX'
'VEND_W7OUE',498,2.80,38237,741148,31713,5,4,'Basic','2025-02-19','MKT_WYB3R'
'VEND_IS16U',459,3.70,917886,379635,37464,5,1,'Basic','2025-01-30','MKT_JNU8W'
'VEND_5NFTK',311,3.40,50898,736189,25356,9,1,'Advanced','2025-01-30','MKT_Y4NXP'
'VEND_VNYGU',90,4.10,342062,665798,26046,2,7,'Premium','2025-01-22','MKT_68LC9'
'VEND_CXZ9A',456,4.30,110988,151500,13214,7,8,'Advanced','2025-01-22','MKT_JTJVT'
'VEND_ISQOH',163,2.60,390304,41358,27275,3,8,'Basic','2025-01-31','MKT_HVPC4'
'VEND_04K09',479,1.30,212388,933303,15017,7,6,'Premium','2025-01-20','MKT_TIHC5'
'VEND_AKLRV',313,4.80,552863,299051,77887,6,7,'Premium','2025-02-02','MKT_M5MGJ'
'VEND_RQJAY',147,2.60,967422,188946,95253,10,2,'Basic','2025-02-17','MKT_CCWYF'
'VEND_DRAK9',128,4.30,514581,882779,69997,8,1,'Premium','2025-01-20','MKT_2EF6R'
'VEND_U6TD9',43,3.90,590093,311012,23305,7,7,'Basic','2025-02-17','MKT_WIG92'
'VEND_5UG1A',366,3.20,947694,241271,40865,9,4,'Advanced','2025-02-01','MKT_Y1XJR'
'VEND_F4UF2',199,1.90,218159,674799,80004,6,9,'Premium','2025-02-19','MKT_DVRC9'
'VEND_GONRG',346,2.10,487220,843774,27018,8,8,'Advanced','2025-02-06','MKT_31VT5'
'VEND_S01N5',381,2.40,933679,110035,52590,3,2,'Basic','2025-02-13','MKT_7FFC8'
'VEND_1HCNI',277,3.40,695484,538326,75536,6,2,'Premium','2025-02-12','MKT_4NRXF'
'VEND_K4GYD',134,3.80,988255,256766,65979,3,2,'Premium','2025-02-15','MKT_OQD61'
'VEND_F87X9',295,1.50,607683,342504,92374,10,10,'Basic','2025-02-06','MKT_315V3'
'VEND_1FG30',426,3.40,231470,440785,14887,8,6,'Premium','2025-02-01','MKT_00DZM'
'VEND_7OBCW',30,3.80,181475,885425,85104,6,10,'Premium','2025-01-31','MKT_GSO0Y'
'VEND_7IJB2',498,1.00,934714,572557,11305,2,9,'Premium','2025-01-24','MKT_FZNDS'
'VEND_ENZKJ',461,3.90,323571,631693,49462,7,8,'Advanced','2025-01-25','MKT_5GR4S'
'VEND_VE0H8',222,3.90,797507,474341,36395,2,8,'Advanced','2025-02-16','MKT_BK4RO'
'VEND_EEZKL',338,3.10,55034,497300,97021,1,1,'Advanced','2025-02-07','MKT_TVB0G'
'VEND_HVUJV',42,2.00,57581,830328,68659,10,6,'Basic','2025-01-25','MKT_A1AAC'
'VEND_ERI7X',444,4.90,73533,675914,15330,3,8,'Advanced','2025-02-18','MKT_YX9NJ'
'VEND_45AQ6',158,3.80,55371,750982,74638,5,9,'Basic','2025-01-29','MKT_CCMIV'
'VEND_LZNDP',312,2.10,688254,792135,60612,2,7,'Premium','2025-02-04','MKT_VI9UX'
'VEND_7LFKE',146,2.20,659959,133792,12554,1,6,'Basic','2025-02-14','MKT_3CI1O'
'VEND_LSFK0',358,4.80,741244,81973,57030,4,9,'Premium','2025-01-25','MKT_A4ZNN'
'VEND_9YCDQ',81,3.00,666282,372838,12819,3,7,'Basic','2025-01-29','MKT_CDBTC'
