'TX_4F06D','DN541412','2021-04-16 05:29:33.000','Crypto_A',12680.09,182.00,'Yes',69,'No','Pending',114.90,'Express','Region_B','Unknown','Yes','Complex','MKT_SOB5D','PROD_0C7HD','BUY_4CF99'
'TX_69L3A','DN772007','2021-02-14 22:29:36.000','Token',33015.68,218.30,'No',121,'No','Completed',88.70,'Custom','Unknown','Region_X','Yes','Complex','MKT_3VNMP','PROD_LH5LN','BUY_SAR2O'
'TX_F8DOW','DN873987','2025-12-08 05:04:23.000','Crypto_B',45450.78,84.52,'No',47,'No','Cancelled',136.10,'Digital','Region_B','Region_X','No','Medium','MKT_3Y1WX','PROD_ARXK5','BUY_9KX6B'
'TX_LUZYM','DN647324','2025-08-28 12:07:50.000','Crypto_A',20264.46,429.14,'No',48,'No','Cancelled',64.00,'Digital','Region_A','Region_Y','No','Medium','MKT_QC5NK','PROD_E7BCI','BUY_I28N8'
'TX_48L5V','DN963094','2022-02-21 21:55:59.000','Token',4104.63,453.42,'No',170,'Yes','Disputed',164.90,'Standard','Region_B','Region_Y','Yes','Medium','MKT_46CZQ','PROD_559F3','BUY_DGBXD'
'TX_Y71KB','DN773063','2022-07-18 10:19:31.000','Crypto_C',82684.20,448.68,'Yes',185,'Yes','Cancelled',76.50,'Standard','Region_C','Region_Y','No','Simple','MKT_WI6TW','PROD_TW2JR','BUY_MHQ15'
'TX_XI55P','DN508297','2021-10-17 23:17:07.000','Crypto_B',79119.72,23.48,'Yes',195,'Yes','Disputed',15.60,'Express','Region_C','Unknown','No','Medium','MKT_YHQMT','PROD_8D2Y0','BUY_BLBJ8'
'TX_JCEOO','DN120759','2022-09-07 00:33:03.000','Crypto_B',59360.39,349.03,'Yes',146,'No','Pending',115.60,'Custom','Unknown','Unknown','No','Medium','MKT_0OT4E','PROD_OPJ0F','BUY_71I6P'
'TX_NW7JE','DN211283','2024-09-05 12:19:02.000','Crypto_A',46016.00,410.29,'Yes',2,'Yes','Disputed',98.20,'Express','Unknown','Unknown','Yes','Simple','MKT_0BXUU','PROD_8RL5F','BUY_T8DBX'
'TX_1EL6L','DN424207','2025-11-17 10:59:49.000','Crypto_C',68734.76,269.62,'Yes',38,'Yes','Completed',42.90,'Standard','Unknown','Region_Y','No','Medium','MKT_AG802','PROD_83LJA','BUY_XWK4E'
'TX_XD5I7','DN475563','2021-07-24 18:38:39.000','Crypto_C',57883.69,25.19,'Yes',111,'No','Cancelled',86.00,'Standard','Unknown','Unknown','No','Complex','MKT_1L66O','PROD_5WI01','BUY_26UYS'
'TX_LQL2H','DN100046','2025-03-03 23:26:58.000','Crypto_A',85110.21,230.30,'No',58,'No','Disputed',70.10,'Custom','Region_A','Region_Y','No','Medium','MKT_HPCCE','PROD_DZN2W','BUY_K4XCU'
'TX_7EQIR','DN496455','2021-01-10 23:28:24.000','Crypto_A',87309.61,240.70,'Yes',5,'Yes','Cancelled',42.30,'Custom','Region_C','Region_Y','Yes','Simple','MKT_E9VVU','PROD_B1C77','BUY_CRCNM'
'TX_WZA8X','DN788934','2022-10-03 07:12:50.000','Crypto_A',6214.63,104.49,'Yes',174,'Yes','Completed',161.80,'Digital','Region_B','Region_X','No','Medium','MKT_BR8QV','PROD_EOF1Y','BUY_OA5HA'
'TX_LYQIK','DN262765','2024-11-20 18:06:07.000','Crypto_B',5400.30,29.98,'No',27,'Yes','Cancelled',151.50,'Express','Region_A','Region_Y','Yes','Complex','MKT_14CBK','PROD_OCVZS','BUY_UDZ7W'
'TX_J76V4',NULL,'2021-10-01 17:58:06.000','Crypto_B',11167.11,482.38,'Yes',196,'Yes','Disputed',114.90,'Express','Unknown','Region_X','Yes','Medium','MKT_WKWFY','PROD_F68DI','BUY_AFI01'
'TX_W978J','DN984774','2024-05-19 23:10:46.000','Crypto_A',42876.93,276.32,'Yes',128,'Yes','Disputed',22.50,'Express','Region_A','Unknown','No','Complex','MKT_I1K8Q','PROD_4AOCT','BUY_986MO'
