1,'ART54317  ','SC9857      ',1,'Permanent           ',1,22,'Special','Standard','Custom','Custom','Custom','Frequent  ','Frequent                 ','Occasional  ','Rare      ','Frequent','Monthly','Monthly                  ','Monthly                  ','Weekly                   ','Monthly                  ','Expired','Non-compliant','Passed','Failed'
2,'ART54254  ','SC7393      ',2,'Resting             ',5,11,'Standard','Custom','Special','Special','Special','Rare      ','Frequent                 ','Frequent    ','Rare      ','Rare','Daily','Quarterly                ','Weekly                   ','Monthly                  ','Quarterly                ','Current','Partial','Pending','Failed'
3,'ART69978  ','SC9391      ',3,'Permanent           ',6,10,'Custom','Custom','Standard','Standard','Special','Rare      ','Occasional               ','Occasional  ','Rare      ','Frequent','Weekly','Quarterly                ','Weekly                   ','Daily                    ','Monthly                  ','Pending','Non-compliant','Failed','Passed'
4,'ART50422  ','SC3357      ',4,'Resting             ',8,16,'Special','Standard','Custom','Standard','Special','Rare      ','Occasional               ','Rare        ','Rare      ','Rare','Weekly','Monthly                  ','Monthly                  ','Daily                    ','Quarterly                ','Current','Compliant','Failed','Review'
5,'ART95251  ','SC5309      ',5,'Active              ',3,10,'Standard','Standard','Special','Special','Standard','Frequent  ','Rare                     ','Occasional  ','Frequent  ','Frequent','Daily','Annually                 ','Monthly                  ','Monthly                  ','Quarterly                ','Pending','Non-compliant','Pending','Review'
6,'ART48028  ','SC3991      ',6,'Resting             ',7,15,'Custom','Standard','Special','Standard','Standard','Frequent  ','Frequent                 ','Frequent    ','Rare      ','Occasional','Monthly','Quarterly                ','Weekly                   ','Monthly                  ','Quarterly                ','Current','Compliant','Pending','Passed'
7,'ART69512  ','SC2020      ',7,'Resting             ',9,16,'Standard','Standard','Standard','Special','Standard','Frequent  ','Occasional               ','Rare        ','Frequent  ','Occasional','Monthly','Quarterly                ','Quarterly                ','Daily                    ','Annually                 ','Current','Partial','Failed','Failed'
8,'ART44049  ','SC2414      ',8,'Active              ',4,24,'Special','Custom','Special','Custom','Standard','Frequent  ','Occasional               ','Frequent    ','Rare      ','Frequent','Daily','Monthly                  ','Quarterly                ','Weekly                   ','Monthly                  ','Expired','Compliant','Pending','Review'
9,'ART22173  ','SC6200      ',9,'Resting             ',9,12,'Custom','Standard','Special','Custom','Custom','Occasional','Rare                     ','Frequent    ','Frequent  ','Occasional','Monthly','Annually                 ','Monthly                  ','Monthly                  ','Quarterly                ','Current','Partial','Pending','Failed'
10,'ART48053  ','SC6998      ',10,'Active              ',11,8,'Standard','Standard','Custom','Standard','Special','Occasional','Rare                     ','Frequent    ','Frequent  ','Frequent','Weekly','Monthly                  ','Quarterly                ','Weekly                   ','Quarterly                ','Current','Compliant','Passed','Review'
11,'ART17157  ','SC8355      ',11,'Permanent           ',2,21,'Custom','Standard','Standard','Custom','Custom','Frequent  ','Occasional               ','Rare        ','Frequent  ','Rare','Monthly','Monthly                  ','Weekly                   ','Daily                    ','Quarterly                ','Current','Non-compliant','Failed','Failed'
12,'ART93578  ','SC3218      ',12,'Resting             ',1,17,'Custom','Standard','Custom','Custom','Special','Occasional','Frequent                 ','Frequent    ','Frequent  ','Occasional','Daily','Monthly                  ','Quarterly                ','Monthly                  ','Monthly                  ','Expired','Non-compliant','Passed','Passed'
13,'ART23875  ','SC3506      ',13,'Permanent           ',2,7,'Standard','Custom','Standard','Standard','Standard','Rare      ','Occasional               ','Occasional  ','Occasional','Occasional','Weekly','Quarterly                ','Monthly                  ','Monthly                  ','Monthly                  ','Expired','Compliant','Pending','Review'
