1,'MM191823  ','2024-08-06 08:38:48.050','SC9857      ',21,0.85,53,2,1020.0
2,'MM153427  ','2025-02-07 03:00:17.050','SC7393      ',18,1.34,54,1,1013.4
3,'MM675303  ','2024-07-25 09:37:21.050','SC9391      ',21,1.75,47,1,1015.3
4,'MM393141  ','2024-07-08 01:48:13.050','SC3357      ',20,0.35,46,3,1004.9
5,'MM651913  ','2024-10-06 18:12:55.050','SC5309      ',21,0.69,52,2,1017.5
6,'MM225197  ','2025-01-08 00:54:32.051','SC3991      ',18,0.59,49,2,988.4
7,'MM542481  ','2024-06-17 18:28:31.051','SC2020      ',18,1.01,54,3,1014.7
8,'MM734505  ','2024-06-15 06:10:57.051','SC2414      ',20,0.15,46,2,1003.5
9,'MM193607  ','2024-06-02 05:14:15.051','SC6200      ',21,1.42,46,0,1006.1
10,'MM813116  ','2024-09-02 15:47:35.051','SC6998      ',19,1.29,54,3,982.3
11,'MM686474  ','2024-08-30 19:39:47.051','SC8355      ',19,1.72,47,3,1006.3
12,'MM477153  ','2025-01-23 20:00:10.051','SC3218      ',21,0.49,51,3,996.3
13,'MM338614  ','2025-02-12 09:44:57.051','SC3506      ',18,0.21,52,1,1006.1
14,'MM248775  ','2024-10-19 16:34:16.051','SC3079      ',18,0.99,49,1,1010.2
15,'MM615731  ','2025-01-26 11:17:50.051','SC8818      ',20,0.84,49,2,1015.0
16,'MM809308  ','2025-01-20 07:24:51.052','SC3545      ',19,0.92,51,2,1016.6
17,'MM827419  ','2024-05-30 06:22:30.052','SC4696      ',20,0.72,47,1,997.8
18,'MM516392  ','2024-04-02 00:57:24.052','SC7071      ',21,0.5,46,1,984.1
19,'MM244628  ','2024-08-02 01:35:46.052','SC1850      ',20,1.43,45,3,990.5
20,'MM877699  ','2024-09-06 16:27:54.052','SC4433      ',18,0.08,50,4,1016.0
21,'MM625828  ','2024-11-12 21:34:17.052','SC1893      ',18,1.18,50,4,1003.1
22,'MM610953  ','2024-05-26 09:52:48.052','SC9863      ',21,0.37,51,3,1007.9
23,'MM938886  ','2024-07-16 10:46:41.052','SC4299      ',20,1.91,47,1,1005.6
24,'MM618688  ','2024-11-22 19:11:19.052','SC6687      ',20,1.12,46,4,990.4
25,'MM348437  ','2024-12-27 03:34:49.052','SC5412      ',20,1.92,54,2,993.4
26,'MM765070  ','2024-08-31 16:30:11.052','SC9342      ',20,0.77,51,0,991.4
27,'MM559583  ','2024-08-15 02:39:49.052','SC7260      ',21,0.11,47,1,1019.1
28,'MM656862  ','2024-11-08 06:07:12.052','SC2684      ',21,1.82,52,2,1015.1
29,'MM809455  ','2025-01-21 03:03:41.052','SC5945      ',19,0.99,47,0,1007.3
30,'MM496136  ','2024-04-13 22:05:40.053','SC4761      ',18,0.94,46,3,1001.6
31,'MM677399  ','2025-01-18 13:59:32.053','SC9271      ',18,1.47,54,0,989.2
32,'MM116568  ','2025-01-03 09:08:14.053','SC8944      ',20,0.08,45,4,1011.6
33,'MM591475  ','2024-02-20 23:27:32.053','SC8624      ',18,0.23,51,4,988.7
34,'MM557515  ','2024-05-05 11:34:17.053','SC4871      ',19,0.51,46,3,1003.4
35,'MM339381  ','2024-09-13 23:43:47.053','SC6413      ',21,1.68,46,0,1013.4
36,'MM949909  ','2024-08-05 11:40:55.053','SC8654      ',21,0.37,52,1,1004.7
37,'MM981891  ','2024-10-28 10:53:05.053','SC7973      ',21,1.29,51,0,1017.6
38,'MM527406  ','2024-04-13 06:40:10.053','SC4879      ',19,0.07,51,0,1002.6
39,'MM623082  ','2024-07-01 11:26:14.053','SC4487      ',18,0.99,50,3,1011.5
40,'MM483113  ','2024-10-14 08:18:12.053','SC1906      ',20,1.69,53,0,1010.7
