1,'ART54317','SC9857',1,93,'2024-09-15','2025-04-17'
2,'ART54254','SC7393',2,48,'2024-03-27','2025-09-09'
3,'ART69978','SC9391',3,61,'2024-05-01','2025-11-10'
4,'ART50422','SC3357',4,98,'2024-03-22','2025-10-10'
5,'ART95251','SC5309',5,87,'2024-05-08','2025-05-09'
6,'ART48028','SC3991',6,64,'2024-03-01','2025-07-01'
7,'ART69512','SC2020',7,34,'2024-12-27','2025-03-30'
8,'ART44049','SC2414',8,24,'2024-12-05','2025-03-02'
9,'ART22173','SC6200',9,6,'2024-10-06','2025-04-02'
10,'ART48053','SC6998',10,82,'2024-09-10','2025-08-13'
11,'ART17157','SC8355',11,39,'2024-09-16','2025-04-15'
12,'ART93578','SC3218',12,53,'2024-04-22','2025-07-15'
13,'ART23875','SC3506',13,52,'2024-09-13','2025-04-18'
14,'ART23155','SC3079',14,41,'2024-05-09','2025-11-10'
15,'ART87883','SC8818',15,23,'2024-10-26','2025-06-07'
16,'ART44432','SC3545',16,65,'2025-01-28','2025-05-07'
17,'ART77091','SC4696',17,73,'2025-02-05','2025-11-18'
18,'ART30247','SC7071',18,82,'2024-08-01','2025-03-07'
19,'ART54391','SC1850',19,19,'2024-03-27','2025-05-13'
20,'ART49538','SC4433',20,50,'2024-09-29','2026-02-19'
21,'ART79242','SC1893',21,17,'2024-06-29','2025-12-15'
22,'ART23455','SC9863',22,5,'2024-09-15','2025-11-08'
23,'ART75266','SC4299',23,97,'2024-03-07','2025-03-22'
24,'ART85937','SC6687',24,9,'2024-03-17','2025-10-09'
25,'ART67347','SC5412',25,70,'2024-08-18','2025-09-15'
26,'ART89393','SC9342',26,34,'2025-01-04','2025-11-27'
27,'ART45377','SC7260',27,92,'2024-03-28','2025-03-15'
28,'ART70054','SC2684',28,1,'2024-10-07','2025-08-25'
29,'ART64175','SC5945',29,11,'2024-03-10','2025-03-12'
30,'ART73040','SC4761',30,64,'2024-04-04','2025-05-27'
31,'ART97169','SC9271',31,78,'2025-02-19','2025-06-14'
32,'ART27258','SC8944',32,52,'2024-08-30','2025-09-21'
33,'ART19807','SC8624',33,63,'2024-07-24','2025-09-22'
34,'ART56964','SC4871',34,34,'2024-12-11','2025-09-16'
35,'ART52327','SC6413',35,98,'2024-08-05','2025-03-28'
36,'ART95026','SC8654',36,16,'2024-10-12','2025-04-18'
37,'ART75963','SC7973',37,2,'2024-06-10','2025-10-04'
38,'ART74018','SC4879',38,81,'2024-04-16','2025-10-27'
39,'ART33769','SC4487',39,96,'2024-11-28','2025-04-23'
40,'ART49793','SC1906',40,36,'2024-07-19','2025-05-29'
41,'ART84247','SC7530',41,71,'2024-11-16','2026-01-26'
42,'ART35668','SC4920',42,52,'2024-07-13','2025-11-10'
43,'ART55333','SC8266',43,77,'2024-08-10','2025-08-08'
44,'ART78189','SC6336',44,96,'2025-02-10','2025-09-04'
45,'ART98570','SC2048',45,43,'2024-12-11','2025-03-12'
46,'ART86437','SC2124',46,99,'2025-01-18','2025-09-01'
47,'ART77193','SC2696',47,87,'2024-11-22','2025-06-03'
48,'ART11997','SC3523',48,53,'2024-10-10','2025-11-27'
49,'ART71036','SC9478',49,1,'2024-05-04','2025-07-27'
50,'ART74448','SC9183',50,65,'2024-05-09','2025-05-24'
51,'ART16032','SC8834',51,3,'2024-03-28','2025-07-12'
52,'ART75678','SC5901',52,27,'2024-11-25','2025-11-11'
53,'ART62574','SC2185',53,23,'2024-03-09','2025-12-19'
54,'ART74715','SC9797',54,57,'2024-12-15','2025-11-21'
55,'ART15630','SC5775',55,42,'2025-01-30','2025-07-16'
56,'ART71177','SC2127',56,43,'2024-06-23','2026-01-25'
57,'ART34027','SC2989',57,20,'2025-01-02','2025-06-24'
58,'ART66667','SC8994',58,75,'2024-09-30','2025-04-18'
59,'ART32567','SC5706',59,47,'2024-11-11','2025-08-06'
60,'ART32207','SC5043',60,87,'2024-02-20','2025-11-13'
61,'ART89880','SC3219',61,83,'2024-03-11','2025-05-23'
62,'ART41900','SC1885',62,7,'2024-08-19','2025-09-17'
63,'ART51066','SC3005',63,4,'2025-02-18','2025-10-08'
64,'ART96778','SC8682',64,13,'2024-09-03','2025-09-24'
65,'ART14428','SC2601',65,38,'2024-04-14','2025-06-30'
66,'ART24037','SC9937',66,2,'2024-03-30','2025-09-21'
67,'ART56119','SC4467',67,78,'2024-08-31','2025-12-07'
68,'ART20918','SC6656',68,19,'2024-05-02','2025-03-05'
69,'ART72699','SC6504',69,25,'2024-04-29','2025-07-17'
70,'ART71203','SC2922',70,68,'2024-02-27','2025-12-07'
71,'ART57819','SC7811',71,14,'2024-10-18','2026-01-08'
72,'ART99720','SC3475',72,17,'2024-08-11','2025-11-22'
73,'ART53791','SC6062',73,46,'2025-01-17','2025-04-11'
74,'ART64791','SC8359',74,32,'2025-01-24','2025-07-06'
75,'ART63153','SC3065',75,89,'2024-06-16','2025-10-21'
76,'ART99599','SC8486',76,39,'2024-05-16','2025-10-04'
77,'ART92270','SC1487',77,33,'2024-06-05','2025-06-20'
78,'ART59106','SC9777',78,68,'2024-06-28','2025-10-19'
79,'ART64367','SC8570',79,61,'2024-07-13','2025-06-30'
80,'ART29176','SC1782',80,17,'2024-06-25','2025-05-09'
81,'ART66971','SC2296',81,2,'2025-02-03','2025-11-20'
82,'ART18099','SC9267',82,32,'2024-03-24','2025-10-10'
83,'ART25088','SC3998',83,58,'2024-04-04','2025-10-21'
84,'ART69692','SC1253',84,75,'2024-12-05','2025-11-18'
85,'ART51762','SC3082',85,60,'2024-04-09','2025-10-18'
86,'ART47896','SC9086',86,8,'2024-04-29','2025-05-20'
87,'ART13944','SC9647',87,73,'2024-08-12','2025-06-01'
88,'ART45648','SC3066',88,11,'2024-02-25','2025-05-07'
89,'ART69396','SC7411',89,29,'2024-11-15','2025-07-04'
90,'ART45572','SC4455',90,28,'2025-01-01','2025-07-14'
91,'ART94538','SC8883',91,73,'2024-09-21','2025-11-06'
92,'ART14093','SC5142',92,89,'2024-03-09','2025-05-12'
93,'ART31333','SC3200',93,26,'2024-09-21','2025-11-04'
94,'ART44866','SC9629',94,81,'2024-04-22','2025-03-10'
95,'ART22236','SC6557',95,92,'2024-09-16','2025-04-10'
96,'ART24363','SC4283',96,24,'2024-06-12','2025-08-20'
97,'ART12970','SC3749',97,100,'2024-09-16','2025-05-08'
98,'ART86696','SC8688',98,62,'2024-12-31','2025-07-17'
99,'ART54193','SC1772',99,33,'2025-01-02','2025-11-11'
100,'ART49076','SC6849',100,53,'2024-08-21','2025-05-12'
101,'ART43209','SC3251',101,66,'2024-07-10','2025-10-28'
102,'ART34850','SC9975',102,60,'2024-11-11','2026-01-23'
103,'ART41552','SC6578',103,14,'2024-06-22','2025-07-03'
104,'ART19184','SC3232',104,54,'2024-08-31','2025-03-12'
105,'ART61296','SC9690',105,30,'2024-06-13','2025-08-26'
106,'ART10877','SC3533',106,6,'2024-06-03','2025-05-18'
107,'ART20549','SC3992',107,56,'2024-04-09','2026-01-15'
108,'ART98976','SC7972',108,41,'2024-04-17','2025-03-10'
109,'ART23101','SC1402',109,54,'2024-08-30','2025-10-27'
110,'ART35857','SC3257',110,69,'2024-02-29','2025-06-24'
111,'ART32997','SC8311',111,38,'2024-02-20','2025-12-11'
112,'ART15992','SC6544',112,41,'2024-08-22','2025-12-23'
113,'ART16961','SC6905',113,84,'2025-01-15','2025-05-18'
114,'ART85062','SC3309',114,14,'2024-11-05','2026-02-10'
115,'ART48891','SC8064',115,50,'2024-12-06','2025-12-16'
116,'ART19391','SC5342',116,20,'2024-09-02','2025-12-06'
117,'ART45353','SC4915',117,66,'2024-12-10','2025-11-18'
118,'ART62822','SC6149',118,53,'2025-01-14','2025-09-21'
119,'ART32952','SC1997',119,30,'2024-11-17','2025-03-04'
120,'ART75762','SC5831',120,4,'2024-08-07','2025-10-12'
121,'ART68475','SC7056',121,19,'2025-01-25','2025-06-18'
122,'ART52132','SC9707',122,96,'2024-06-21','2025-08-20'
123,'ART94790','SC6547',123,46,'2024-10-23','2025-03-03'
124,'ART61992','SC7051',124,94,'2024-09-06','2025-12-29'
125,'ART17018','SC1135',125,13,'2024-06-02','2025-05-10'
126,'ART28471','SC8888',126,16,'2025-01-30','2025-04-17'
127,'ART33180','SC3932',127,36,'2024-11-15','2025-12-14'
128,'ART11692','SC6892',128,20,'2024-11-16','2026-02-08'
129,'ART89295','SC7832',129,47,'2024-12-13','2025-09-05'
130,'ART18814','SC9829',130,40,'2025-01-29','2025-12-30'
131,'ART51143','SC4873',131,20,'2024-05-04','2026-02-02'
132,'ART99610','SC2890',132,64,'2024-07-02','2025-05-14'
133,'ART16937','SC7437',133,52,'2024-10-20','2025-06-15'
134,'ART51120','SC6791',134,84,'2024-04-23','2025-08-23'
135,'ART65334','SC5477',135,3,'2024-05-08','2025-07-18'
136,'ART70347','SC8626',136,32,'2024-02-28','2025-07-23'
137,'ART33322','SC9849',137,78,'2025-02-10','2025-05-21'
138,'ART36172','SC3738',138,95,'2024-09-14','2026-01-10'
139,'ART65274','SC1982',139,40,'2024-09-09','2025-10-02'
140,'ART19319','SC6455',140,33,'2024-12-21','2025-09-07'
141,'ART73961','SC2211',141,100,'2024-09-23','2025-07-03'
142,'ART81270','SC2239',142,86,'2024-07-06','2025-05-06'
143,'ART35714','SC3677',143,45,'2024-06-06','2025-08-20'
144,'ART82822','SC4561',144,54,'2024-03-16','2025-10-12'
145,'ART60318','SC5286',145,69,'2024-05-06','2025-12-11'
146,'ART30431','SC9846',146,63,'2024-11-26','2025-03-12'
147,'ART25584','SC8100',147,34,'2025-02-16','2026-02-19'
