'ART54317  ','Partial','Active','Armed                    ','Maintenance',308,'Low',16,'Poor'
'ART54254  ','Full','Maintenance','Armed                    ','Active',993,'Low',11,'Poor'
'ART69978  ','Limited','Partial','Maintenance              ','Partial',19,'Medium',20,'Good'
'ART50422  ','Full','Partial','Partial                  ','Maintenance',888,'High',6,'Poor'
'ART95251  ','Partial','Maintenance','Partial                  ','Partial',736,'High',16,'Good'
'ART48028  ','Limited','Active','Maintenance              ','Maintenance',557,'High',14,'Good'
'ART69512  ','Partial','Active','Maintenance              ','Active',371,'Medium',30,'Poor'
'ART44049  ','Limited','Active','Armed                    ','Active',448,'Low',21,'Fair'
'ART22173  ','Full','Partial','Partial                  ','Active',776,'Medium',22,'Good'
'ART48053  ','Partial','Maintenance','Maintenance              ','Partial',802,'Medium',25,'Fair'
'ART17157  ','Partial','Active','Maintenance              ','Partial',743,'Medium',17,'Poor'
'ART93578  ','Limited','Active','Partial                  ','Maintenance',970,'Medium',6,'Poor'
'ART23875  ','Partial','Active','Maintenance              ','Active',407,'Medium',25,'Fair'
'ART23155  ','Full','Partial','Maintenance              ','Partial',330,'Medium',29,'Good'
'ART87883  ','Limited','Partial','Maintenance              ','Active',95,'High',7,'Good'
'ART44432  ','Limited','Partial','Partial                  ','Partial',919,'Low',13,'Poor'
'ART77091  ','Partial','Partial','Armed                    ','Partial',534,'High',2,'Poor'
'ART30247  ','Partial','Active','Armed                    ','Active',581,'Medium',12,'Poor'
'ART54391  ','Full','Partial','Maintenance              ','Active',829,'Medium',3,'Good'
'ART49538  ','Full','Partial','Maintenance              ','Active',725,'Low',19,'Poor'
'ART79242  ','Limited','Maintenance','Maintenance              ','Partial',576,'Medium',7,'Fair'
'ART23455  ','Limited','Maintenance','Armed                    ','Active',981,'Low',6,'Fair'
'ART75266  ','Full','Partial','Armed                    ','Maintenance',717,'Low',6,'Poor'
'ART85937  ','Partial','Partial','Maintenance              ','Active',777,'High',1,'Poor'
'ART67347  ','Full','Maintenance','Maintenance              ','Active',906,'Medium',22,'Good'
'ART89393  ','Partial','Maintenance','Armed                    ','Partial',451,'Medium',20,'Poor'
'ART45377  ','Full','Partial','Partial                  ','Partial',329,'High',23,'Poor'
'ART70054  ','Limited','Maintenance','Maintenance              ','Partial',70,'High',7,'Poor'
'ART64175  ','Limited','Partial','Armed                    ','Partial',582,'High',2,'Fair'
'ART73040  ','Full','Active','Partial                  ','Maintenance',538,'Low',21,'Fair'
'ART97169  ','Limited','Maintenance','Armed                    ','Maintenance',708,'Medium',23,'Fair'
'ART27258  ','Full','Partial','Armed                    ','Partial',566,'High',1,'Good'
'ART19807  ','Limited','Maintenance','Partial                  ','Active',143,'Low',29,'Good'
'ART56964  ','Partial','Partial','Maintenance              ','Active',420,'Medium',27,'Good'
'ART52327  ','Full','Maintenance','Maintenance              ','Active',297,'Medium',21,'Fair'
'ART95026  ','Full','Active','Maintenance              ','Partial',24,'Medium',21,'Good'
'ART75963  ','Limited','Partial','Armed                    ','Active',429,'High',24,'Fair'
'ART74018  ','Limited','Maintenance','Maintenance              ','Partial',208,'Medium',30,'Poor'
'ART33769  ','Limited','Partial','Maintenance              ','Partial',349,'High',7,'Fair'
'ART49793  ','Partial','Partial','Partial                  ','Maintenance',339,'High',12,'Good'
