1,1,794,89,11,12,27,16.7,34.10,0.0140,6.4,0.18
2,2,539,420,12,18,21,10.7,16.40,0.0350,4.3,0.19
3,3,402,393,47,14,13,5.4,29.00,0.0770,5.9,0.14
4,4,446,53,44,6,24,18.0,17.70,0.0410,7.6,0.20
5,5,448,386,42,13,11,16.5,6.00,0.0830,5.4,0.12
6,6,696,101,NULL,15,1,0.5,6.10,0.0240,6.4,0.15
7,7,933,184,34,4,17,34.1,43.70,0.0270,4.9,0.27
8,8,499,193,34,16,6,0.7,3.60,0.0080,6.8,0.26
9,9,478,480,10,NULL,10,3.0,16.50,0.0650,4.9,0.29
10,10,837,284,16,18,25,23.8,20.00,0.0760,7.4,0.21
11,11,766,248,44,20,20,34.4,41.50,0.0230,6.8,0.21
12,12,964,447,8,20,19,1.5,31.90,0.0270,5.7,0.16
13,13,480,190,24,19,29,9.5,29.40,0.0490,5.4,0.21
14,14,617,79,23,3,29,13.2,23.20,0.0460,5.9,0.13
15,15,759,183,12,15,18,21.8,9.80,0.0220,5.8,0.17
16,16,700,142,34,9,20,15.8,28.50,0.0260,5.1,0.27
17,17,621,117,28,11,9,5.7,0.50,0.0350,6.7,0.20
18,18,809,226,30,9,3,12.4,34.70,0.0140,5.1,0.25
19,19,429,312,34,NULL,30,18.0,20.40,0.0830,4.4,0.18
20,20,859,57,45,7,18,8.1,25.00,0.0180,7.9,0.24
21,21,760,421,37,NULL,7,32.0,38.90,0.0410,5.9,0.17
22,22,440,189,25,2,11,18.9,22.50,0.0340,7.5,0.21
23,23,760,168,35,15,23,14.8,41.50,0.0620,5.8,0.21
24,24,704,393,34,3,5,21.9,43.70,0.0440,5.5,0.13
25,25,853,420,38,12,17,19.0,14.10,0.0350,7.3,0.13
26,26,628,478,22,7,15,21.5,43.00,0.0490,6.7,0.29
27,27,576,144,40,11,28,17.3,38.20,0.0740,4.6,0.27
28,28,874,128,34,2,21,32.8,46.20,0.0080,5.4,0.29
29,29,978,300,46,8,11,4.4,26.10,0.0570,5.6,0.29
30,30,731,66,40,6,12,14.6,9.00,0.0110,7.9,0.26
31,31,992,107,3,16,7,24.7,12.80,0.0020,7.8,0.17
32,32,413,438,16,9,11,8.4,26.90,0.0890,8.0,0.12
33,33,556,172,17,10,14,20.4,37.50,0.0150,5.2,0.29
34,34,421,195,28,13,17,21.6,17.40,0.0230,6.1,0.19
35,35,619,410,50,8,2,29.8,7.50,0.0340,6.8,0.18
36,36,578,114,9,19,11,29.1,2.30,0.0610,4.7,0.12
37,37,599,165,36,15,27,29.3,37.00,0.0530,5.8,0.19
38,38,380,276,40,17,9,13.7,5.90,0.0920,4.5,0.13
39,39,834,67,39,NULL,21,16.9,36.70,0.0420,7.8,0.26
40,40,570,171,33,3,13,23.2,43.30,0.0960,7.2,0.14
41,41,354,252,6,15,6,8.3,15.10,0.0830,4.6,0.26
42,42,443,93,22,15,17,3.3,35.40,0.0420,6.5,0.23
43,43,552,345,15,12,11,14.2,7.70,0.0620,4.4,0.27
44,44,594,440,34,8,8,17.5,6.60,0.0430,6.0,0.10
45,45,825,384,21,15,10,2.5,19.80,0.0400,7.9,0.18
46,46,938,122,43,12,10,15.8,34.20,0.0010,7.7,0.23
47,47,826,109,26,13,20,3.2,49.20,0.0070,7.6,0.28
48,48,914,193,32,15,8,17.7,21.70,0.0760,7.8,0.22
49,49,719,483,35,NULL,27,11.6,34.50,0.0350,5.9,0.18
50,50,934,382,3,15,17,26.3,15.60,0.0460,5.8,0.19
51,51,494,93,34,12,13,24.6,44.20,0.0580,7.9,0.13
52,52,467,211,11,2,14,4.5,34.10,0.0120,6.6,0.21
53,53,389,121,16,14,5,13.9,25.20,0.0060,4.1,0.12
54,54,806,386,3,1,5,28.4,33.20,0.0090,5.5,0.16
55,55,563,130,NULL,1,9,28.4,29.40,0.0400,5.0,0.29
56,56,811,449,40,20,NULL,19.0,20.30,0.0490,7.5,0.23
57,57,890,259,5,13,29,20.1,2.60,0.0960,5.7,0.24
