1,1,91,32.58,7.51,71166
2,2,138,64.99,7.81,69438
3,3,71,66.82,5.47,75541
4,4,154,5.04,4.72,72411
5,5,87,6.61,9.47,80807
6,6,111,17.85,5.32,67842
7,7,73,33.42,9.77,49519
8,8,78,24.14,6.82,40533
9,9,109,63.45,6.15,16631
10,10,67,54.25,8.45,74801
11,11,130,13.76,2.14,69251
12,12,160,71.97,6.96,31216
13,13,160,61.70,3.92,47531
14,14,71,47.37,9.13,39071
15,15,93,61.92,2.87,41824
16,16,132,37.15,4.45,74410
17,17,196,42.58,4.49,63653
18,18,178,22.87,9.74,15303
19,19,193,12.29,7.31,73861
20,20,147,68.49,3.05,68400
21,21,100,3.54,8.77,35644
22,22,108,46.98,3.00,31572
23,23,193,3.26,2.57,76250
24,24,139,45.72,1.24,51429
25,25,110,56.03,2.91,43846
26,26,51,42.03,7.94,52053
27,27,106,47.59,3.95,27641
28,28,146,20.32,3.34,63845
29,29,77,1.07,9.56,38912
30,30,189,31.39,1.08,79801
31,31,76,35.11,5.57,71910
32,32,144,57.75,4.70,64019
33,33,62,37.38,8.48,73671
34,34,77,51.91,4.99,62799
35,35,190,24.42,3.41,60247
36,36,115,51.34,8.93,52061
37,37,96,37.16,1.48,75519
38,38,144,74.09,2.74,68156
39,39,60,7.95,5.45,62029
40,40,77,34.10,5.13,80905
41,41,158,52.31,8.99,40493
42,42,112,71.89,1.61,44885
43,43,112,0.53,6.65,34144
44,44,199,32.14,6.22,78932
45,45,64,25.60,3.02,77250
46,46,110,72.21,6.77,73805
47,47,157,69.21,5.08,30643
48,48,160,22.17,2.10,20304
49,49,81,9.68,2.68,55729
50,50,118,23.91,4.37,61030
51,51,176,14.32,6.77,19436
52,52,186,51.52,9.51,31531
53,53,187,43.27,4.75,78110
54,54,149,19.83,8.97,16707
55,55,74,48.24,2.07,60803
56,56,171,70.23,6.46,76495
57,57,150,56.60,5.64,19482
58,58,178,5.05,6.13,37759
59,59,66,64.27,2.04,72630
60,60,135,32.16,7.83,36259
61,61,154,6.01,8.58,60576
62,62,155,30.44,3.07,69400
63,63,72,48.90,2.79,30980
64,64,174,19.21,0.04,23778
65,65,89,67.07,3.49,22268
66,66,159,17.95,4.54,50257
67,67,141,17.56,0.58,61600
68,68,194,58.50,1.46,74588
69,69,196,0.99,1.85,30009
70,70,176,12.57,6.99,32023
71,71,135,55.84,6.42,47712
