1,1,0.461,47,1.74,234,0.10,'Medium',10,NULL,6.7,10.30,'High                ',0.04,0.47,1.99,19.11,45.5,'Medium','Normal                   ','Stable','Significant Changes',0.08,-0.00100,5,20.80,78.75
2,2,0.053,50,0.39,450,0.33,'Low',6,NULL,6.5,11.00,'High                ',0.05,0.37,0.87,20.09,53.0,NULL,'Critical                 ','Stable','Significant Changes',0.07,-0.01100,4,20.53,78.30
3,3,0.018,42,2.77,486,0.43,'Low',7,'Beetles',6.6,10.10,'Low                 ',0.02,0.92,1.48,20.53,54.8,NULL,'Critical                 ','Stable','Minor Changes',0.16,-0.09900,3,20.31,78.62
4,4,0.153,31,0.72,151,0.79,NULL,8,'Booklice',7.2,7.40,'Medium              ',0.01,0.84,0.69,21.77,50.2,NULL,'Critical                 ','Minor Issues','Minor Changes',0.05,0.07800,7,20.64,78.56
5,5,0.167,33,3.28,282,0.93,NULL,NULL,'Moths',6.9,11.10,'Low                 ',0.02,0.11,1.73,18.88,52.9,'High','Attention Required       ','Stable','No Changes',0.24,0.09500,9,20.97,78.10
6,6,0.048,30,1.86,110,0.08,NULL,5,'Moths',7.5,11.00,'High                ',0.09,0.49,0.86,19.68,54.0,'Low','Critical                 ','Stable','No Changes',0.09,-0.05300,8,20.36,78.95
7,7,0.113,57,3.48,241,0.75,NULL,5,'Moths',6.2,7.50,'Low                 ',0.08,0.09,0.7,18.34,54.1,'Medium','Critical                 ','Stable','Significant Changes',0.09,0.01000,1,20.07,78.59
8,8,0.18,56,0.97,215,0.67,'High',2,'Moths',6.4,11.90,'Low                 ',0.06,0.69,0.5,19.06,51.0,'Medium','Normal                   ','Major Issues','Significant Changes',0.39,NULL,6,20.78,78.68
9,9,0.228,58,1.82,241,0.93,NULL,2,'Beetles',7.3,11.30,'Low                 ',0.06,0.65,0.9,19.07,53.0,NULL,'Attention Required       ','Major Issues','No Changes',0.12,0.04300,9,20.51,78.29
10,10,0.404,33,1.72,452,0.65,'High',4,'Moths',7.7,6.70,'Medium              ',0.02,0.93,0.85,21.41,54.2,NULL,'Attention Required       ','Major Issues','Minor Changes',0.50,-0.06400,9,20.71,78.83
11,11,0.055,52,0.05,237,0.46,'Low',6,'Silverfish',7.4,9.20,'Medium              ',0.08,0.29,0.38,19.29,53.2,NULL,'Critical                 ','Major Issues','Significant Changes',0.32,0.04500,8,20.63,78.90
12,12,0.024,36,1.67,362,0.12,'High',10,'Booklice',7.1,7.80,'Low                 ',0.04,0.54,0.54,19.69,45.8,'Medium','Attention Required       ','Stable','No Changes',0.20,0.03400,4,20.02,78.78
13,13,0.227,53,3.17,194,0.95,'Medium',NULL,NULL,6.1,8.90,'High                ',0.02,0.88,0.45,19.53,49.3,'Low','Critical                 ','Stable','Minor Changes',NULL,0.02900,3,20.26,78.41
14,14,0.273,48,0.27,220,0.49,'Low',8,'Moths',7.9,9.00,'High                ',0.06,0.71,0.04,21.04,46.3,'Medium','Attention Required       ','Minor Issues','No Changes',0.41,0.06200,5,20.75,78.78
15,15,0.26,52,0.78,105,0.64,'Medium',NULL,'Silverfish',7.1,10.80,'High                ',0.01,0.38,1.67,21.73,49.1,'Low','Attention Required       ','Minor Issues','Significant Changes',0.22,-0.05900,7,20.88,78.19
16,16,0.486,40,0.23,409,0.85,'High',2,NULL,6.8,9.90,'High                ',0.08,0.91,1.71,20.13,49.4,'High','Critical                 ','Major Issues','Significant Changes',0.33,-0.04300,5,20.88,78.36
17,17,0.217,59,0.89,344,0.84,'Medium',1,'Booklice',7.2,7.90,'Medium              ',0.09,0.11,0.82,20.48,45.5,NULL,'Attention Required       ','Major Issues','Significant Changes',0.19,-0.04400,6,20.54,78.45
18,18,0.368,60,0.15,440,0.30,'Medium',8,'Silverfish',7.8,9.00,'Medium              ',0.08,0.16,0.91,19.24,50.8,'Medium','Critical                 ','Major Issues','No Changes',0.24,-0.01100,0,20.51,78.34
19,19,0.43,37,1.53,374,0.56,NULL,3,'Beetles',6.5,9.30,'Low                 ',0.01,0.55,1.43,19.68,48.1,NULL,'Normal                   ','Major Issues','Significant Changes',0.27,0.04300,4,20.76,78.82
20,20,0.341,34,0.37,223,0.72,'Medium',9,'Beetles',6.4,6.50,'Medium              ',0.03,0.36,1.83,21.57,49.0,'High','Normal                   ','Major Issues','Significant Changes',0.09,-0.07200,1,20.11,78.01
21,21,0.262,35,1.55,470,0.05,NULL,2,'Booklice',7.4,9.10,'Low                 ',0.09,0.91,1.96,21.82,46.9,NULL,'Normal                   ','Minor Issues','Significant Changes',0.23,-0.00800,9,20.41,78.55
22,22,0.166,38,4.33,49,0.85,'Low',9,'Booklice',7.8,10.60,'Medium              ',0.10,0.15,0.66,18.05,45.4,'Medium','Critical                 ','Stable','No Changes',0.16,0.08500,7,20.59,78.51
23,23,0.026,39,0.65,206,0.83,'Low',1,NULL,7.7,6.10,'Low                 ',0.05,0.12,0.69,21.42,45.8,'High','Normal                   ','Stable','Significant Changes',0.39,-0.05900,0,20.16,78.04
24,24,0.065,55,3.20,406,0.98,'Medium',8,'Moths',6.6,8.50,'High                ',0.08,0.93,1.82,20.49,49.1,NULL,'Attention Required       ','Minor Issues','Minor Changes',NULL,-0.09800,2,20.87,78.75
25,25,0.474,52,2.80,245,0.76,'Medium',10,'Beetles',6.4,6.50,'Low                 ',0.04,0.83,0.76,20.03,50.6,NULL,'Critical                 ','Stable','Minor Changes',0.17,0.01300,1,20.82,78.73
26,26,0.216,59,3.21,208,0.79,NULL,NULL,'Silverfish',6.1,8.60,'High                ',0.01,0.68,0.14,18.14,45.3,NULL,'Normal                   ','Minor Issues','No Changes',NULL,0.07500,5,20.39,78.05
27,27,0.481,32,2.18,72,0.89,NULL,1,'Beetles',7.6,7.70,'Medium              ',0.10,0.96,0.17,21.69,52.0,'Medium','Attention Required       ','Minor Issues','Significant Changes',0.11,-0.02100,4,20.63,78.24
28,28,0.275,52,1.40,413,0.36,NULL,NULL,NULL,6.9,7.40,'Low                 ',0.05,0.38,0.63,21.16,51.9,NULL,'Normal                   ','Major Issues','Significant Changes',0.33,-0.01500,0,20.53,78.94
29,29,0.16,60,2.63,87,0.97,'High',4,'Beetles',6.4,6.00,'Low                 ',0.02,0.35,0.22,19.01,50.7,'High','Normal                   ','Minor Issues','Significant Changes',0.26,0.10000,2,20.51,78.96
30,30,0.237,46,0.48,363,0.91,'Medium',10,'Moths',6.8,10.20,'Low                 ',0.09,0.68,1.49,19.04,47.3,'Medium','Critical                 ','Minor Issues','Minor Changes',0.49,-0.01200,4,20.02,78.72
31,31,0.287,42,2.06,488,0.95,'Medium',2,'Booklice',7.0,8.10,'High                ',0.09,0.37,0.83,21.48,50.7,'High','Attention Required       ','Major Issues','Minor Changes',0.06,-0.07100,4,20.36,78.06
32,32,0.207,49,2.36,240,0.93,'High',8,'Beetles',7.3,10.90,'High                ',0.09,0.94,1.7,21.24,51.8,NULL,'Normal                   ','Minor Issues','Minor Changes',0.46,0.02600,1,20.87,78.48
33,33,0.071,56,4.09,453,0.97,'High',9,'Beetles',6.4,6.10,'Low                 ',0.01,0.23,1.91,18.59,54.8,'High','Critical                 ','Major Issues','Significant Changes',0.08,0.04000,1,20.25,78.80
34,34,0.317,44,1.90,186,0.65,NULL,6,'Silverfish',7.7,9.40,'Low                 ',0.00,0.20,1.34,18.96,45.1,'High','Attention Required       ','Minor Issues','No Changes',0.33,-0.09700,2,20.97,78.45
35,35,0.372,45,1.30,462,0.49,'Low',1,'Moths',6.1,6.70,'High                ',0.06,0.12,0.94,19.03,54.8,'High','Critical                 ','Stable','Minor Changes',0.17,0.07000,9,20.29,78.01
36,36,0.361,33,4.46,288,0.06,'Low',6,'Moths',7.7,7.50,'Low                 ',0.09,0.27,1.74,18.94,48.0,NULL,'Critical                 ','Major Issues','Significant Changes',0.19,-0.00200,3,20.20,78.84
37,37,0.008,47,1.50,441,0.07,'High',9,'Moths',7.5,11.10,'Low                 ',0.03,0.67,0.65,20.89,53.6,'Medium','Normal                   ','Minor Issues','No Changes',0.26,0.05800,4,20.42,78.49
38,38,0.206,44,3.23,487,0.91,'High',NULL,'Beetles',6.2,9.40,'High                ',0.03,0.02,1.99,20.55,49.2,'Low','Critical                 ','Major Issues','No Changes',0.15,-0.01400,0,20.14,78.66
39,39,0.306,49,4.20,391,0.79,'High',6,'Moths',6.5,8.10,'Low                 ',0.00,NULL,1.1,21.91,52.9,NULL,'Critical                 ','Minor Issues','No Changes',0.19,0.03600,8,20.21,78.80
