'SC9857      ','ART54317',95.1,'Tempered Glass','Poor','Overdue                  ','Replace Now','Active              ','2024-09-15',81,71.70,0.41,-2,'Active','Maintenance','Testing   ','Ready'
'SC7393      ','ART54254',93.0,'Tempered Glass','Excellent','Overdue                  ','Replace Now','Active              ','2024-12-15',78,79.80,0.07,3,'Standby','Active','Active    ','Maintenance'
'SC9391      ','ART69978',99.4,'Glass','Good','Due                      ','Replace Soon','Replace Soon        ','2024-12-21',92,66.30,0.2,-3,'Active','Active','Active    ','Testing'
'SC3357      ','ART50422',99.3,'Tempered Glass','Fair','Due                      ','Replace Soon','Replace Soon        ','2024-09-06',86,69.00,0.41,1,'Standby','Active','Testing   ','Testing'
'SC5309      ','ART95251',92.5,'Glass','Good','Overdue                  ','Replace Now','Replace Now         ','2024-09-23',70,71.40,0.31,0,'Standby','Active','Active    ','Ready'
'SC3991      ','ART48028',95.5,'Acrylic','Excellent','Due                      ','Replace Soon','Active              ','2025-02-03',93,69.70,0.04,0,'Standby','Active','Standby   ','Maintenance'
'SC2020      ','ART69512',94.9,'Tempered Glass','Fair','Overdue                  ','Replace Soon','Active              ','2024-10-20',82,61.30,0.09,2,'Maintenance','Standby','Active    ','Maintenance'
'SC2414      ','ART44049',92.5,'Tempered Glass','Excellent','Good                     ','Clean','Replace Now         ','2025-01-24',99,72.00,0.29,2,'Standby','Active','Testing   ','Testing'
'SC6200      ','ART22173',95.0,'Tempered Glass','Poor','Good                     ','Replace Soon','Replace Now         ','2024-12-24',78,81.30,0.17,2,'Active','Active','Standby   ','Ready'
'SC6998      ','ART48053',96.8,'Glass','Excellent','Overdue                  ','Replace Now','Replace Now         ','2024-09-06',91,88.20,0.04,3,'Maintenance','Standby','Standby   ','Testing'
'SC8355      ','ART17157',91.3,'Glass','Poor','Good                     ','Replace Now','Replace Now         ','2024-10-26',93,95.10,0.48,2,'Active','Standby','Testing   ','Maintenance'
'SC3218      ','ART93578',95.6,'Acrylic','Good','Due                      ','Replace Now','Replace Now         ','2024-11-03',96,84.60,0.34,4,'Standby','Active','Active    ','Testing'
'SC3506      ','ART23875',92.6,'Acrylic','Excellent','Due                      ','Clean','Active              ','2024-10-28',72,62.60,0.13,0,'Active','Active','Active    ','Testing'
