1,'ART54317  ',7,9,4,25,9,9,'Medium','Complex   ','Unstable','Moderate'
2,'ART54254  ',3,5,7,13,1,3,'High','Moderate  ','Stable','Rapid'
3,'ART69978  ',5,10,4,4,7,3,'High','Moderate  ','Moderate','Rapid'
4,'ART50422  ',10,10,5,17,2,1,'Low','Moderate  ','Moderate','Moderate'
5,'ART95251  ',4,7,7,14,3,10,'High','Moderate  ','Moderate','Moderate'
6,'ART48028  ',2,9,8,96,4,3,'High','Complex   ','Unstable','Moderate'
7,'ART69512  ',10,1,7,1,5,6,'High','Complex   ','Unstable','Moderate'
8,'ART44049  ',4,1,1,53,2,7,'Medium','Moderate  ','Moderate','Moderate'
9,'ART22173  ',8,2,2,100,8,1,'Medium','Simple    ','Stable','Slow'
10,'ART48053  ',7,2,3,45,9,9,'Medium','Simple    ','Unstable','Rapid'
11,'ART17157  ',10,6,2,49,6,8,'Low','Moderate  ','Moderate','Slow'
12,'ART93578  ',5,2,4,41,3,3,'High','Moderate  ','Stable','Rapid'
13,'ART23875  ',6,10,10,35,6,6,'High','Complex   ','Moderate','Moderate'
14,'ART23155  ',4,5,5,38,7,5,'High','Simple    ','Unstable','Rapid'
15,'ART87883  ',2,4,5,48,7,3,'High','Complex   ','Stable','Slow'
16,'ART44432  ',2,5,8,72,3,3,'Medium','Simple    ','Unstable','Rapid'
17,'ART77091  ',7,2,6,57,7,5,'Medium','Complex   ','Unstable','Rapid'
18,'ART30247  ',9,10,4,43,10,2,'Medium','Moderate  ','Moderate','Moderate'
19,'ART54391  ',6,10,6,91,6,7,'Medium','Moderate  ','Stable','Slow'
20,'ART49538  ',9,9,3,86,6,2,'Low','Moderate  ','Stable','Rapid'
21,'ART79242  ',7,2,8,26,3,8,'Medium','Moderate  ','Unstable','Moderate'
22,'ART23455  ',8,6,3,40,8,5,'Low','Complex   ','Unstable','Moderate'
23,'ART75266  ',1,1,1,5,2,1,'High','Moderate  ','Unstable','Rapid'
24,'ART85937  ',9,10,8,85,3,8,'Low','Moderate  ','Unstable','Moderate'
25,'ART67347  ',5,5,8,57,7,1,'Medium','Moderate  ','Moderate','Slow'
26,'ART89393  ',7,7,7,89,9,8,'High','Complex   ','Stable','Moderate'
27,'ART45377  ',10,3,8,85,7,3,'High','Moderate  ','Stable','Moderate'
28,'ART70054  ',1,8,10,62,3,7,'Low','Simple    ','Unstable','Moderate'
29,'ART64175  ',1,1,10,22,3,4,'Low','Complex   ','Unstable','Rapid'
30,'ART73040  ',3,6,6,97,2,1,'Medium','Moderate  ','Stable','Rapid'
31,'ART97169  ',6,2,8,42,9,6,'High','Simple    ','Moderate','Moderate'
32,'ART27258  ',1,6,2,74,3,1,'Medium','Complex   ','Unstable','Slow'
33,'ART19807  ',9,7,5,98,10,10,'Low','Moderate  ','Unstable','Slow'
34,'ART56964  ',1,2,7,35,10,1,'Low','Simple    ','Stable','Rapid'
