1,'ART54317  ','ART54317','Medium','Review Required','Priority 3','Minimal',85
2,'ART54254  ','ART54254','Medium','Under Revision','Priority 1','Strict',76
3,'ART69978  ','ART69978','Medium','Updated','Priority 2','Minimal',91
4,'ART50422  ','ART50422','High','Under Revision','Priority 2','Strict',41
5,'ART95251  ','ART95251','Low','Review Required','Priority 3',NULL,1
6,'ART48028  ','ART48028','Low','Updated','Priority 1','Strict',75
7,'ART69512  ','ART69512','Medium','Updated','Priority 2',NULL,54
8,'ART44049  ','ART44049','Low','Under Revision','Priority 2',NULL,14
9,'ART22173  ','ART22173','Medium','Under Revision','Priority 3','Minimal',6
10,'ART48053  ','ART48053','High','Under Revision','Priority 1',NULL,7
11,'ART17157  ','ART17157','High','Under Revision','Priority 2','Minimal',24
12,'ART93578  ','ART93578','Low','Updated','Priority 3','Minimal',92
13,'ART23875  ','ART23875','High','Under Revision','Priority 2','Minimal',62
14,'ART23155  ','ART23155','Low','Under Revision','Priority 3','Minimal',96
15,'ART87883  ','ART87883','Medium','Under Revision','Priority 2','Strict',64
16,'ART44432  ','ART44432','Low','Under Revision','Priority 3','Minimal',57
17,'ART77091  ','ART77091','High','Updated','Priority 3','Strict',14
18,'ART30247  ','ART30247','High','Under Revision','Priority 1','Minimal',48
19,'ART54391  ','ART54391','High','Review Required','Priority 2','Minimal',37
20,'ART49538  ','ART49538','Low','Under Revision','Priority 2','Minimal',56
21,'ART79242  ','ART79242','High','Review Required','Priority 3','Strict',69
22,'ART23455  ','ART23455','High','Review Required','Priority 2','Strict',6
23,'ART75266  ','ART75266','Low','Under Revision','Priority 3','Minimal',62
24,'ART85937  ','ART85937','Medium','Under Revision','Priority 1','Strict',25
25,'ART67347  ','ART67347','High','Review Required','Priority 1','Minimal',27
26,'ART89393  ','ART89393','Low','Under Revision','Priority 2','Strict',50
27,'ART45377  ','ART45377','Low','Updated','Priority 3','Strict',2
28,'ART70054  ','ART70054','High','Updated','Priority 2','Strict',43
29,'ART64175  ','ART64175','Medium','Under Revision','Priority 1','Strict',45
