1,'ART54317  ','ART54317',1,'In Progress','High      ','2024-12-16','2025-05-10',83,'Updated','Closed','Current                  ','Current             ','Review Required','Limited                  ','Rare','Extensive',4,'Low','Medium'
2,'ART54254  ','ART54254',2,'In Progress','Medium    ','2024-12-13','2025-03-26',27,'Updated',NULL,'Overdue                  ','Overdue             ','Review Required','Depleted                 ','Rare','Minimal',1,'Low','High'
3,'ART69978  ','ART69978',3,'Not Required','Low       ','2024-11-21','2025-05-14',85,'Pending','Closed','Overdue                  ','Overdue             ','Insufficient','Limited                  ','Rare','Moderate',8,'Low','Low'
4,'ART50422  ','ART50422',4,'Scheduled','Urgent    ','2025-01-13','2025-03-27',74,'Pending','Open','Overdue                  ','Overdue             ','Insufficient','Limited                  ','Rare','Moderate',6,'Medium','High'
5,'ART95251  ','ART95251',5,'Scheduled','Urgent    ','2025-01-30','2025-05-16',24,'Updated',NULL,'Overdue                  ','Due                 ','Review Required','Limited                  ','Rare','Moderate',5,'High','High'
6,'ART48028  ','ART48028',6,'Not Required','Low       ','2025-01-17','2025-03-01',75,'Pending',NULL,'Due                      ','Overdue             ','Review Required','Depleted                 ','Occasional','Minimal',8,'Low','Low'
7,'ART69512  ','ART69512',7,'Scheduled','Medium    ','2025-02-15','2025-03-20',54,'Pending',NULL,'Current                  ','Overdue             ','Adequate','Depleted                 ','Occasional','Minimal',7,'High','High'
8,'ART44049  ','ART44049',8,'Scheduled','Medium    ','2025-02-11','2025-03-23',56,'Pending',NULL,'Current                  ','Current             ','Adequate','Limited                  ','Occasional','Moderate',1,'Low','Low'
9,'ART22173  ','ART22173',9,'Not Required','Medium    ','2025-02-01','2025-03-16',89,'Updated','Open','Current                  ','Overdue             ','Insufficient','Limited                  ','Frequent','Moderate',6,'Low','Medium'
10,'ART48053  ','ART48053',10,'In Progress','Medium    ','2025-02-18','2025-03-06',89,'Review','Closed','Current                  ','Due                 ','Review Required','Available                ','Frequent','Moderate',1,'High','Medium'
11,'ART17157  ','ART17157',11,'Scheduled','Low       ','2025-02-09','2025-03-20',17,'Review',NULL,'Current                  ','Overdue             ','Review Required','Depleted                 ','Rare','Minimal',2,'High','High'
12,'ART93578  ','ART93578',12,'Scheduled','Low       ','2024-12-19','2025-03-22',48,'Review','Open','Current                  ','Overdue             ','Adequate','Depleted                 ','Rare','Moderate',6,'Low','Low'
13,'ART23875  ','ART23875',13,'In Progress','Low       ','2025-01-09','2025-04-04',44,'Review','Closed','Due                      ','Overdue             ','Adequate','Limited                  ','Rare','Minimal',5,'Medium','Medium'
