1,'ART54317  ','Low                 ','High','High','Medium','Medium              ','High','High','Medium              ','High','Low','Medium'
2,'ART54254  ','High                ','Low','Low','High','High                ','Medium','Low','Medium              ','High','Low','Low'
3,'ART69978  ','High                ','High','Medium','Low','Low                 ','High','High','Low                 ','Low','High','Medium'
4,'ART50422  ','High                ','Medium','Medium','Medium','Low                 ','High','Medium','Medium              ','High','Medium','Low'
5,'ART95251  ','Low                 ','High','High','Medium','Low                 ','Low','High','Medium              ','High','High','High'
6,'ART48028  ','Medium              ','Low','Low','Medium','High                ','High','Low','High                ','Low','High','Low'
7,'ART69512  ','Medium              ','Low','Medium','High','High                ','High','Medium','High                ','Low','Low','Medium'
8,'ART44049  ','Medium              ','Medium','Low','Medium','Low                 ','Medium','Low','Low                 ','Medium','Medium','Low'
9,'ART22173  ','Low                 ','High','Medium','Low','Medium              ','High','High','High                ','Low','Medium','Low'
10,'ART48053  ','High                ','High','Medium','High','High                ','Medium','Medium','High                ','Medium','Low','Low'
11,'ART17157  ','High                ','Low','High','Low','Medium              ','High','Medium','Low                 ','Low','High','High'
12,'ART93578  ','High                ','Medium','High','Medium','Medium              ','Medium','High','High                ','Low','Medium','High'
13,'ART23875  ','Medium              ','High','Low','Medium','Low                 ','Medium','High','Low                 ','Medium','Medium','Low'
14,'ART23155  ','High                ','Low','Low','Medium','Low                 ','Medium','High','High                ','Medium','High','Low'
15,'ART87883  ','High                ','Medium','Medium','Low','Low                 ','Low','Low','High                ','Medium','Low','High'
16,'ART44432  ','Medium              ','High','Low','High','Low                 ','Medium','Low','High                ','Medium','High','Medium'
17,'ART77091  ','High                ','High','Low','Low','Medium              ','Low','High','Medium              ','Medium','Low','Medium'
18,'ART30247  ','High                ','High','Medium','Low','Medium              ','Low','Low','Low                 ','High','High','High'
19,'ART54391  ','Medium              ','Low','High','Medium','High                ','High','High','Low                 ','High','Low','High'
20,'ART49538  ','High                ','High','Low','Low','Medium              ','Low','Medium','Medium              ','Low','Low','Low'
21,'ART79242  ','High                ','Low','High','High','High                ','High','Low','Low                 ','Low','Medium','High'
22,'ART23455  ','Low                 ','High','Low','Medium','Medium              ','High','Medium','Medium              ','High','Medium','Low'
23,'ART75266  ','Low                 ','High','High','Medium','Low                 ','Medium','Low','Medium              ','Low','High','Low'
24,'ART85937  ','High                ','High','Low','Low','High                ','Low','Medium','Low                 ','Medium','Low','Low'
25,'ART67347  ','High                ','Low','High','Medium','Low                 ','Low','Low','Low                 ','High','High','Low'
26,'ART89393  ','High                ','Low','Medium','Low','High                ','High','High','Medium              ','Medium','Medium','Low'
27,'ART45377  ','Medium              ','Medium','Medium','High','High                ','Low','Low','High                ','Medium','Medium','Low'
28,'ART70054  ','High                ','Medium','Medium','Medium','Medium              ','Low','Low','Low                 ','High','Medium','Low'
29,'ART64175  ','Low                 ','Low','Low','High','Low                 ','Low','High','Medium              ','High','Medium','High'
30,'ART73040  ','Medium              ','Medium','Medium','Medium','Low                 ','Low','Low','Low                 ','Medium','Low','Low'
31,'ART97169  ','Low                 ','Medium','Low','Medium','Low                 ','Medium','Medium','Low                 ','Low','Medium','High'
32,'ART27258  ','Low                 ','Low','High','High','Medium              ','High','High','High                ','Medium','Medium','High'
33,'ART19807  ','Low                 ','High','High','Low','Medium              ','Medium','High','Low                 ','Medium','Low','Medium'
34,'ART56964  ','Low                 ','Low','High','Medium','Low                 ','Medium','Low','High                ','Medium','High','Low'
35,'ART52327  ','Low                 ','Medium','Low','Low','Medium              ','High','High','Low                 ','High','Low','High'
36,'ART95026  ','Medium              ','Medium','High','Low','Medium              ','Medium','High','Low                 ','Low','Low','Medium'
37,'ART75963  ','High                ','High','Medium','High','Medium              ','High','High','Medium              ','High','High','High'
38,'ART74018  ','Medium              ','High','Low','Low','High                ','Low','Low','Low                 ','High','High','Low'
39,'ART33769  ','High                ','Low','Low','Medium','Low                 ','Low','Low','Low                 ','High','Medium','Low'
40,'ART49793  ','Medium              ','High','Low','Medium','High                ','Medium','Low','Medium              ','High','Low','Medium'
41,'ART84247  ','Low                 ','Low','Medium','High','Medium              ','Low','Low','High                ','Medium','High','Medium'
42,'ART35668  ','Low                 ','High','High','Medium','High                ','High','Medium','Low                 ','High','High','Medium'
43,'ART55333  ','Low                 ','Medium','High','Low','Medium              ','Low','Medium','High                ','Low','Medium','Low'
44,'ART78189  ','Low                 ','Low','High','Medium','High                ','Medium','Medium','Low                 ','High','Low','High'
45,'ART98570  ','Medium              ','Low','High','High','Medium              ','Low','Medium','High                ','Low','High','Medium'
46,'ART86437  ','High                ','High','Medium','Low','High                ','Low','Low','Low                 ','Medium','High','Medium'
47,'ART77193  ','Low                 ','Low','High','High','Medium              ','Low','High','Medium              ','High','Medium','High'
48,'ART11997  ','Medium              ','Medium','High','Medium','High                ','Medium','Low','Medium              ','Medium','Medium','Medium'
49,'ART71036  ','Low                 ','Low','Low','Medium','Medium              ','High','Low','Medium              ','Low','High','Low'
50,'ART74448  ','Medium              ','High','High','Medium','High                ','Medium','Low','Medium              ','High','Low','High'
51,'ART16032  ','Low                 ','Low','High','High','Medium              ','Medium','High','Low                 ','Medium','Medium','Low'
52,'ART75678  ','High                ','Medium','Medium','Medium','Low                 ','High','Low','Medium              ','Medium','Low','Low'
53,'ART62574  ','High                ','Medium','Low','High','Low                 ','High','Low','Low                 ','Low','High','Low'
54,'ART74715  ','High                ','Medium','High','Medium','High                ','Medium','High','Low                 ','Medium','Low','High'
55,'ART15630  ','High                ','Medium','Medium','Low','Low                 ','Low','Medium','Medium              ','High','Low','High'
56,'ART71177  ','Medium              ','High','Low','Medium','Low                 ','Medium','High','High                ','Medium','Low','Medium'
57,'ART34027  ','Medium              ','High','High','Low','Low                 ','Low','Medium','High                ','Low','High','High'
58,'ART66667  ','High                ','Low','Medium','High','Medium              ','High','Medium','Medium              ','Medium','Medium','High'
59,'ART32567  ','Low                 ','Low','Medium','Low','High                ','High','Low','High                ','High','Medium','Medium'
60,'ART32207  ','Medium              ','High','Low','High','Medium              ','High','High','Medium              ','Medium','Low','Low'
61,'ART89880  ','High                ','Medium','Low','Low','High                ','Low','Low','Medium              ','Medium','Low','High'
62,'ART41900  ','Low                 ','Medium','Low','High','Medium              ','High','High','Medium              ','Low','Medium','High'
