1,'ART54317  ',1,'On Loan                  ',968368.00,'Level 3','Public','Updating','Outdated','Current','Review Required     ','Limited','In Progress'
2,'ART54254  ',2,'Available                ',36135.00,'Level 3','Public','Partial','Required','Due','Pending             ','Limited','Partial'
3,'ART69978  ',3,'On Loan                  ',330049.00,'Level 2','Restricted','Partial','Required','Current','Review Required     ','Limited','Partial'
4,'ART50422  ',4,'On Loan                  ',848622.00,'Level 2','Limited','Complete','Outdated','Overdue','Updated             ','Limited','In Progress'
5,'ART95251  ',5,'Not Available            ',776900.00,'Level 3','Limited','Updating','Recent','Current','Updated             ','Available','Complete'
6,'ART48028  ',6,'Not Available            ',399811.00,'Level 2','Public','Complete','Outdated','Due','Review Required     ','Restricted','Partial'
7,'ART69512  ',7,'Not Available            ',716285.00,'Level 3','Restricted','Updating','Outdated','Due','Review Required     ','Available','Partial'
8,'ART44049  ',8,'Available                ',702441.00,'Level 3','Limited','Updating','Recent','Due','Updated             ','Limited','Partial'
9,'ART22173  ',9,'Not Available            ',867351.00,'Level 1','Public','Updating','Recent','Current','Pending             ','Available','In Progress'
10,'ART48053  ',10,'Available                ',667145.00,'Level 3','Limited','Complete','Recent','Overdue','Pending             ','Available','Complete'
11,'ART17157  ',11,'Available                ',469119.00,'Level 3','Limited','Complete','Recent','Overdue','Review Required     ','Limited','Complete'
12,'ART93578  ',12,'Available                ',18505.00,'Level 2','Restricted','Complete','Recent','Due','Review Required     ','Available','Complete'
13,'ART23875  ',13,'Not Available            ',226350.00,'Level 2','Limited','Updating','Recent','Due','Updated             ','Available','In Progress'
14,'ART23155  ',14,'On Loan                  ',788588.00,'Level 3','Public','Complete','Outdated','Current','Updated             ','Restricted','In Progress'
15,'ART87883  ',15,'Available                ',422149.00,'Level 3','Public','Partial','Required','Due','Pending             ','Available','In Progress'
16,'ART44432  ',16,'On Loan                  ',386192.00,'Level 1','Public','Complete','Outdated','Due','Review Required     ','Restricted','In Progress'
17,'ART77091  ',17,'On Loan                  ',472969.00,'Level 3','Public','Complete','Outdated','Overdue','Updated             ','Restricted','Complete'
18,'ART30247  ',18,'Not Available            ',628376.00,'Level 1','Limited','Partial','Outdated','Due','Review Required     ','Limited','Partial'
19,'ART54391  ',19,'Not Available            ',396589.00,'Level 2','Limited','Partial','Outdated','Due','Pending             ','Available','Complete'
20,'ART49538  ',20,'On Loan                  ',467949.00,'Level 2','Public','Complete','Required','Due','Updated             ','Limited','Partial'
21,'ART79242  ',21,'On Loan                  ',136115.00,'Level 2','Public','Updating','Recent','Current','Updated             ','Available','Complete'
22,'ART23455  ',22,'Available                ',484039.00,'Level 3','Public','Partial','Recent','Current','Review Required     ','Limited','Partial'
23,'ART75266  ',23,'On Loan                  ',783805.00,'Level 2','Restricted','Partial','Recent','Current','Pending             ','Available','Partial'
24,'ART85937  ',24,'Not Available            ',192573.00,'Level 1','Restricted','Partial','Outdated','Due','Updated             ','Limited','Partial'
25,'ART67347  ',25,'Available                ',462052.00,'Level 1','Public','Partial','Outdated','Due','Pending             ','Available','Complete'
26,'ART89393  ',26,'Not Available            ',897483.00,'Level 1','Public','Updating','Required','Due','Review Required     ','Restricted','In Progress'
27,'ART45377  ',27,'Available                ',13235.00,'Level 1','Limited','Updating','Required','Current','Review Required     ','Limited','Partial'
28,'ART70054  ',28,'On Loan                  ',756076.00,'Level 3','Limited','Partial','Outdated','Overdue','Updated             ','Available','Partial'
29,'ART64175  ',29,'Not Available            ',838784.00,'Level 1','Limited','Partial','Required','Overdue','Review Required     ','Limited','Complete'
30,'ART73040  ',30,'On Loan                  ',837254.00,'Level 3','Public','Updating','Required','Due','Pending             ','Restricted','Complete'
31,'ART97169  ',31,'Not Available            ',183157.00,'Level 2','Limited','Complete','Recent','Due','Pending             ','Limited','In Progress'
32,'ART27258  ',32,'Available                ',28713.00,'Level 2','Public','Partial','Recent','Overdue','Pending             ','Restricted','In Progress'
33,'ART19807  ',33,'Available                ',259414.00,'Level 1','Limited','Partial','Outdated','Overdue','Pending             ','Available','In Progress'
34,'ART56964  ',34,'On Loan                  ',184465.00,'Level 1','Public','Updating','Recent','Overdue','Pending             ','Available','In Progress'
