'FIN_OMQ1','DIST_SB6K7','OPS_76ZOW',4227090.000,9.800,844.120,88256.00,976202,111548.000,364821.0000,'Critical',7699177.00,95367
'FIN_W50I','DIST_PGACZ','OPS_QXWBZ',3625344.000,35.000,18.760,919777.00,77922,272650.000,470856.0000,'Adequate',4068978.00,442493
'FIN_5B9D','DIST_HJ1BQ','OPS_GGBVJ',7987244.000,42.500,837.720,594338.00,811935,492222.000,906025.0000,'Adequate',6778191.00,426146
'FIN_6LMA','DIST_78UN6','OPS_629DE',589884.000,76.000,757.290,753884.00,721513,186534.000,605863.0000,'Critical',9698584.00,531219
'FIN_AULZ','DIST_BJS5W','OPS_XQ35T',3079437.000,48.900,952.770,42575.00,985093,464638.000,376425.0000,'Critical',3876516.00,274606
'FIN_R1O1','DIST_OTIS6','OPS_DK4UF',1898434.000,62.500,507.800,973806.00,22833,49460.000,615509.0000,'Critical',7220428.00,833791
'FIN_T0VF','DIST_KQOTE','OPS_ILDJL',8299684.000,75.100,676.700,698971.00,183815,491089.000,988265.0000,'Critical',2824416.00,235204
'FIN_WVQD','DIST_8AAIU','OPS_VVE8V',4860327.000,40.400,849.300,456931.00,950491,232834.000,76314.0000,'Limited',5942937.00,380072
'FIN_YSEY','DIST_LGE6R','OPS_AOZUY',5062126.000,52.100,339.660,715501.00,350441,122070.000,108027.0000,'Limited',8853987.00,448527
'FIN_YD3Z','DIST_UNIV4','OPS_HSF14',7169499.000,42.000,242.050,897059.00,189794,228896.000,344790.0000,'Critical',566081.00,439609
'FIN_B01L','DIST_WAMHB','OPS_ESA6M',8434323.000,55.400,630.960,63021.00,222674,454579.000,889939.0000,'Critical',3087105.00,4578
'FIN_XZDJ','DIST_ZDZPV','OPS_EPPYW',3207696.000,46.100,558.610,235913.00,445030,475926.000,575694.0000,'Adequate',876182.00,385063
'FIN_7PSC','DIST_EHQIN','OPS_IKZLQ',3124273.000,86.600,768.910,835448.00,585807,116079.000,931584.0000,'Critical',9242494.00,98584
'FIN_ME69','DIST_3BRGU','OPS_MZ946',2711032.000,24.200,149.850,291765.00,959173,433120.000,317186.0000,'Critical',328504.00,760199
'FIN_F6JD','DIST_MLGPV','OPS_774UP',5296840.000,8.300,992.430,117146.00,151715,432399.000,695340.0000,'Adequate',347530.00,695227
'FIN_AZWI','DIST_61FG5','OPS_H53JW',3370932.000,17.300,677.390,654865.00,738726,415244.000,284456.0000,'Critical',8888179.00,658465
'FIN_1O5Y','DIST_7KRW1','OPS_B2J2G',9780630.000,15.000,782.820,728646.00,245338,161524.000,733464.0000,'Limited',3449365.00,608012
'FIN_GKVE','DIST_4R8AD','OPS_XZC12',3933304.000,48.000,817.870,436370.00,125159,438304.000,650775.0000,'Critical',5966022.00,953032
'FIN_BDZN','DIST_N732S','OPS_SZVS1',3342726.000,31.400,651.760,171527.00,592444,417635.000,519560.0000,'Limited',7642335.00,801981
'FIN_FGP8','DIST_1AHFF','OPS_CYCTV',9973486.000,76.800,82.060,621869.00,142307,150655.000,544468.0000,'Adequate',5107684.00,507281
'FIN_PA2Y','DIST_GENII','OPS_8H272',5257005.000,90.900,283.830,639453.00,921843,96886.000,932043.0000,'Critical',9419779.00,764292
'FIN_CNJX','DIST_YJKGX','OPS_L8CE7',2218255.000,39.600,723.280,376780.00,703638,259638.000,252774.0000,'Critical',3761193.00,410925
'FIN_3CYX','DIST_MQQRJ','OPS_98L84',4638454.000,68.500,678.750,473148.00,664416,274614.000,11499.0000,'Adequate',4967479.00,117462
'FIN_520V','DIST_WNPAW','OPS_NTV3F',8714651.000,70.200,270.730,529306.00,65473,388079.000,674074.0000,'Adequate',6051322.00,419636
'FIN_OU02','DIST_VNRFT','OPS_TY0F9',245176.000,34.600,564.160,662646.00,20931,327310.000,94661.0000,'Critical',139899.00,363552
'FIN_UAMR','DIST_ZUZIO','OPS_JF4Y9',5038761.000,62.800,225.430,325247.00,151070,305471.000,126767.0000,'Critical',1589007.00,573384
'FIN_OQ7Y','DIST_1CQCG','OPS_9D43O',7266141.000,46.700,336.630,964485.00,544471,380654.000,69876.0000,'Adequate',287371.00,788404
'FIN_DUO8','DIST_LUHW9','OPS_9DGPQ',4424454.000,66.500,934.410,337196.00,940642,88873.000,270410.0000,'Critical',1546999.00,644156
'FIN_HQ8F','DIST_G79HI','OPS_QKZIB',5235291.000,32.400,941.270,212636.00,408907,272548.000,274123.0000,'Adequate',9306853.00,684230
'FIN_PDO4','DIST_D5VXU','OPS_LXI6P',4125027.000,21.200,470.970,52800.00,769109,5018.000,615981.0000,'Limited',3909907.00,779648
'FIN_3Z58','DIST_0ZKCS','OPS_YLJSL',4198408.000,68.900,430.570,616843.00,88404,487613.000,643010.0000,'Adequate',6964939.00,594926
'FIN_FIQP','DIST_1Y0YN','OPS_JBGPD',2399761.000,87.200,608.350,410826.00,971702,330744.000,775593.0000,'Critical',3055125.00,631143
'FIN_IV9E','DIST_D8IX7','OPS_WG1H2',3170243.000,23.900,927.600,786323.00,128526,204355.000,110069.0000,'Limited',2675286.00,862155
'FIN_DEG4','DIST_CYPNX','OPS_4PC0C',1448309.000,21.300,409.870,664757.00,668806,151332.000,742109.0000,'Limited',1087349.00,126188
'FIN_VXHR','DIST_U3VET','OPS_XAZ4V',2925267.000,68.400,377.200,833105.00,67819,268898.000,387045.0000,'Adequate',3792958.00,589760
'FIN_FDWU','DIST_SJW8E','OPS_3H2UI',3929425.000,80.000,161.130,963656.00,534970,18302.000,269384.0000,'Critical',8136606.00,64121
'FIN_UQLJ','DIST_JIICP','OPS_09MZT',464799.000,51.000,944.270,532117.00,994589,365852.000,972809.0000,'Adequate',8329123.00,943578
'FIN_AC2W','DIST_0EP81','OPS_VCPJM',9351356.000,10.800,524.850,511107.00,302502,270317.000,634890.0000,'Adequate',434169.00,285214
'FIN_AFWN','DIST_IBM4M','OPS_WG4BH',6168859.000,86.600,805.900,122573.00,115573,285730.000,543972.0000,'Limited',8962906.00,43236
'FIN_K7EC','DIST_YB15N','OPS_UUNU4',1258867.000,97.300,394.880,479915.00,133713,163872.000,546340.0000,'Critical',5914002.00,745186
'FIN_5EC8','DIST_9MF66','OPS_LHQC4',540014.000,53.100,429.460,130373.00,247202,117977.000,674073.0000,'Adequate',321858.00,575794
'FIN_W7ND','DIST_QK7B5','OPS_VD9CX',4301443.000,79.500,760.180,89319.00,804854,478486.000,656057.0000,'Limited',4628974.00,662208
'FIN_P73Z','DIST_T4PIW','OPS_YGQB3',6636359.000,64.200,233.610,695881.00,652446,106348.000,189023.0000,'Limited',4345882.00,769921
'FIN_7WAT','DIST_PRCD9','OPS_TS1YR',6075249.000,35.200,800.560,163324.00,545933,428223.000,514114.0000,'Limited',1645858.00,396836
'FIN_OCIN','DIST_WF7Q3','OPS_C5XOS',6800031.000,17.800,419.020,918464.00,901189,406737.000,925587.0000,'Adequate',716915.00,800292
'FIN_0OKR','DIST_WVD9E','OPS_XMIZI',484492.000,89.800,556.600,618095.00,754255,108918.000,829657.0000,'Critical',3755749.00,408245
'FIN_VLPS','DIST_PKX8Z','OPS_OL6RF',6754623.000,7.500,863.480,314731.00,697824,325883.000,922510.0000,'Critical',9984614.00,532491
'FIN_QW99','DIST_VU1S9','OPS_OQ27A',4210602.000,52.900,894.810,513731.00,558974,435853.000,192442.0000,'Critical',6778733.00,566248
'FIN_5ZM8','DIST_FSB54','OPS_LENGE',467766.000,72.100,407.510,721250.00,700431,499965.000,901981.0000,'Adequate',4103093.00,333750
'FIN_XUPR','DIST_S9I7V','OPS_6E321',6902902.000,89.200,818.710,643308.00,633364,418608.000,811895.0000,'Limited',5932453.00,958571
'FIN_6GF2','DIST_PBAVU','OPS_XQIL8',4214823.000,28.800,627.460,345426.00,964992,20737.000,168846.0000,'Limited',5243602.00,969620
'FIN_QFVB','DIST_Z0YXO','OPS_1LOAI',9575107.000,85.700,424.660,659652.00,867677,157503.000,606838.0000,'Critical',5774818.00,337311
'FIN_XZLM','DIST_DI100','OPS_97ZLG',1285545.000,96.500,510.390,250790.00,995417,206686.000,874749.0000,'Critical',6471897.00,713337
'FIN_DZJ6','DIST_SX8VA','OPS_SB6OL',1701628.000,61.500,266.590,681506.00,453268,498660.000,523868.0000,'Adequate',3911197.00,594428
'FIN_TRNP','DIST_3R3TZ','OPS_VMVX6',4956793.000,56.100,903.000,719760.00,549003,436796.000,220049.0000,'Critical',7209563.00,422456
'FIN_I8UY','DIST_0IW4C','OPS_Z3AKR',145158.000,8.100,270.490,23222.00,814569,319597.000,297633.0000,'Critical',2784824.00,108478
'FIN_KST1','DIST_SJZ4Q','OPS_FQG24',3024884.000,21.800,710.040,333601.00,189441,42304.000,204034.0000,'Adequate',7968505.00,449592
'FIN_091I','DIST_412JC','OPS_ROC04',9683449.000,15.800,620.660,964106.00,211853,488263.000,541610.0000,'Adequate',2303454.00,22717
'FIN_7F8D','DIST_5PIJW','OPS_GVCRC',5930916.000,17.900,264.050,623274.00,953963,318417.000,706580.0000,'Critical',2556447.00,782939
'FIN_EE8Z','DIST_FAXKO','OPS_7SVOD',7021741.000,83.500,848.890,603380.00,491831,8753.000,399320.0000,'Adequate',376728.00,128119
'FIN_CFX8','DIST_58D9C','OPS_B49AB',5980250.000,64.900,59.710,728144.00,570455,422573.000,935595.0000,'Critical',8716640.00,849440
'FIN_JE3X','DIST_WSNUM','OPS_E5955',1655851.000,94.500,992.840,850521.00,126685,354335.000,748853.0000,'Limited',3330676.00,959234
'FIN_GDK3','DIST_MF3A9','OPS_D0HLM',3284585.000,11.700,676.080,172823.00,559585,41945.000,513537.0000,'Limited',4108992.00,243694
'FIN_HMG0','DIST_C95FA','OPS_H8R68',9272641.000,25.300,887.730,788803.00,334113,284611.000,496441.0000,'Adequate',5810860.00,78943
'FIN_M66O','DIST_TGGCK','OPS_IR06A',4525062.000,60.000,60.850,587544.00,583485,169831.000,770721.0000,'Critical',1967720.00,875612
'FIN_3U6S','DIST_65NNR','OPS_TZZ73',9987378.000,0.100,707.200,447706.00,767436,428822.000,829540.0000,'Limited',3124592.00,147627
'FIN_MWIR','DIST_YL96F','OPS_9BOFC',6394409.000,61.100,921.240,335157.00,631390,414750.000,202232.0000,'Limited',2079794.00,244310
'FIN_8SBT','DIST_WZM4U','OPS_PA1A8',9590778.000,33.000,534.690,752786.00,385096,305810.000,758903.0000,'Adequate',561809.00,174872
'FIN_J9PE','DIST_SCJBD','OPS_M8IZU',521147.000,5.100,310.560,815533.00,292237,63645.000,500551.0000,'Critical',4394243.00,804184
'FIN_SENZ','DIST_DPG05','OPS_6XF1V',5305546.000,32.700,807.600,634925.00,996140,56888.000,288067.0000,'Critical',1875914.00,899324
'FIN_WT0U','DIST_298U3','OPS_D14PW',3701642.000,20.800,338.310,532649.00,14460,8614.000,965656.0000,'Adequate',8345513.00,752978
'FIN_BP3R','DIST_X5Y5B','OPS_AI0LK',9980480.000,18.500,44.380,398304.00,560655,353275.000,191659.0000,'Limited',9920687.00,365681
