'HR_HV7U','DIST_SB6K7','OPS_76ZOW','{"personnel": {"total": 140, "medical": 52, "security": 90, "logistics": 99, "volunteers": 435}, "readiness": {"ppe_status": "Limited", "comm_equipment": "Sufficient", "training_status": "Complete", "availability_percent": 94.10}}'
'HR_ZZXC','DIST_PGACZ','OPS_QXWBZ','{"personnel": {"total": 55, "medical": 30, "security": 53, "logistics": 197, "volunteers": 541}, "readiness": {"ppe_status": "Critical", "comm_equipment": "Sufficient", "training_status": "In Progress", "availability_percent": 87.70}}'
'HR_JA87','DIST_HJ1BQ','OPS_GGBVJ','{"personnel": {"total": 234, "medical": 38, "security": 46, "logistics": 93, "volunteers": 781}, "readiness": {"ppe_status": "Adequate", "comm_equipment": "Sufficient", "training_status": "In Progress", "availability_percent": 82.50}}'
'HR_8KJI','DIST_78UN6','OPS_629DE','{"personnel": {"total": 450, "medical": 50, "security": 38, "logistics": 92, "volunteers": 681}, "readiness": {"ppe_status": "Critical", "comm_equipment": "Insufficient", "training_status": "Required", "availability_percent": 84.00}}'
'HR_P2UT','DIST_BJS5W','OPS_XQ35T','{"personnel": {"total": 51, "medical": 24, "security": 13, "logistics": 71, "volunteers": 635}, "readiness": {"ppe_status": "Critical", "comm_equipment": "Limited", "training_status": "In Progress", "availability_percent": 71.90}}'
'HR_UW70','DIST_OTIS6','OPS_DK4UF','{"personnel": {"total": 431, "medical": 33, "security": 71, "logistics": 133, "volunteers": 858}, "readiness": {"ppe_status": "Adequate", "comm_equipment": "Insufficient", "training_status": "Required", "availability_percent": 89.80}}'
'HR_J13C','DIST_KQOTE','OPS_ILDJL','{"personnel": {"total": 381, "medical": 13, "security": 64, "logistics": 66, "volunteers": 165}, "readiness": {"ppe_status": "Limited", "comm_equipment": "Limited", "training_status": "In Progress", "availability_percent": 74.80}}'
'HR_8A2Q','DIST_8AAIU','OPS_VVE8V','{"personnel": {"total": 413, "medical": 96, "security": 61, "logistics": 119, "volunteers": 306}, "readiness": {"ppe_status": "Limited", "comm_equipment": "Limited", "training_status": "Required", "availability_percent": 77.10}}'
'HR_6P1H','DIST_LGE6R','OPS_AOZUY','{"personnel": {"total": 116, "medical": 61, "security": 48, "logistics": 60, "volunteers": 544}, "readiness": {"ppe_status": "Adequate", "comm_equipment": "Limited", "training_status": "Required", "availability_percent": 84.40}}'
'HR_A0GX','DIST_UNIV4','OPS_HSF14','{"personnel": {"total": 250, "medical": 20, "security": 66, "logistics": 178, "volunteers": 815}, "readiness": {"ppe_status": "Critical", "comm_equipment": "Sufficient", "training_status": "In Progress", "availability_percent": 99.40}}'
'HR_E1KU','DIST_WAMHB','OPS_ESA6M','{"personnel": {"total": 472, "medical": 52, "security": 17, "logistics": 187, "volunteers": 159}, "readiness": {"ppe_status": "Adequate", "comm_equipment": "Limited", "training_status": "In Progress", "availability_percent": 86.60}}'
'HR_5LHT','DIST_ZDZPV','OPS_EPPYW','{"personnel": {"total": 120, "medical": 12, "security": 97, "logistics": 166, "volunteers": 681}, "readiness": {"ppe_status": "Limited", "comm_equipment": "Limited", "training_status": "Required", "availability_percent": 81.00}}'
'HR_Y18A','DIST_EHQIN','OPS_IKZLQ','{"personnel": {"total": 243, "medical": 68, "security": 95, "logistics": 98, "volunteers": 921}, "readiness": {"ppe_status": "Critical", "comm_equipment": "Insufficient", "training_status": "Required", "availability_percent": 92.80}}'
'HR_8N5G','DIST_3BRGU','OPS_MZ946','{"personnel": {"total": 350, "medical": 90, "security": 88, "logistics": 48, "volunteers": 797}, "readiness": {"ppe_status": "Critical", "comm_equipment": "Sufficient", "training_status": "In Progress", "availability_percent": 97.10}}'
'HR_NF2M','DIST_MLGPV','OPS_774UP','{"personnel": {"total": 486, "medical": 59, "security": 50, "logistics": 87, "volunteers": 892}, "readiness": {"ppe_status": "Critical", "comm_equipment": "Sufficient", "training_status": "Required", "availability_percent": 98.70}}'
'HR_80R3','DIST_61FG5','OPS_H53JW','{"personnel": {"total": 194, "medical": 23, "security": 52, "logistics": 78, "volunteers": 421}, "readiness": {"ppe_status": "Limited", "comm_equipment": "Sufficient", "training_status": "Complete", "availability_percent": 98.40}}'
'HR_BJN4','DIST_7KRW1','OPS_B2J2G','{"personnel": {"total": 198, "medical": 70, "security": 90, "logistics": 90, "volunteers": 846}, "readiness": {"ppe_status": "Limited", "comm_equipment": "Limited", "training_status": "Required", "availability_percent": 82.20}}'
'HR_2M7Y','DIST_4R8AD','OPS_XZC12','{"personnel": {"total": 69, "medical": 88, "security": 87, "logistics": 179, "volunteers": 140}, "readiness": {"ppe_status": "Limited", "comm_equipment": "Insufficient", "training_status": "In Progress", "availability_percent": 84.70}}'
'HR_NBGN','DIST_N732S','OPS_SZVS1','{"personnel": {"total": 118, "medical": 19, "security": 28, "logistics": 182, "volunteers": 491}, "readiness": {"ppe_status": "Critical", "comm_equipment": "Insufficient", "training_status": "Complete", "availability_percent": 84.00}}'
'HR_742Z','DIST_1AHFF','OPS_CYCTV','{"personnel": {"total": 78, "medical": 75, "security": 78, "logistics": 28, "volunteers": 969}, "readiness": {"ppe_status": "Adequate", "comm_equipment": "Insufficient", "training_status": "In Progress", "availability_percent": 97.80}}'
