'TRANS_B6EA6','DIST_SB6K7','HUB_HS0I','SUP_4BZN3',141,88,7,7,368.000,227.00,'On Track',35,52.60,79.400,'In Progress',10.600,'Overdue',9.2
'TRANS_0870R','DIST_PGACZ','HUB_UGZM','SUP_ZJ88H',50,87,8,2,2771.000,364.00,'On Track',14,20.70,92.600,'Optimized',17.700,'Overdue',6.9
'TRANS_FGSRQ','DIST_HJ1BQ','HUB_05ZL','SUP_MCBWM',20,77,4,4,1505.000,150.00,'Delayed',6,17.80,79.900,'Optimized',18.700,'Up to Date',5.0
'TRANS_FAN4F','DIST_78UN6','HUB_VA2A','SUP_6HX17',67,53,5,0,3147.000,256.00,'On Track',14,58.90,77.400,'Optimized',16.500,'Overdue',4.2
'TRANS_VWHL6','DIST_BJS5W','HUB_1USM','SUP_9Q4C5',147,20,0,14,948.000,400.00,'Delayed',40,66.60,87.000,'Optimized',18.800,'Overdue',8.7
'TRANS_4KJ7X','DIST_OTIS6','HUB_PYMM','SUP_C3JWA',37,85,7,11,3888.000,455.00,'On Track',9,27.40,77.900,'Required',17.700,'Overdue',2.7
'TRANS_IZCT1','DIST_KQOTE','HUB_ZR0U','SUP_45BAD',123,36,2,13,1492.000,405.00,'Delayed',48,59.40,80.200,'Required',7.700,'Due',0.3
'TRANS_ZHOHS','DIST_8AAIU','HUB_44KU','SUP_ZZDDR',99,86,2,5,117.000,194.00,'Delayed',17,59.80,93.800,'Required',13.800,'Due',2.1
'TRANS_D7XP5','DIST_LGE6R','HUB_39VO','SUP_BZGYW',55,83,5,13,409.000,223.00,'Suspended',26,24.60,78.600,'Required',9.000,'Overdue',7.7
'TRANS_8OGUH','DIST_UNIV4','HUB_GDAW','SUP_UHC58',84,80,9,4,833.000,284.00,'Suspended',37,18.40,99.700,'Optimized',6.000,'Up to Date',1.1
'TRANS_2M098','DIST_WAMHB','HUB_2RCL','SUP_E2KYJ',199,31,5,9,336.000,305.00,'On Track',49,8.50,70.700,'In Progress',5.500,'Overdue',6.1
'TRANS_04MO3','DIST_ZDZPV','HUB_39T2','SUP_HER3Y',163,29,1,12,4259.000,350.00,'Delayed',37,52.40,74.000,'In Progress',8.700,'Due',7.6
'TRANS_ZECYE','DIST_EHQIN','HUB_4CE5','SUP_XIODY',139,55,2,5,172.000,42.00,'On Track',15,8.10,83.600,'In Progress',9.300,'Overdue',4.2
'TRANS_4S54T','DIST_3BRGU','HUB_N9Y0','SUP_W16DL',28,20,3,10,3366.000,150.00,'On Track',30,47.20,88.000,'Optimized',10.600,'Due',6.6
'TRANS_3LI3H','DIST_MLGPV','HUB_Y8GX','SUP_V1EY0',76,85,1,20,1558.000,364.00,'Suspended',19,25.20,85.300,'Required',13.400,'Overdue',5.8
'TRANS_A4DRP','DIST_61FG5','HUB_CTVZ','SUP_EQXK5',138,74,6,17,574.000,122.00,'Suspended',28,28.10,84.600,'Optimized',14.700,'Overdue',1.7
'TRANS_3T0Y7','DIST_7KRW1','HUB_SZPM','SUP_CVXWP',179,13,10,11,1686.000,66.00,'Delayed',40,12.00,98.100,'Required',16.700,'Due',3.1
'TRANS_VFK2U','DIST_4R8AD','HUB_2NLX','SUP_SHMOV',92,53,2,18,2653.000,244.00,'Delayed',39,59.20,85.300,'Optimized',13.200,'Due',5.1
'TRANS_YFS4R','DIST_N732S','HUB_S6LM','SUP_BPV53',78,92,7,15,4210.000,419.00,'Delayed',36,15.40,71.900,'Optimized',15.900,'Due',4.4
'TRANS_42D7U','DIST_1AHFF','HUB_4G3Z','SUP_XNP6L',35,25,4,5,3301.000,324.00,'Suspended',7,25.10,81.200,'In Progress',17.800,'Due',8.8
'TRANS_XMQSO','DIST_GENII','HUB_9L99','SUP_VAQ3E',117,72,2,20,1631.000,398.00,'Delayed',17,6.30,81.100,'Required',18.000,'Due',3.6
'TRANS_KSNFW','DIST_YJKGX','HUB_CMI0','SUP_5YAHG',193,21,3,13,3473.000,153.00,'Suspended',28,60.10,79.600,'In Progress',8.200,'Up to Date',0.4
'TRANS_SBJA2','DIST_MQQRJ','HUB_YTKE','SUP_YMVX8',40,53,2,17,3370.000,279.00,'On Track',31,47.20,75.500,'Required',17.400,'Due',7.6
'TRANS_2BQUQ','DIST_WNPAW','HUB_3UH7','SUP_PKJSM',168,53,10,8,4881.000,104.00,'Suspended',35,19.90,98.700,'In Progress',10.200,'Up to Date',0.6
'TRANS_N1HKD','DIST_VNRFT','HUB_VZF4','SUP_QEW6X',110,96,6,4,439.000,435.00,'Suspended',45,14.80,72.900,'Required',11.700,'Overdue',1.0
'TRANS_8GD45','DIST_ZUZIO','HUB_GE7Y','SUP_M8LZL',124,20,7,19,982.000,90.00,'On Track',43,42.10,90.800,'Optimized',8.100,'Overdue',1.6
'TRANS_BGR0A','DIST_1CQCG','HUB_2SEM','SUP_NEDYV',61,38,9,18,4042.000,263.00,'On Track',38,31.60,99.900,'Required',7.500,'Overdue',0.1
'TRANS_WI5SV','DIST_LUHW9','HUB_XMWV','SUP_E3XPV',146,38,4,11,1877.000,63.00,'Delayed',24,66.20,70.300,'In Progress',8.000,'Up to Date',2.9
'TRANS_5FQDH','DIST_G79HI','HUB_LZP0','SUP_QKQMS',86,99,2,9,4998.000,52.00,'On Track',15,52.20,96.600,'Required',14.500,'Due',6.7
'TRANS_P6YWH','DIST_D5VXU','HUB_QVSW','SUP_D5SJU',66,49,2,20,3244.000,322.00,'Suspended',16,2.40,72.100,'In Progress',12.400,'Overdue',9.8
'TRANS_WSACI','DIST_0ZKCS','HUB_EZ9P','SUP_KIUUI',181,9,0,16,1583.000,398.00,'On Track',21,38.30,90.100,'Required',12.000,'Due',8.5
'TRANS_MILXV','DIST_1Y0YN','HUB_1RLX','SUP_7U64Y',194,47,1,8,3027.000,395.00,'Delayed',43,36.90,90.000,'Optimized',9.800,'Up to Date',9.4
'TRANS_TYEQ5','DIST_D8IX7','HUB_52DY','SUP_5PTM8',98,38,9,15,2424.000,359.00,'Suspended',27,42.20,72.600,'Required',13.000,'Up to Date',0.5
'TRANS_G0CGN','DIST_CYPNX','HUB_8C70','SUP_DKUF4',45,93,6,11,1711.000,300.00,'On Track',22,62.10,91.500,'In Progress',15.200,'Overdue',0.8
'TRANS_JYQ44','DIST_U3VET','HUB_GA95','SUP_UMBU8',22,72,5,3,3436.000,216.00,'Suspended',46,50.70,82.300,'Optimized',13.200,'Due',7.2
'TRANS_IIONI','DIST_SJW8E','HUB_K63A','SUP_D36ZU',111,62,6,20,4089.000,271.00,'On Track',27,71.50,75.900,'Required',18.700,'Due',1.9
'TRANS_G1J6P','DIST_JIICP','HUB_FEKY','SUP_PMWGK',142,33,3,1,3112.000,160.00,'Delayed',18,58.60,80.300,'In Progress',18.500,'Up to Date',7.0
'TRANS_OHXQ7','DIST_0EP81','HUB_7T3P','SUP_LV623',81,78,8,3,3969.000,108.00,'On Track',19,46.80,99.600,'In Progress',5.300,'Overdue',2.4
'TRANS_00HAO','DIST_IBM4M','HUB_GXGC','SUP_PXUXP',72,12,9,11,1992.000,169.00,'Delayed',9,62.50,93.900,'In Progress',6.400,'Due',8.7
'TRANS_EOOKM','DIST_YB15N','HUB_CVN9','SUP_5HRYM',34,27,3,18,3835.000,466.00,'On Track',9,23.60,97.000,'Required',15.500,'Due',1.4
'TRANS_UL5P4','DIST_9MF66','HUB_3FHQ','SUP_K73NE',177,99,10,7,949.000,33.00,'Delayed',29,27.50,85.300,'Required',18.000,'Overdue',6.0
'TRANS_CLT67','DIST_QK7B5','HUB_XRHF','SUP_VBWES',36,35,9,12,1679.000,284.00,'Suspended',12,10.20,90.900,'Optimized',5.800,'Due',1.9
'TRANS_EXB7K','DIST_T4PIW','HUB_VCLI','SUP_I33YU',172,57,5,12,906.000,442.00,'Suspended',48,44.20,90.700,'Optimized',19.700,'Overdue',5.0
'TRANS_F3Y7H','DIST_PRCD9','HUB_YF8U','SUP_PGWUK',60,72,5,1,2687.000,121.00,'Suspended',25,59.20,96.300,'Required',16.600,'Overdue',1.9
'TRANS_OT8RU','DIST_WF7Q3','HUB_S0QU','SUP_7HVB0',12,99,5,17,3100.000,292.00,'Suspended',31,4.80,80.700,'Required',13.500,'Overdue',4.9
'TRANS_DHYVL','DIST_WVD9E','HUB_COY6','SUP_JLK4N',91,30,8,15,1761.000,214.00,'On Track',14,50.40,73.800,'Required',7.700,'Overdue',4.1
'TRANS_AG4X9','DIST_PKX8Z','HUB_8O92','SUP_JMYSH',153,71,6,4,2935.000,392.00,'On Track',48,34.80,91.000,'Optimized',18.800,'Overdue',6.6
'TRANS_1S0U7','DIST_VU1S9','HUB_8WG9','SUP_VDOA4',81,91,7,4,4351.000,469.00,'On Track',37,66.80,83.400,'In Progress',10.600,'Overdue',6.5
'TRANS_SSCFR','DIST_FSB54','HUB_WVHY','SUP_RG064',91,7,9,7,3503.000,199.00,'On Track',7,2.40,98.600,'Required',11.500,'Due',8.3
'TRANS_Z5BQZ','DIST_S9I7V','HUB_0OCN','SUP_EEP2F',85,63,0,16,1935.000,152.00,'Delayed',44,60.00,76.800,'In Progress',7.100,'Overdue',6.2
'TRANS_K1OTG','DIST_PBAVU','HUB_V596','SUP_0QZKF',121,13,9,5,638.000,135.00,'Suspended',50,16.60,92.100,'Optimized',15.400,'Due',1.2
'TRANS_RB5FW','DIST_Z0YXO','HUB_8JGG','SUP_LSCPA',83,77,1,8,3161.000,34.00,'On Track',15,26.20,92.700,'Required',13.500,'Overdue',7.2
