'OPS_76ZOW','DIST_SB6K7','HUB_HS0I','Black','Reconstruction','Completed','CC7649','2025-01-26',12,'High','Limited','Disrupted'
'OPS_QXWBZ','DIST_PGACZ','HUB_UGZM','Black','Recovery','Completed','CC6010','2025-02-08',362,'Medium','Limited','Stable'
'OPS_GGBVJ','DIST_HJ1BQ','HUB_05ZL','Orange','Emergency','Scaling Down','CC3314','2025-02-17',291,'Medium','Critical','Strained'
'OPS_629DE','DIST_78UN6','HUB_VA2A','Black','Initial','Scaling Down','CC2208','2025-02-10',57,'Medium','Critical','Stable'
'OPS_XQ35T','DIST_BJS5W','HUB_1USM','Orange','Initial','Scaling Down','CC4243','2025-01-26',66,'High','Limited','Disrupted'
'OPS_DK4UF','DIST_OTIS6','HUB_PYMM','Orange','Initial','Scaling Down','CC8366','2025-02-12',153,'Low','Sufficient','Disrupted'
'OPS_ILDJL','DIST_KQOTE','HUB_ZR0U','Red','Initial','Scaling Down','CC1526','2025-02-03',199,'Critical','Sufficient','Strained'
'OPS_VVE8V','DIST_8AAIU','HUB_44KU','Orange','Emergency','Active','CC1442','2025-01-25',317,'Critical','Critical','Disrupted'
'OPS_AOZUY','DIST_LGE6R','HUB_39VO','Orange','Emergency','Scaling Down','CC6611','2025-02-02',16,'Low','Sufficient','Disrupted'
'OPS_HSF14','DIST_UNIV4','HUB_GDAW','Orange','Initial','Active','CC5471','2025-02-19',296,'Low','Limited','Strained'
'OPS_ESA6M','DIST_WAMHB','HUB_2RCL','Yellow','Initial','Planning','CC8878','2025-02-05',151,'High','Limited','Strained'
'OPS_EPPYW','DIST_ZDZPV','HUB_39T2','Black','Recovery','Completed','CC8302','2025-01-21',75,'High','Limited','Stable'
'OPS_IKZLQ','DIST_EHQIN','HUB_4CE5','Black','Emergency','Planning','CC3129','2025-02-15',147,'Critical','Sufficient','Stable'
'OPS_MZ946','DIST_3BRGU','HUB_N9Y0','Black','Emergency','Planning','CC1544','2025-02-04',360,'Low','Limited','Stable'
'OPS_774UP','DIST_MLGPV','HUB_Y8GX','Black','Emergency','Completed','CC7224','2025-02-16',364,'Low','Limited','Strained'
'OPS_H53JW','DIST_61FG5','HUB_CTVZ','Black','Reconstruction','Planning','CC5413','2025-01-21',142,'Low','Sufficient','Stable'
'OPS_B2J2G','DIST_7KRW1','HUB_SZPM','Yellow','Initial','Planning','CC1490','2025-01-22',98,'High','Sufficient','Stable'
'OPS_XZC12','DIST_4R8AD','HUB_2NLX','Orange','Emergency','Active','CC1796','2025-02-09',172,'Critical','Limited','Disrupted'
'OPS_SZVS1','DIST_N732S','HUB_S6LM','Orange','Recovery','Planning','CC2540','2025-01-26',240,'Critical','Limited','Stable'
'OPS_CYCTV','DIST_1AHFF','HUB_4G3Z','Black','Initial','Planning','CC8076','2025-01-20',284,'High','Critical','Strained'
'OPS_8H272','DIST_GENII','HUB_9L99','Red','Initial','Completed','CC9221','2025-01-29',118,'Low','Critical','Strained'
'OPS_L8CE7','DIST_YJKGX','HUB_CMI0','Orange','Initial','Scaling Down','CC4430','2025-01-30',130,'High','Limited','Stable'
'OPS_98L84','DIST_MQQRJ','HUB_YTKE','Orange','Recovery','Completed','CC4334','2025-02-12',139,'Medium','Sufficient','Disrupted'
'OPS_NTV3F','DIST_WNPAW','HUB_3UH7','Orange','Initial','Scaling Down','CC9566','2025-02-19',93,'High','Critical','Disrupted'
'OPS_TY0F9','DIST_VNRFT','HUB_VZF4','Red','Reconstruction','Planning','CC7418','2025-02-15',204,'Critical','Limited','Disrupted'
'OPS_JF4Y9','DIST_ZUZIO','HUB_GE7Y','Black','Emergency','Completed','CC6818','2025-02-06',250,'Critical','Sufficient','Disrupted'
'OPS_9D43O','DIST_1CQCG','HUB_2SEM','Orange','Initial','Active','CC7605','2025-02-11',343,'Low','Limited','Strained'
'OPS_9DGPQ','DIST_LUHW9','HUB_XMWV','Yellow','Recovery','Completed','CC4618','2025-01-31',265,'Low','Critical','Disrupted'
'OPS_QKZIB','DIST_G79HI','HUB_LZP0','Black','Emergency','Planning','CC1075','2025-02-05',194,'Medium','Critical','Disrupted'
'OPS_LXI6P','DIST_D5VXU','HUB_QVSW','Yellow','Reconstruction','Completed','CC6640','2025-02-07',229,'Low','Limited','Strained'
'OPS_YLJSL','DIST_0ZKCS','HUB_EZ9P','Red','Emergency','Scaling Down','CC6119','2025-01-22',265,'High','Critical','Strained'
'OPS_JBGPD','DIST_1Y0YN','HUB_1RLX','Red','Recovery','Completed','CC7033','2025-02-06',227,'Low','Limited','Stable'
'OPS_WG1H2','DIST_D8IX7','HUB_52DY','Orange','Recovery','Planning','CC9246','2025-01-31',336,'Medium','Critical','Strained'
'OPS_4PC0C','DIST_CYPNX','HUB_8C70','Orange','Recovery','Completed','CC4151','2025-01-27',80,'High','Sufficient','Strained'
