'RF100725','RF100725','RF100725','RF100725',-105.98,-662.19,1023.44,-156.28,-150.3,-6.26,1231.14,6.65,0.797,0.069,0.471,1.98,1.78,1.36,8.61,3.31,14.16,6.16,1.76,1.26,15.66,10.6,9.13,28.47,32.12
'RF506310','RF506310','RF506310','RF506310',655.00,726.58,1952.1,-153.02,153.21,-130.1,1923.65,2.02,0.835,0.493,0.365,0.83,8.7,6.58,3.11,10.97,16.01,14.88,13.27,46.58,43.21,38.36,13.53,40.07,30.29
'RF422033','RF422033','RF422033','RF422033',426.20,873.0,1618.63,-133.16,-85.31,166.64,191.04,8.43,0.070,0.355,0.234,144.85,8.85,14.97,13.39,19.18,1.31,2.38,1.81,40.66,5.33,14.07,45.05,19.58,11.39
'RF806459','RF806459','RF806459','RF806459',1275.23,768.06,1013.59,-88.20,176.36,-90.0,315.07,2.34,0.247,0.354,0.145,3.82,1.61,17.12,5.27,14.56,10.20,4.33,0.08,24.31,16.41,7.92,6.45,34.43,46.78
'RF478822','RF478822','RF478822','RF478822',-1135.13,532.22,1205.17,120.10,-45.93,30.79,1427.96,8.55,0.581,0.359,0.173,97.41,5.17,2.56,14.29,19.22,3.83,19.88,1.97,21.51,33.24,13.29,6.04,23.41,17.81
'RF196869','RF196869','RF196869','RF196869',164.00,-1543.68,1381.07,4.77,-109.29,-52.87,1759.38,8.21,0.853,0.163,0.308,45.79,5.29,1.67,17.49,19.05,19.85,1.38,7.18,26.58,13.52,28.77,39.69,43.97,19.71
'RF982879','RF982879','RF982879','RF982879',-732.17,-415.33,1994.82,-122.68,55.77,-127.16,879.74,7.03,0.351,0.433,0.045,25.38,4.66,14.59,2.79,18.29,19.16,9.57,15.31,41.23,35.83,38.15,31.22,47.35,45.21
'RF966272','RF966272','RF966272','RF966272',-1094.81,1691.71,845.94,35.54,-74.53,145.2,1520.07,6.06,0.711,0.029,0.293,4.87,8.06,0.02,9.68,12.55,6.52,16.39,8.45,5.66,16.72,24.83,12.47,40.44,18.59
'RF419468','RF419468','RF419468','RF419468',-1853.20,1577.92,1936.03,-40.29,-174.98,-43.6,819.63,6.6,0.920,0.45,0.391,41.01,9.11,7.98,8.46,18.82,9.26,4.31,16.59,26.90,31.19,2.54,26.08,29.21,19.89
'RF119293','RF119293','RF119293','RF119293',1446.16,894.69,1624.64,-68.44,155.71,163.44,1887.68,3.02,0.896,0.005,0.14,1.11,4.71,4.42,9.04,1.81,12.17,19.27,0.48,35.49,19.56,27.84,6.00,0.24,44.53
