'RF100725','RF100725','RF100725',43138.00,'Assembly','Programming              ','PRG_8419',177681,39.290,7
'RF506310','RF506310','RF506310',34903.00,'Painting','Maintenance              ','PRG_9097',498231,211.820,6
'RF422033','RF422033','RF422033',9861.00,'Palletizing','Programming              ','PRG_4901',508274,80.740,5
'RF806459','RF806459','RF806459',20009.00,'Palletizing','Auto                     ','PRG_4863',208893,31.980,6
'RF478822','RF478822','RF478822',17886.00,'Painting','Auto                     ','PRG_3627',230127,284.030,7
'RF196869','RF196869','RF196869',46267.00,'Palletizing','Auto                     ','PRG_8700',434164,28.390,6
'RF982879','RF982879','RF982879',33977.00,'Material Handling','Maintenance              ','PRG_9271',956914,221.020,6
'RF966272','RF966272','RF966272',21755.00,'Assembly','Auto                     ','PRG_9235',867992,70.370,4
'RF419468','RF419468','RF419468',9324.00,'Assembly','Maintenance              ','PRG_7741',195930,49.070,6
'RF119293','RF119293','RF119293',17310.00,'Painting','Programming              ','PRG_1312',748500,160.410,7
'RF977036','RF977036','RF977036',22611.00,'Welding','Auto                     ','PRG_5084',915081,10.930,4
'RF616012','RF616012','RF616012',33001.00,'Assembly','Manual                   ','PRG_3136',686538,234.320,5
'RF997271','RF997271','RF997271',5991.00,'Painting','Auto                     ','PRG_4584',50746,104.220,4
'RF789089','RF789089','RF789089',48515.00,'Assembly','Programming              ','PRG_1132',781416,299.910,6
'RF258464','RF258464','RF258464',44796.00,'Welding','Maintenance              ','PRG_1582',405145,35.550,7
'RF527980','RF527980','RF527980',31677.00,'Painting','Auto                     ','PRG_2683',587545,247.340,7
'RF369276','RF369276','RF369276',32400.00,'Palletizing','Programming              ','PRG_5531',89346,86.450,4
'RF399618','RF399618','RF399618',37083.00,'Painting','Manual                   ','PRG_7603',337758,281.200,5
'RF221032','RF221032','RF221032',17639.00,'Painting','Manual                   ','PRG_6119',186199,235.540,6
'RF316276','RF316276','RF316276',43698.00,'Painting','Manual                   ','PRG_1601',869251,68.100,7
'RF659402','RF659402','RF659402',44916.00,'Welding','Programming              ','PRG_4083',908009,240.440,6
'RF365945','RF365945','RF365945',29013.00,'Painting','Auto                     ','PRG_4905',152199,151.630,7
'RF274021','RF274021','RF274021',5477.00,'Palletizing','Manual                   ','PRG_4595',113411,246.030,5
'RF936479','RF936479','RF936479',14746.00,'Material Handling','Maintenance              ','PRG_2194',798984,131.430,7
'RF132253','RF132253','RF132253',7799.00,'Material Handling','Manual                   ','PRG_8607',319229,102.930,5
'RF619014','RF619014','RF619014',1824.00,'Material Handling','Maintenance              ','PRG_1167',804317,257.340,4
'RF708196','RF708196','RF708196',31478.00,'Welding','Maintenance              ','PRG_2233',893255,243.260,5
'RF850168','RF850168','RF850168',13707.00,'Painting','Maintenance              ','PRG_8651',375676,107.270,7
'RF644501','RF644501','RF644501',22600.00,'Welding','Maintenance              ','PRG_7814',237368,290.320,5
'RF937310','RF937310','RF937310',46492.00,'Welding','Maintenance              ','PRG_9434',308080,48.090,6
'RF886638','RF886638','RF886638',49623.00,'Painting','Manual                   ','PRG_8038',495635,53.100,4
'RF403411','RF403411','RF403411',42037.00,'Material Handling','Auto                     ','PRG_8439',484768,109.200,5
'RF994878','RF994878','RF994878',46845.00,'Painting','Manual                   ','PRG_7783',760659,119.460,6
'RF504159','RF504159','RF504159',48017.00,'Palletizing','Maintenance              ','PRG_3360',895105,59.660,7
'RF747386','RF747386','RF747386',22869.00,'Welding','Auto                     ','PRG_3299',617539,92.900,5
'RF891634','RF891634','RF891634',23407.00,'Assembly','Manual                   ','PRG_6372',358142,225.740,5
'RF216105','RF216105','RF216105',4520.00,'Assembly','Programming              ','PRG_1816',238650,23.770,7
'RF634500','RF634500','RF634500',22490.00,'Painting','Auto                     ','PRG_9526',202305,49.530,4
'RF180250','RF180250','RF180250',28634.00,'Palletizing','Programming              ','PRG_8087',651136,168.860,4
'RF372917','RF372917','RF372917',46205.00,'Welding','Auto                     ','PRG_5773',977086,189.970,7
'RF288975','RF288975','RF288975',49314.00,'Welding','Maintenance              ','PRG_8824',40385,148.270,6
'RF672279','RF672279','RF672279',23703.00,'Assembly','Programming              ','PRG_3167',235306,18.820,7
