'RF100725','RF100725','RF100725','Normal','Error','Normal','Warning','Warning','Normal','Warning','Error','Normal','Normal','Normal','Normal',24.92,21.86,56.76,35.390,60.72,48.18,3.273,1.912,4.821,5.302,7.001,5.74
'RF506310','RF506310','RF506310','Warning','Warning','Error','Warning','Warning','Warning','Warning','Warning','Error','Error','Normal','Warning',70.89,79.14,25.94,24.000,60.1,41.26,9.278,5.005,1.995,9.881,0.224,4.942
'RF422033','RF422033','RF422033','Normal','Warning','Normal','Normal','Warning','Error','Normal','Error','Normal','Warning','Warning','Warning',68.57,26.55,36.3,53.520,71.0,22.96,8.652,8.889,2.674,5.214,5.057,5.418
'RF806459','RF806459','RF806459','Normal','Warning','Error','Normal','Error','Error','Normal','Normal','Error','Normal','Error','Error',26.82,79.51,47.32,61.660,66.92,57.49,6.815,8.714,1.361,8.931,4.848,2.406
'RF478822','RF478822','RF478822','Normal','Warning','Error','Error','Error','Warning','Error','Error','Error','Error','Error','Warning',41.46,37.74,72.36,30.830,69.46,79.88,4.343,2.678,8.414,6.673,2.357,3.154
'RF196869','RF196869','RF196869','Normal','Warning','Error','Error','Error','Normal','Warning','Error','Error','Warning','Warning','Error',51.62,55.02,20.62,48.030,53.61,29.23,4.628,6.23,8.766,3.610,1.665,2.463
'RF982879','RF982879','RF982879','Normal','Warning','Normal','Normal','Warning','Warning','Warning','Warning','Error','Normal','Warning','Error',67.58,54.93,22.89,76.430,71.07,26.69,0.977,5.068,6.105,1.672,5.152,8.143
'RF966272','RF966272','RF966272','Normal','Warning','Error','Error','Error','Normal','Warning','Error','Error','Error','Warning','Normal',51.44,63.67,54.26,62.800,45.52,26.88,5.089,3.085,8.462,4.034,1.503,5.001
'RF419468','RF419468','RF419468','Normal','Warning','Normal','Normal','Warning','Error','Warning','Warning','Warning','Normal','Normal','Warning',71.47,74.25,57.4,41.790,49.68,57.68,8.200,5.191,8.013,3.847,4.558,6.729
'RF119293','RF119293','RF119293','Normal','Warning','Warning','Warning','Normal','Warning','Normal','Warning','Normal','Warning','Normal','Error',70.23,25.22,25.69,48.650,43.47,69.7,9.911,7.029,1.789,2.817,4.913,9.421
'RF977036','RF977036','RF977036','Error','Warning','Error','Normal','Error','Error','Error','Warning','Warning','Normal','Warning','Error',64.74,40.57,54.51,60.290,77.06,68.85,4.784,9.827,5.705,4.103,4.097,1.658
'RF616012','RF616012','RF616012','Normal','Normal','Error','Error','Error','Normal','Normal','Normal','Error','Error','Normal','Warning',48.25,45.56,32.37,50.520,43.84,65.87,7.134,3.06,6.522,8.068,9.969,8.653
'RF997271','RF997271','RF997271','Normal','Normal','Error','Warning','Normal','Error','Error','Warning','Warning','Error','Error','Normal',34.67,30.1,62.65,21.780,63.48,27.38,9.120,9.444,8.831,7.143,2.067,9.783
'RF789089','RF789089','RF789089','Normal','Normal','Error','Warning','Warning','Error','Error','Normal','Normal','Normal','Normal','Warning',26.65,42.02,40.92,25.330,37.69,56.96,1.482,4.046,2.787,9.963,1.83,8.465
'RF258464','RF258464','RF258464','Normal','Warning','Warning','Error','Warning','Warning','Warning','Error','Error','Error','Error','Error',50.19,72.1,37.74,23.250,28.24,56.92,8.279,3.582,8.868,8.557,2.645,8.346
'RF527980','RF527980','RF527980','Warning','Warning','Normal','Warning','Normal','Error','Normal','Error','Error','Error','Error','Warning',73.00,69.51,73.03,78.790,61.86,40.99,1.264,7.071,7.718,5.394,2.673,6.152
'RF369276','RF369276','RF369276','Error','Normal','Normal','Error','Warning','Error','Normal','Warning','Normal','Warning','Normal','Warning',20.12,62.93,46.31,57.020,68.01,65.79,3.148,1.31,9.205,3.136,3.217,8.119
'RF399618','RF399618','RF399618','Error','Warning','Warning','Error','Warning','Normal','Warning','Error','Error','Error','Normal','Error',24.96,23.62,62.79,66.560,26.52,27.93,3.398,6.591,3.745,9.936,7.076,3.552
'RF221032','RF221032','RF221032','Error','Normal','Warning','Error','Normal','Warning','Normal','Error','Error','Normal','Error','Warning',45.80,46.59,38.41,49.280,27.84,79.37,4.127,6.386,4.911,8.824,0.443,3.415
'RF316276','RF316276','RF316276','Warning','Warning','Error','Error','Error','Warning','Warning','Error','Error','Warning','Warning','Error',79.14,25.33,62.32,70.360,68.5,51.89,8.225,0.675,6.121,3.381,6.399,7.553
'RF659402','RF659402','RF659402','Warning','Normal','Normal','Error','Warning','Normal','Normal','Warning','Error','Error','Warning','Warning',51.38,32.97,79.56,60.770,20.26,30.11,8.919,9.193,0.998,5.170,0.443,0.62
'RF365945','RF365945','RF365945','Warning','Warning','Warning','Normal','Warning','Error','Error','Error','Normal','Normal','Error','Error',52.89,53.79,41.48,79.120,62.56,65.91,7.922,0.691,7.069,9.297,0.747,1.842
'RF274021','RF274021','RF274021','Normal','Normal','Error','Normal','Normal','Error','Warning','Error','Error','Warning','Warning','Normal',76.91,39.52,34.61,22.220,40.75,38.92,9.250,2.491,4.656,9.329,2.622,5.369
