'RF977036','RF977036','RF977036','{"load_value": 75.46, "memory_usage": 63.97, "thermal_level": 52.38, "cabinet_humidity": 53.91, "cabinet_temperature": 36.090}'
'RF616012','RF616012','RF616012','{"load_value": 18.80, "memory_usage": 43.92, "thermal_level": 31.23, "cabinet_humidity": 61.66, "cabinet_temperature": 44.210}'
'RF997271','RF997271','RF997271','{"load_value": 30.27, "memory_usage": 69.84, "thermal_level": 33.65, "cabinet_humidity": 59.50, "cabinet_temperature": 39.140}'
'RF789089','RF789089','RF789089','{"load_value": 74.27, "memory_usage": 54.45, "thermal_level": 51.78, "cabinet_humidity": 37.90, "cabinet_temperature": 37.400}'
'RF258464','RF258464','RF258464','{"load_value": 33.28, "memory_usage": 85.17, "thermal_level": 47.34, "cabinet_humidity": 62.62, "cabinet_temperature": 31.590}'
'RF527980','RF527980','RF527980','{"load_value": 46.54, "memory_usage": 20.46, "thermal_level": 39.06, "cabinet_humidity": 69.30, "cabinet_temperature": 35.800}'
'RF369276','RF369276','RF369276','{"load_value": 16.53, "memory_usage": 10.25, "thermal_level": 25.89, "cabinet_humidity": 57.43, "cabinet_temperature": 30.790}'
'RF399618','RF399618','RF399618','{"load_value": 11.64, "memory_usage": 39.28, "thermal_level": 34.04, "cabinet_humidity": 58.55, "cabinet_temperature": 34.600}'
'RF221032','RF221032','RF221032','{"load_value": 43.93, "memory_usage": 81.39, "thermal_level": 20.27, "cabinet_humidity": 58.88, "cabinet_temperature": 42.230}'
'RF316276','RF316276','RF316276','{"load_value": 4.93, "memory_usage": 16.56, "thermal_level": 25.41, "cabinet_humidity": 64.69, "cabinet_temperature": 40.610}'
'RF659402','RF659402','RF659402','{"load_value": 5.50, "memory_usage": 91.4, "thermal_level": 21.68, "cabinet_humidity": 43.00, "cabinet_temperature": 44.980}'
'RF365945','RF365945','RF365945','{"load_value": 99.28, "memory_usage": 31.55, "thermal_level": 21.59, "cabinet_humidity": 60.47, "cabinet_temperature": 22.530}'
'RF274021','RF274021','RF274021','{"load_value": 99.96, "memory_usage": 45.32, "thermal_level": 39.99, "cabinet_humidity": 41.47, "cabinet_temperature": 38.890}'
'RF936479','RF936479','RF936479','{"load_value": 66.08, "memory_usage": 27.56, "thermal_level": 38.56, "cabinet_humidity": 66.05, "cabinet_temperature": 38.750}'
'RF132253','RF132253','RF132253','{"load_value": 20.98, "memory_usage": 93.04, "thermal_level": 27.34, "cabinet_humidity": 46.80, "cabinet_temperature": 46.090}'
'RF619014','RF619014','RF619014','{"load_value": 61.35, "memory_usage": 31.59, "thermal_level": 26.69, "cabinet_humidity": 35.78, "cabinet_temperature": 37.210}'
'RF708196','RF708196','RF708196','{"load_value": 70.39, "memory_usage": 3.45, "thermal_level": 26.26, "cabinet_humidity": 69.39, "cabinet_temperature": 23.900}'
'RF850168','RF850168','RF850168','{"load_value": 22.23, "memory_usage": 92.44, "thermal_level": 53.33, "cabinet_humidity": 44.94, "cabinet_temperature": 42.910}'
'RF644501','RF644501','RF644501','{"load_value": 68.25, "memory_usage": 52.64, "thermal_level": 24.56, "cabinet_humidity": 58.06, "cabinet_temperature": 24.040}'
'RF937310','RF937310','RF937310','{"load_value": 99.33, "memory_usage": 79.05, "thermal_level": 54.76, "cabinet_humidity": 50.82, "cabinet_temperature": 48.020}'
'RF886638','RF886638','RF886638','{"load_value": 7.76, "memory_usage": 47.84, "thermal_level": 41.23, "cabinet_humidity": 47.74, "cabinet_temperature": 47.040}'
'RF403411','RF403411','RF403411','{"load_value": 47.65, "memory_usage": 17.27, "thermal_level": 50.16, "cabinet_humidity": 35.66, "cabinet_temperature": 23.270}'
'RF994878','RF994878','RF994878','{"load_value": 73.09, "memory_usage": 20.71, "thermal_level": 31.53, "cabinet_humidity": 36.52, "cabinet_temperature": 24.740}'
