'RF100725','RF100725','RF100725','E8902',NULL,'Low',0.021,'Motor',1601,16,7299.590
'RF506310','RF506310','RF506310',NULL,'Communication','High',0.493,'Joint',4728,161,5236.280
'RF422033','RF422033','RF422033',NULL,'Electrical','Medium',0.69,'Gearbox',4309,135,7885.930
'RF806459','RF806459','RF806459','E4278','Communication','High',0.793,'Controller',3167,46,4984.570
'RF478822','RF478822','RF478822',NULL,'Communication','Critical',0.016,'Gearbox',3679,153,9620.860
'RF196869','RF196869','RF196869',NULL,NULL,'High',0.257,'Gearbox',3954,135,9532.120
'RF982879','RF982879','RF982879',NULL,'Communication',NULL,0.626,'Controller',553,89,6794.130
'RF966272','RF966272','RF966272',NULL,'Mechanical','Medium',0.743,'Controller',4924,61,3999.570
'RF419468','RF419468','RF419468','E6585','Software','High',0.343,'Gearbox',3106,22,6497.600
'RF119293','RF119293','RF119293',NULL,'Communication','High',0.808,'Motor',2735,21,3011.300
'RF977036','RF977036','RF977036','E6525','Mechanical','High',0.753,'Controller',1891,4,9105.720
'RF616012','RF616012','RF616012','E5751','Mechanical','Low',0.089,'Controller',3906,65,5303.660
'RF997271','RF997271','RF997271','E1724','Software','Low',0.667,'Gearbox',2095,4,3338.700
'RF789089','RF789089','RF789089','E5687','Communication','Critical',0.703,'Motor',3918,169,8048.720
'RF258464','RF258464','RF258464',NULL,'Communication',NULL,0.807,'Gearbox',2074,127,6237.300
'RF527980','RF527980','RF527980',NULL,'Software','Critical',0.243,'Motor',2018,101,4002.890
'RF369276','RF369276','RF369276','E3595','Software','Low',0.278,NULL,228,132,6970.920
'RF399618','RF399618','RF399618','E5617','Electrical',NULL,0.212,'Motor',4417,167,6140.770
'RF221032','RF221032','RF221032',NULL,'Mechanical','Critical',0.684,'Joint',3920,170,3442.980
'RF316276','RF316276','RF316276','E2750','Communication','Low',0.384,'Motor',444,81,4605.280
'RF659402','RF659402','RF659402','E5408','Communication','Medium',0.764,NULL,46,156,7746.220
'RF365945','RF365945','RF365945','E7089',NULL,'Critical',0.129,'Gearbox',2288,147,9479.800
'RF274021','RF274021','RF274021',NULL,NULL,'Medium',0.184,'Gearbox',3988,155,8992.150
'RF936479','RF936479','RF936479',NULL,NULL,'Low',0.271,NULL,4202,80,1850.710
'RF132253','RF132253','RF132253','E3338','Communication','High',0.236,'Motor',4558,129,187.630
'RF619014','RF619014','RF619014','E3091','Communication','High',0.161,'Joint',4356,1,6294.680
'RF708196','RF708196','RF708196',NULL,'Software','Critical',0.475,NULL,2275,113,8216.160
'RF850168','RF850168','RF850168','E4993','Electrical','Critical',0.3,'Motor',3500,97,4534.510
'RF644501','RF644501','RF644501','E9000','Mechanical','Medium',0.733,'Joint',2431,174,2529.210
'RF937310','RF937310','RF937310',NULL,'Software','High',0.497,'Gearbox',1394,52,5338.650
'RF886638','RF886638','RF886638','E3142','Communication','Medium',0.683,'Controller',821,16,8684.740
'RF403411','RF403411','RF403411','E4436','Communication','Low',0.236,NULL,748,63,6384.220
'RF994878','RF994878','RF994878','E6642','Electrical','High',0.137,NULL,1556,104,1732.740
'RF504159','RF504159','RF504159',NULL,'Mechanical','High',0.029,NULL,279,128,7346.160
'RF747386','RF747386','RF747386',NULL,'Electrical',NULL,0.81,'Joint',4526,34,5702.210
'RF891634','RF891634','RF891634',NULL,NULL,'Low',0.42,'Gearbox',2429,43,6072.850
'RF216105','RF216105','RF216105',NULL,NULL,'Medium',0.913,'Joint',3547,178,6170.660
