'RF100725','RF100725','RF100725',20.57,39.54,42.160,34.88,70.15,64.39,1.140,1.636,1.687,3.264,2.052,6.422,0.0352,0.027,0.0946,0.056,0.0907,0.046
'RF506310','RF506310','RF506310',22.06,36.77,23.040,57.44,64.65,79.03,6.271,2.268,9.437,9.296,8.948,5.126,0.0995,0.067,0.0927,0.0269,0.0183,0.0941
'RF422033','RF422033','RF422033',40.14,36.75,24.800,47.02,42.92,53.8,5.295,1.125,5.297,0.860,0.146,0.779,0.0968,0.019,0.0447,0.0974,0.0116,0.0868
'RF806459','RF806459','RF806459',42.58,62.06,39.440,35.84,77.06,70.3,1.147,6.232,0.834,7.529,9.41,2.182,0.0870,0.072,0.0623,0.0181,0.0100,0.0265
'RF478822','RF478822','RF478822',54.80,45.67,47.960,43.31,38.88,25.62,2.237,5.44,5.23,4.054,6.088,3.564,0.0066,0.062,0.0677,0.0066,0.0484,0.017
'RF196869','RF196869','RF196869',45.31,49.25,47.230,79.19,22.43,21.33,2.637,9.917,8.334,9.775,1.046,3.324,0.0790,0.014,0.0565,0.0673,0.0379,0.0841
'RF982879','RF982879','RF982879',64.21,26.71,36.360,55.33,32.92,31.53,0.795,4.509,7.401,6.667,4.557,8.408,0.0314,0.001,0.0732,0.07,0.0148,0.04
'RF966272','RF966272','RF966272',45.39,25.54,32.250,31.05,22.81,65.15,8.452,2.527,0.365,3.189,6.009,3.647,0.0249,0.073,0.0616,0.0882,0.0757,0.0961
'RF419468','RF419468','RF419468',29.55,37.29,28.100,52.19,36.15,22.14,4.416,3.822,8.828,4.485,0.86,1.89,0.0377,0.086,0.0329,0.051,0.0115,0.0755
'RF119293','RF119293','RF119293',72.65,40.73,30.810,75.69,35.56,28.04,1.430,7.355,8.955,4.405,8.083,7.918,0.0635,0.096,0.0454,0.0808,0.0005,0.0366
'RF977036','RF977036','RF977036',74.21,68.36,40.170,56.26,54.20,46.16,6.509,6.339,5.247,7.484,4.276,9.598,0.0821,0.049,0.0329,0.043,0.0018,0.0041
'RF616012','RF616012','RF616012',30.11,74.38,70.830,26.92,79.37,75.76,6.429,9.002,1.991,1.795,4.43,6.182,0.0382,0.051,0.0607,0.0632,0.0801,0.0034
