'RF806459','RF806459','RF806459',0.7080,0.63,0.896,97.67,0.959,5.110,864,50.31,'{"overloads": 5, "collisions": 1, "safety_state": "Normal", "emergency_stops": 3, "zone_violations": 4, "speed_violations": 10, "calibration_state": "Valid               "}'
'RF478822','RF478822','RF478822',0.7940,0.56,0.24,75.64,0.845,6.760,464,86.9,'{"overloads": 4, "collisions": null, "safety_state": "Normal", "emergency_stops": null, "zone_violations": 4, "speed_violations": 7, "calibration_state": "Due                 "}'
'RF196869','RF196869','RF196869',0.4070,0.73,0.24,52.24,0.837,6.060,954,94.66,'{"overloads": 1, "collisions": 3, "safety_state": "Normal", "emergency_stops": 3, "zone_violations": 2, "speed_violations": 10, "calibration_state": "Valid               "}'
'RF982879','RF982879','RF982879',0.1820,0.70,0.225,23.45,0.943,5.730,777,18.37,'{"overloads": 4, "collisions": 3, "safety_state": "Warning", "emergency_stops": 1, "zone_violations": 3, "speed_violations": 8, "calibration_state": "Invalid             "}'
'RF966272','RF966272','RF966272',0.3780,0.76,0.478,37.54,0.996,6.850,596,97.78,'{"overloads": 4, "collisions": 2, "safety_state": "Warning", "emergency_stops": 5, "zone_violations": 4, "speed_violations": 4, "calibration_state": "Valid               "}'
'RF419468','RF419468','RF419468',0.9480,0.75,0.59,9.62,0.816,5.410,248,85.16,'{"overloads": 1, "collisions": null, "safety_state": "Warning", "emergency_stops": 4, "zone_violations": 8, "speed_violations": 5, "calibration_state": "Invalid             "}'
'RF119293','RF119293','RF119293',0.5850,0.70,0.55,46.88,0.949,6.660,529,81.58,'{"overloads": null, "collisions": 1, "safety_state": "Warning", "emergency_stops": 4, "zone_violations": 2, "speed_violations": 7, "calibration_state": "Invalid             "}'
'RF977036','RF977036','RF977036',0.8120,0.33,0.361,43.95,0.933,6.660,847,48.72,'{"overloads": 1, "collisions": null, "safety_state": "Normal", "emergency_stops": 2, "zone_violations": 3, "speed_violations": 7, "calibration_state": "Due                 "}'
'RF616012','RF616012','RF616012',0.7500,0.36,0.836,36.93,0.835,6.740,866,57.37,'{"overloads": 3, "collisions": 2, "safety_state": "Warning", "emergency_stops": 3, "zone_violations": 1, "speed_violations": 10, "calibration_state": "Invalid             "}'
'RF997271','RF997271','RF997271',0.0430,0.41,0.765,87.87,0.908,5.910,464,53.87,'{"overloads": null, "collisions": 2, "safety_state": "Emergency", "emergency_stops": 2, "zone_violations": 2, "speed_violations": 9, "calibration_state": "Valid               "}'
