'CS206405','Fail','Flag','Clear','Non-compliant',423,'High','Current',7,3,1,1,1,1,2,13,1,15,'0',28,27
'CS834424','Fail','Pass','Under Review','Non-compliant',379,'Medium','Past',7,13,0,2,1,1,2,0,10,17,'3',0,8
'CS904970','Fail','Fail','Clear','Compliant',645,'High','Past',3,5,3,3,0,1,0,7,7,6,'3',7,6
'CS886903','Flag','Fail','Clear','Compliant',707,'Medium','Past',6,2,0,1,1,0,1,6,3,4,'5',24,3
'CS767632','Pass','Pass','Under Review','Non-compliant',715,'Medium','Past',10,0,5,3,0,1,1,1,2,8,'0',21,18
'CS252516','Fail','Fail','Restricted','Compliant',517,'Very High','Past',9,7,3,1,0,1,2,1,0,6,'1',18,23
'CS891919','Pass','Fail','Restricted','Compliant',537,'High','Current',8,4,1,1,1,0,0,13,6,15,'3',1,30
'CS765007','Pass','Flag','Under Review','Non-compliant',497,'Low','Current',5,10,0,2,1,0,0,5,10,19,'4',25,6
'CS507608','Fail','Fail','Clear','Non-compliant',758,'Medium',NULL,7,4,4,0,1,0,0,14,8,8,'3',7,5
'CS893515','Flag','Fail','Under Review','Non-compliant',423,'Low','Past',1,8,0,0,0,1,0,2,4,6,'4',27,23
'CS986753','Flag','Flag','Clear','Compliant',497,'High','Past',0,19,2,3,1,0,1,3,3,14,'4',7,2
'CS414493','Flag','Pass','Restricted','Non-compliant',318,'Very High','Past',6,13,1,1,1,1,1,5,9,5,'4',25,20
'CS429393','Flag','Fail','Clear','Compliant',640,'Medium',NULL,9,15,2,0,1,1,0,11,7,12,'3',17,5
'CS166671','Pass','Pass','Clear','Compliant',604,'Very High','Current',9,4,2,3,0,1,0,11,2,9,'2',0,1
'CS222072','Flag','Pass','Restricted','Non-compliant',337,'Low',NULL,4,4,0,3,1,1,1,12,6,9,'5',16,2
'CS162913','Pass','Fail','Restricted','Compliant',305,'Medium','Past',8,12,2,1,1,0,2,2,0,11,'2',10,10
'CS517135','Pass','Fail','Restricted','Compliant',467,'Very High','Current',6,4,1,1,0,0,0,13,0,1,'4',5,8
'CS180245','Fail','Fail','Restricted','Compliant',720,'Very High','Current',4,8,3,1,1,1,2,4,1,6,'1',3,2
'CS335050','Pass','Pass','Restricted','Non-compliant',468,'Medium','Past',1,5,5,0,0,0,0,14,9,4,'2',7,19
'CS646404','Flag','Pass','Under Review','Non-compliant',411,'High','Current',2,8,5,0,0,0,0,2,3,11,'4',30,19
'CS544345','Fail','Flag','Under Review','Non-compliant',661,'Very High',NULL,2,14,1,1,1,0,1,10,9,4,'5',10,17
'CS450025','Fail','Fail','Under Review','Non-compliant',542,'Low','Past',8,13,5,2,0,0,2,1,6,16,'1',30,3
'CS298969','Pass','Fail','Restricted','Non-compliant',455,'Low','Current',0,15,5,3,0,1,1,9,5,14,'4',22,19
'CS824002','Flag','Pass','Under Review','Compliant',781,'Low','Current',3,13,2,1,0,1,2,9,8,14,'0',18,7
'CS969683','Fail','Flag','Under Review','Compliant',762,'High','Past',9,19,4,3,0,0,2,9,4,4,'1',17,13
'CS169928','Fail','Pass','Restricted','Compliant',600,'Medium','Current',9,13,0,2,1,0,0,1,7,14,'5',23,4
'CS180232','Fail','Fail','Under Review','Compliant',723,'High','Past',10,1,5,0,1,0,0,14,5,17,'1',8,10
'CS232683','Flag','Fail','Under Review','Compliant',737,'High',NULL,9,5,3,2,0,1,0,3,9,6,'2',2,0
'CS354471','Pass','Pass','Restricted','Non-compliant',849,'High','Current',6,4,0,3,0,0,2,1,2,7,'0',0,19
'CS688942','Fail','Fail','Under Review','Compliant',405,'High','Past',5,5,4,2,1,0,2,2,4,1,'2',25,9
