'CS893515','High',3441.00,0.158,'Rare',9,'Basic',973494.00,'Premium',0.372,0.227,'Failed','Failed','Flag','{"autopay": "Yes", "depostat": "No", "mobileuse": "High", "onlineuse": "High", "invcluster": {"tradeact": "High", "investexp": "Moderate", "investport": "Moderate"}}'
'CS986753','Medium',4667.00,0.603,'Occasional',9,'Comprehensive',31201.00,'Basic',0.430,0.528,'Failed','Failed','Pass','{"autopay": "No", "depostat": "Yes", "mobileuse": "Medium", "onlineuse": "High", "invcluster": {"tradeact": null, "investexp": "Extensive", "investport": null}}'
'CS414493','Low',4675.00,0.984,'Never',7,'Basic',459259.00,'Basic',0.893,0.210,'Pending','Failed','Pass','{"autopay": "Yes", "depostat": "Yes", "mobileuse": "High", "onlineuse": "High", "invcluster": {"tradeact": "High", "investexp": "Moderate", "investport": null}}'
'CS429393','High',4179.00,0.417,'Rare',4,NULL,371895.00,'Basic',0.078,0.149,'Failed','Failed','Flag','{"autopay": "Yes", "depostat": "No", "mobileuse": "Medium", "onlineuse": "Medium", "invcluster": {"tradeact": "Low", "investexp": "Limited", "investport": "Aggressive"}}'
'CS166671','Low',3379.00,0.003,'Occasional',0,'Comprehensive',582885.00,'Premium',0.646,0.667,'Failed','Pending','Flag','{"autopay": "No", "depostat": "Yes", "mobileuse": "Medium", "onlineuse": "Medium", "invcluster": {"tradeact": null, "investexp": "Limited", "investport": null}}'
'CS222072','High',8491.00,0.287,'Rare',3,NULL,499122.00,NULL,0.873,0.739,'Verified','Pending','Fail','{"autopay": "Yes", "depostat": "No", "mobileuse": "Low", "onlineuse": "High", "invcluster": {"tradeact": "Medium", "investexp": "Moderate", "investport": "Conservative"}}'
'CS162913','Low',8622.00,0.548,'Never',5,NULL,374021.00,NULL,0.055,0.852,'Verified','Pending','Fail','{"autopay": "Yes", "depostat": "No", "mobileuse": "High", "onlineuse": "Medium", "invcluster": {"tradeact": "Medium", "investexp": "Limited", "investport": "Moderate"}}'
'CS517135','Low',1994.00,0.344,'Occasional',3,NULL,789067.00,NULL,0.061,0.511,'Verified','Pending','Flag','{"autopay": "No", "depostat": "No", "mobileuse": "High", "onlineuse": "Medium", "invcluster": {"tradeact": "Medium", "investexp": "Limited", "investport": "Aggressive"}}'
'CS180245','Low',4861.00,0.874,'Occasional',9,NULL,330558.00,'Basic',0.260,0.086,'Failed','Completed','Pass','{"autopay": "Yes", "depostat": "No", "mobileuse": "High", "onlineuse": "High", "invcluster": {"tradeact": "High", "investexp": "Limited", "investport": "Conservative"}}'
'CS335050','Medium',7455.00,0.734,'Rare',3,NULL,467217.00,'Basic',0.328,0.667,'Pending','Failed','Fail','{"autopay": "No", "depostat": "No", "mobileuse": "High", "onlineuse": "Low", "invcluster": {"tradeact": null, "investexp": "Limited", "investport": "Conservative"}}'
'CS646404','Medium',5394.00,0.973,'Never',10,NULL,577213.00,NULL,0.297,0.088,'Pending','Failed','Pass','{"autopay": "Yes", "depostat": "Yes", "mobileuse": "Medium", "onlineuse": "Medium", "invcluster": {"tradeact": null, "investexp": null, "investport": "Aggressive"}}'
'CS544345','Low',1610.00,0.351,'Occasional',8,'Basic',116292.00,NULL,0.692,0.815,'Pending','Failed','Pass','{"autopay": "No", "depostat": "Yes", "mobileuse": "Low", "onlineuse": "Low", "invcluster": {"tradeact": null, "investexp": "Moderate", "investport": null}}'
'CS450025','Medium',2531.00,0.522,'Rare',8,NULL,797710.00,'Basic',0.350,0.338,'Pending','Failed','Pass','{"autopay": "No", "depostat": "No", "mobileuse": "High", "onlineuse": "Low", "invcluster": {"tradeact": null, "investexp": "Extensive", "investport": "Moderate"}}'
'CS298969','High',1924.00,0.622,'Rare',10,'Basic',534198.00,NULL,0.658,0.836,'Failed','Failed','Flag','{"autopay": "No", "depostat": "Yes", "mobileuse": "High", "onlineuse": "Medium", "invcluster": {"tradeact": "Low", "investexp": "Limited", "investport": null}}'
