'CS206405',5,7.6,0.914,0.681,0.187,'Stable','High',3,114447.00,0.402,'Poor',3,3,189402,'Poor',6,'Low',0.263,0.544,26262.17
'CS834424',4,2.4,0.480,0.297,0.031,'Improving','High',10,50628.00,0.062,'Fair',3,3,373422,'Good',3,NULL,0.308,0.575,9298.56
'CS904970',5,9.3,0.647,0.608,0.832,'Stable','High',10,45409.00,0.712,'Good',4,3,107132,'Fair',1,NULL,0.068,0.563,15220.60
'CS886903',5,9.1,0.623,0.784,0.746,'Improving','Low',10,137729.00,0.428,'Good',0,3,304299,'Good',20,'High',0.325,0.339,77723.94
'CS767632',4,6.0,0.434,0.628,0.671,'Stable','Medium',9,57038.00,0.039,'Good',5,1,76959,'Good',16,'High',0.796,0.107,47248.33
'CS252516',2,4.1,0.982,0.905,0.452,'Deteriorating','Medium',6,194858.00,0.897,'Good',3,2,292185,'Fair',9,'Low',0.369,0.126,77803.88
'CS891919',0,2.6,0.746,0.913,0.761,'Stable','Medium',2,50413.00,0.823,'Excellent',4,3,291422,'Fair',7,'Medium',0.969,0.072,89771.61
'CS765007',5,10.0,0.405,0.929,0.702,'Improving','Low',8,11599.00,0.407,'Fair',3,2,154540,'Fair',14,'Medium',0.784,0.328,38024.57
'CS507608',5,19.8,0.113,0.597,0.350,'Improving','Low',1,91882.00,0.755,'Poor',4,1,77356,'Excellent',9,NULL,0.777,0.810,4339.76
'CS893515',2,7.6,0.917,0.232,0.077,'Stable','High',6,187279.00,0.195,'Excellent',4,2,285393,'Excellent',19,'Low',0.358,0.097,93308.24
'CS986753',4,0.5,0.953,0.293,0.456,'Improving','High',3,92202.00,0.549,'Fair',4,2,38476,'Excellent',20,'Medium',0.803,0.667,89780.92
'CS414493',4,16.1,0.472,0.714,0.985,'Deteriorating','Low',8,168416.00,0.782,'Excellent',5,3,15575,'Excellent',17,NULL,0.674,0.195,97534.22
'CS429393',4,7.0,0.979,0.938,0.310,'Improving','Low',4,186844.00,0.302,'Poor',3,3,468624,'Excellent',1,'Medium',0.162,0.459,19852.16
'CS166671',3,18.8,0.325,0.874,0.753,'Deteriorating','High',5,176481.00,0.752,'Good',1,0,382123,'Excellent',9,'Medium',0.455,0.482,73222.78
'CS222072',4,7.3,0.856,0.568,0.783,'Deteriorating','High',8,157243.00,0.972,'Good',2,1,454087,'Excellent',19,'Medium',0.046,0.696,68183.91
'CS162913',5,16.0,0.752,0.670,0.627,'Improving','High',1,68743.00,0.355,'Excellent',1,0,198223,'Good',7,'Low',0.811,0.154,86874.32
'CS517135',0,14.0,0.032,0.822,0.458,'Stable','Low',6,194741.00,0.582,'Good',2,2,145397,'Fair',6,'Low',0.034,0.239,71488.54
'CS180245',0,8.7,0.363,0.782,0.109,'Stable','High',4,41841.00,0.667,'Excellent',1,0,17624,'Excellent',6,'Medium',0.383,0.382,93552.98
'CS335050',1,0.4,0.709,0.735,0.359,'Improving','High',10,5595.00,0.085,'Fair',2,2,298449,'Good',13,'Medium',0.519,0.401,78174.56
'CS646404',0,0.5,0.112,0.713,0.452,'Improving','High',8,94713.00,0.117,'Poor',3,0,349673,'Good',18,'High',0.845,0.380,28089.22
'CS544345',0,13.4,0.828,0.452,0.259,'Improving','Low',4,165654.00,0.235,'Fair',2,3,364937,'Excellent',10,'High',0.950,0.670,79061.83
'CS450025',4,14.4,0.198,0.620,0.709,'Improving','Medium',5,71286.00,0.195,'Fair',2,2,404876,'Excellent',0,'Medium',0.362,0.868,74774.49
'CS298969',2,8.3,0.059,0.759,0.196,'Deteriorating','Medium',2,57497.00,0.862,'Excellent',3,3,217625,'Excellent',16,'Medium',0.544,0.248,71569.07
'CS824002',0,1.3,0.754,0.342,0.563,'Deteriorating','High',2,167170.00,0.565,'Good',5,3,255239,'Excellent',2,'High',0.376,0.446,38193.00
'CS969683',5,12.9,0.037,0.817,0.597,'Improving','Medium',8,156930.00,0.969,'Excellent',3,1,228725,'Fair',4,'Low',0.586,0.529,91246.96
'CS169928',4,3.0,0.428,0.773,0.619,'Improving','Medium',3,96070.00,0.095,'Fair',4,1,417141,'Excellent',4,NULL,0.272,0.887,87884.40
'CS180232',1,14.8,0.565,0.278,0.360,'Deteriorating','Medium',9,58502.00,0.787,'Excellent',4,0,50009,'Poor',11,'Low',0.070,0.618,89150.41
'CS232683',5,18.2,0.789,0.895,0.296,'Deteriorating','Medium',0,80444.00,0.708,'Good',0,3,214938,'Poor',15,'Medium',0.507,0.477,37294.38
'CS354471',2,9.5,0.697,0.856,0.012,'Stable','Low',5,148634.00,0.826,'Poor',5,3,314772,'Excellent',5,'High',0.206,0.071,41135.74
'CS688942',3,11.7,0.235,0.331,0.928,'Improving','High',8,178651.00,0.630,'Good',3,2,68962,'Fair',20,'Medium',0.603,0.069,62876.97
'CS288223',4,13.5,0.730,0.978,0.607,'Improving','High',0,42165.00,0.051,'Fair',4,3,46751,'Good',12,'Low',0.961,0.838,7168.25
'CS289722',1,7.0,0.981,0.005,0.594,'Deteriorating','Low',9,91474.00,0.861,'Good',4,0,11464,'Excellent',5,'High',0.676,0.547,33559.90
'CS230095',0,2.7,0.484,0.022,0.854,'Deteriorating','Low',3,100042.00,0.321,'Excellent',4,2,379459,'Poor',20,'Medium',0.810,0.869,88830.48
'CS353632',4,9.6,0.263,0.692,0.590,'Deteriorating','Medium',7,3515.00,0.930,'Fair',1,1,162971,'Poor',12,'Medium',0.858,0.337,77378.25
'CS435359',1,11.0,0.578,0.492,0.066,'Deteriorating','Low',7,5238.00,0.864,'Poor',4,3,236,'Good',10,'High',0.059,0.161,53701.99
'CS997640',0,11.4,0.775,0.722,0.890,'Stable','Low',2,1860.00,0.950,'Poor',3,3,280147,'Fair',5,NULL,0.306,0.376,48149.25
'CS365031',0,18.2,0.636,0.946,0.997,'Improving','High',8,147456.00,0.819,'Excellent',2,3,140438,'Excellent',12,'Low',0.863,0.418,85059.49
'CS616098',3,14.0,0.266,0.861,0.722,'Improving','Medium',1,46664.00,0.694,'Good',5,1,73318,'Excellent',12,'High',0.676,0.288,55967.07
