1,'Great post!',2,1,NULL,10,'2024-02-26 06:45:00','2024-02-26 06:45:00',true,2,0,false,'192.168.1.1','Mozilla/5.0',false,0,NULL,NULL,NULL,false
2,'Nice explanation!',1,1,NULL,8,'2024-02-26 07:00:00','2024-02-26 07:00:00',true,1,0,false,'192.168.1.2','Chrome/89.0',false,0,NULL,NULL,NULL,false
3,'I have a question.',2,1,NULL,5,'2024-02-26 07:30:00','2024-02-26 07:30:00',false,0,0,false,'192.168.1.3','Firefox/90.0',false,2,NULL,NULL,NULL,false
4,'Keep up the good work!',1,2,NULL,12,'2024-02-26 08:45:00','2024-02-26 08:45:00',true,3,1,false,'192.168.1.4','Safari/14.0',false,0,NULL,NULL,NULL,false
5,'This is amazing!',3,2,NULL,15,'2024-02-26 09:00:00','2024-02-26 09:00:00',true,2,0,false,'192.168.1.5','Edge/88.0',false,1,NULL,NULL,NULL,false
6,'I learned a lot.',2,2,NULL,7,'2024-02-26 09:30:00','2024-02-26 09:30:00',true,0,0,false,'192.168.1.6','Chrome/90.0',false,0,NULL,NULL,NULL,false
7,'Interesting topic!',3,1,NULL,9,'2024-02-26 10:45:00','2024-02-26 10:45:00',true,1,0,false,'192.168.1.7','Firefox/91.0',false,4,NULL,NULL,NULL,false
8,'Can you share more examples?',1,2,NULL,6,'2024-02-26 11:00:00','2024-02-26 11:00:00',false,1,0,false,'192.168.1.8','Safari/15.0',false,3,NULL,NULL,NULL,false
9,'I disagree with some points.',3,1,NULL,3,'2024-02-26 11:30:00','2024-02-26 11:30:00',false,5,2,false,'192.168.1.9','Edge/89.0',false,0,NULL,NULL,NULL,false
10,'Looking forward to more content!',2,2,NULL,11,'2024-02-26 12:00:00','2024-02-26 12:00:00',true,2,1,false,'192.168.1.10','Chrome/91.0',false,0,NULL,NULL,NULL,false
