1,1,NULL,'Admin Role','2024-02-26 04:30:00','2024-02-26 04:30:00',"'{""admin"": true}'",'Admin',true,NULL,NULL,'192.168.1.1',NULL,'Desktop',NULL,5,"'{""sessions"": 2}'"
2,2,NULL,'User Role','2024-02-25 09:30:00','2024-02-25 09:30:00',"'{""user"": true}'",'User',true,NULL,NULL,'192.168.1.2',NULL,'Mobile',NULL,10,"'{""sessions"": 5}'"
3,1,NULL,'Moderator Role','2024-02-26 05:30:00','2024-02-26 05:30:00',"'{""moderator"": true}'",'Moderator',true,NULL,NULL,'192.168.1.1',NULL,'Desktop',NULL,8,"'{""sessions"": 3}'"
4,2,NULL,'Editor Role','2024-02-25 11:00:00','2024-02-25 11:00:00',"'{""editor"": true}'",'Editor',true,NULL,NULL,'192.168.1.2',NULL,'Mobile',NULL,12,"'{""sessions"": 6}'"
5,1,NULL,'Support Role','2024-02-26 07:15:00','2024-02-26 07:15:00',"'{""support"": true}'",'Support',true,NULL,'2024-03-31','192.168.1.1',NULL,'Desktop',NULL,6,"'{""sessions"": 2}'"
6,2,NULL,'Tester Role','2024-02-25 11:45:00','2024-02-25 11:45:00',"'{""tester"": true}'",'Tester',true,NULL,'2024-04-30','192.168.1.2',NULL,'Mobile',NULL,10,"'{""sessions"": 4}'"
7,1,NULL,'Analyst Role','2024-02-26 08:00:00','2024-02-26 08:00:00',"'{""analyst"": true}'",'Analyst',true,NULL,'2024-03-15','192.168.1.1',NULL,'Desktop',NULL,7,"'{""sessions"": 3}'"
8,2,NULL,'Developer Role','2024-02-25 12:30:00','2024-02-25 12:30:00',"'{""developer"": true}'",'Developer',true,NULL,'2024-05-31','192.168.1.2',NULL,'Mobile',NULL,15,"'{""sessions"": 7}'"
9,1,NULL,'Designer Role','2024-02-26 08:45:00','2024-02-26 08:45:00',"'{""designer"": true}'",'Designer',true,NULL,'2024-03-10','192.168.1.1',NULL,'Desktop',NULL,9,"'{""sessions"": 4}'"
10,2,NULL,'Guest Role','2024-02-25 14:00:00','2024-02-25 14:00:00',"'{""guest"": true}'",'Guest',true,"'{""note"": ""Cannot edit content""}'",'2024-03-10','192.168.1.2',NULL,'Mobile',NULL,20,"'{""sessions"": 10}'"
