'Australia',5,'Oceania','Australia',-25.2744,133.775
'Brazil',7,'South America','South',-14.235,-51.9253
'Canada',3,'North America','North',56.1304,-106.347
'China',12,'Asia','East Asia',35.8617,104.195
'France',11,'Europe','Western Europe',46.6031,1.8883
'Germany',4,'Europe','Central Europe',51.1657,10.4515
'India',9,'Asia','South Asia',20.5937,78.9629
'Japan',6,'Asia','East Asia',36.2048,138.253
'New Zealand',10,'Oceania','Australia',-40.9006,174.886
'South Africa',8,'Africa','Southern Africa',-30.5595,22.9375
'United Kingdom',2,'Europe','Western Europe',51.5074,-0.1278
'United States',1,'North America','North',40.7128,-74.006
