1,2,'like',1,1,NULL,'John Doe liked your post.','2024-02-26 12:45:00',false,false,false,'https://example.com/posts/1#comment-1',1,NULL,'Post Liked','active','view_post',1,'web','social','2024-03-26 12:45:00','email','inbox','en',NULL,NULL,'2024-03-26 12:45:00',NULL,'app'
2,1,'comment',2,1,2,'Jane Smith commented on your post.','2024-02-26 13:15:00',false,false,false,'https://example.com/posts/1#comment-2',2,NULL,'New Comment','active','view_comment',2,'web','social','2024-03-26 13:15:00','push_notification','mobile_app','en',NULL,NULL,'2024-03-26 13:15:00',NULL,'app'
3,1,'follow',2,NULL,NULL,'Jane Smith started following you.','2024-02-26 14:00:00',false,false,false,'https://example.com/users/1',3,NULL,'New Follower','active','view_profile',2,'web','social','2024-03-26 14:00:00','push_notification','mobile_app','en',NULL,NULL,'2024-03-26 14:00:00',NULL,'app'
4,2,'like',1,2,NULL,'John Doe liked your post.','2024-02-26 15:30:00',false,false,false,'https://example.com/posts/2#comment-1',1,NULL,'Post Liked','active','view_post',1,'web','social','2024-03-26 15:30:00','email','inbox','en',NULL,NULL,'2024-03-26 15:30:00',NULL,'app'
5,1,'comment',2,2,3,'Jane Smith commented on your post.','2024-02-26 16:45:00',false,false,false,'https://example.com/posts/2#comment-3',2,NULL,'New Comment','active','view_comment',2,'web','social','2024-03-26 16:45:00','push_notification','mobile_app','en',NULL,NULL,'2024-03-26 16:45:00',NULL,'app'
6,2,'follow',1,NULL,NULL,'John Doe started following you.','2024-02-26 17:15:00',false,false,false,'https://example.com/users/2',3,NULL,'New Follower','active','view_profile',1,'web','social','2024-03-26 17:15:00','push_notification','mobile_app','en',NULL,NULL,'2024-03-26 17:15:00',NULL,'app'
7,1,'like',2,1,NULL,'Jane Smith liked your post.','2024-02-26 18:30:00',false,false,false,'https://example.com/posts/1#comment-2',1,NULL,'Post Liked','active','view_post',2,'web','social','2024-03-26 18:30:00','email','inbox','en',NULL,NULL,'2024-03-26 18:30:00',NULL,'app'
8,2,'comment',1,2,2,'John Doe commented on your post.','2024-02-26 19:45:00',false,false,false,'https://example.com/posts/2#comment-2',2,NULL,'New Comment','active','view_comment',1,'web','social','2024-03-26 19:45:00','push_notification','mobile_app','en',NULL,NULL,'2024-03-26 19:45:00',NULL,'app'
9,2,'follow',1,NULL,NULL,'John Doe started following you.','2024-02-26 20:00:00',false,false,false,'https://example.com/users/2',3,NULL,'New Follower','active','view_profile',1,'web','social','2024-03-26 20:00:00','push_notification','mobile_app','en',NULL,NULL,'2024-03-26 20:00:00',NULL,'app'
10,1,'like',2,2,NULL,'Jane Smith liked your post.','2024-02-26 21:30:00',false,false,false,'https://example.com/posts/2#comment-1',1,NULL,'Post Liked','active','view_post',2,'web','social','2024-03-26 21:30:00','email','inbox','en',NULL,NULL,'2024-03-26 21:30:00',NULL,'app'
