1,1,2,NULL,'like','2024-02-26 06:45:00',5,'Liked this comment',true,10,'192.168.1.2',"'{""browser"": ""Chrome"", ""version"": ""89.0""}'"
2,NULL,1,1,'love','2024-02-26 07:00:00',8,'Loved this post',true,15,'192.168.1.1',"'{""browser"": ""Mozilla"", ""version"": ""5.0""}'"
3,2,1,NULL,'dislike','2024-02-26 07:30:00',2,'Disliked this comment',true,5,'192.168.1.1',"'{""browser"": ""Firefox"", ""version"": ""90.0""}'"
4,NULL,2,2,'like','2024-02-25 12:15:00',6,'Liked this post',true,12,'192.168.1.2',"'{""browser"": ""Chrome"", ""version"": ""89.0""}'"
5,1,1,NULL,'love','2024-02-25 13:00:00',10,'Loved this comment',true,20,'192.168.1.1',"'{""browser"": ""Mozilla"", ""version"": ""5.0""}'"
6,NULL,2,2,'dislike','2024-02-26 06:00:00',3,'Disliked this post',true,8,'192.168.1.2',"'{""browser"": ""Firefox"", ""version"": ""90.0""}'"
7,2,1,NULL,'like','2024-02-26 08:00:00',7,'Liked this comment',true,14,'192.168.1.1',"'{""browser"": ""Chrome"", ""version"": ""89.0""}'"
8,NULL,2,2,'love','2024-02-26 08:30:00',9,'Loved this post',true,18,'192.168.1.2',"'{""browser"": ""Mozilla"", ""version"": ""5.0""}'"
9,1,1,NULL,'dislike','2024-02-26 09:00:00',4,'Disliked this comment',true,9,'192.168.1.1',"'{""browser"": ""Firefox"", ""version"": ""90.0""}'"
10,NULL,2,2,'like','2024-02-26 09:30:00',6,'Liked this post',true,12,'192.168.1.2',"'{""browser"": ""Chrome"", ""version"": ""89.0""}'"
11,2,1,NULL,'love','2024-02-26 10:00:00',10,'Loved this comment',true,20,'192.168.1.1',"'{""browser"": ""Mozilla"", ""version"": ""5.0""}'"
12,NULL,1,1,'dislike','2024-02-26 10:30:00',3,'Disliked this post',true,8,'192.168.1.1',"'{""browser"": ""Firefox"", ""version"": ""90.0""}'"
13,1,2,NULL,'like','2024-02-26 11:00:00',5,'Liked this comment',true,10,'192.168.1.2',"'{""browser"": ""Chrome"", ""version"": ""89.0""}'"
14,NULL,2,2,'love','2024-02-26 11:30:00',9,'Loved this post',true,18,'192.168.1.1',"'{""browser"": ""Mozilla"", ""version"": ""5.0""}'"
15,2,1,NULL,'dislike','2024-02-26 12:00:00',4,'Disliked this comment',true,9,'192.168.1.1',"'{""browser"": ""Firefox"", ""version"": ""90.0""}'"
