1,1,'login','2024-02-26 04:30:00',NULL,NULL,'User login','web','home',10,'Chrome/89.0','success','low','public',NULL,NULL,'192.168.1.1','Mozilla/5.0','https://example.com','session123','Chrome','Windows 10',NULL,NULL,NULL,"'[12.34, 56.78]'",600
2,2,'post','2024-02-26 06:00:00',2,NULL,'Created a new post','web','programming',20,'Firefox/90.0','success','medium','public',NULL,NULL,'192.168.1.2','Firefox/90.0','https://example.com/posts/2','session456','Firefox','MacOS',NULL,NULL,NULL,"'[34.56, 78.9]'",300
3,3,'comment','2024-02-26 06:45:00',1,1,'Commented on a post','mobile','travel',15,'iPhone/14.0','success','high','private',"'[2, 3]'","'{""key"": ""value""}'",'192.168.1.3','Safari/15.0','https://example.com/posts/1#comment-1','session789','Safari','iOS 15','https://google.com',NULL,NULL,"'[23.45, 67.89]'",450
4,4,'like','2024-02-26 07:30:00',1,NULL,'Liked a post','web','office',5,'Edge/99.0','success','low','public',NULL,NULL,'192.168.1.4','Microsoft Edge/99.0','https://example.com/posts/1','session101','Microsoft Edge','Windows 11',NULL,NULL,NULL,"'[45.67, 89.12]'",120
5,5,'login','2024-02-26 09:00:00',NULL,NULL,'User login','web','home',10,'Chrome/90.0','success','low','public',NULL,NULL,'192.168.1.1','Mozilla/5.0','https://example.com','session202','Chrome','Windows 10',NULL,NULL,NULL,"'[12.34, 56.78]'",600
6,6,'post','2024-02-26 10:15:00',3,NULL,'Created a new post','web','technology',18,'Firefox/91.0','success','medium','public',NULL,NULL,'192.168.1.2','Firefox/91.0','https://example.com/posts/3','session303','Firefox','MacOS',NULL,NULL,NULL,"'[34.56, 78.9]'",270
7,7,'comment','2024-02-26 10:50:00',2,2,'Replied to a comment','web','programming',12,'Chrome/91.0','success','medium','public',"'[4, 5]'","'{""key"": ""value""}'",'192.168.1.3','Mozilla/5.0','https://example.com/posts/2#comment-2','session404','Chrome','Windows 10',NULL,NULL,NULL,"'[23.45, 67.89]'",360
8,8,'like','2024-02-26 11:30:00',2,NULL,'Liked a post','mobile','home',8,'iPhone/15.0','success','low','public',NULL,NULL,'192.168.1.4','Safari/15.0','https://example.com/posts/2','session505','Safari','iOS 15',NULL,NULL,NULL,"'[45.67, 89.12]'",180
9,9,'login','2024-02-26 13:00:00',NULL,NULL,'User login','web','office',10,'Chrome/91.0','success','low','public',NULL,NULL,'192.168.1.1','Mozilla/5.0','https://example.com','session606','Chrome','Windows 10',NULL,NULL,NULL,"'[12.34, 56.78]'",600
10,10,'post','2024-02-26 14:15:00',4,NULL,'Created a new post','web','travel',25,'Firefox/92.0','success','high','public',NULL,NULL,'192.168.1.2','Firefox/92.0','https://example.com/posts/4','session707','Firefox','MacOS',NULL,NULL,NULL,"'[34.56, 78.9]'",500
11,11,'comment','2024-02-26 14:50:00',3,3,'Commented on a post','web','technology',14,'Chrome/92.0','success','medium','public',"'[6, 7]'","'{""key"": ""value""}'",'192.168.1.3','Mozilla/5.0','https://example.com/posts/3#comment-3','session808','Chrome','Windows 10',NULL,NULL,NULL,"'[23.45, 67.89]'",420
12,12,'like','2024-02-26 15:30:00',3,NULL,'Liked a post','mobile','home',6,'iPhone/16.0','success','low','public',NULL,NULL,'192.168.1.4','Safari/16.0','https://example.com/posts/3','session909','Safari','iOS 16',NULL,NULL,NULL,"'[45.67, 89.12]'",150
13,1,'login','2024-02-27 04:15:00',NULL,NULL,'User login','web','home',10,'Firefox/90.0','success','low','public',NULL,NULL,'192.168.1.1','Firefox/90.0','https://example.com','session123','Firefox','MacOS' ,NULL,NULL,NULL,"'[12.34, 56.78]'",600
