1,1,"'{""comment"": ""Tagged with Database""}'",'public','2024-02-26 06:00:00'
2,2,"'{""comment"": ""Tagged with Marketing""}'",'public','2024-02-25 12:15:00'
3,1,"'{""comment"": ""Tagged with SQL""}'",'public','2024-02-27 04:45:00'
4,3,"'{""comment"": ""Tagged with Programming""}'",'public','2024-02-27 10:00:00'
5,2,"'{""comment"": ""Tagged with Technology""}'",'public','2024-02-28 04:15:00'
6,1,"'{""comment"": ""Tagged with Web Development""}'",'public','2024-02-28 08:50:00'
7,3,"'{""comment"": ""Tagged with Data Science""}'",'public','2024-02-29 05:30:00'
8,2,"'{""comment"": ""Tagged with Design""}'",'public','2024-02-29 11:15:00'
9,1,"'{""comment"": ""Tagged with Artificial Intelligence""}'",'public','2024-03-01 03:00:00'
10,3,"'{""comment"": ""Tagged with Cybersecurity""}'",'public','2024-03-01 07:45:00'
1,2,"'{""comment"": ""Tagged with Mobile Development""}'",'public','2024-03-02 05:00:00'
7,1,"'{""comment"": ""Tagged with Cloud Computing""}'",'public','2024-03-02 10:15:00'
5,3,"'{""comment"": ""Tagged with Machine Learning""}'",'public','2024-03-03 03:30:00'
7,2,"'{""comment"": ""Tagged with UX/UI""}'",'public','2024-03-03 08:50:00'
9,2,"'{""comment"": ""Tagged with Software Engineering""}'",'public','2024-03-04 05:45:00'
