1,'CB932064  ',1,1,'CB932064  ','Full','SM4','Hybrid',NULL,'T-Closeness','Partial','Basic','ABAC','Adequate','Vulnerable','Pending',905,'Current','Untested','Active'
2,'CB339111  ',2,2,'CB339111  ','Partial','SM4','Hybrid',NULL,'T-Closeness',NULL,'SSO','ABAC','Adequate','Vulnerable','Pending',439,'Failed','Tested','Outdated'
3,'CB899685  ',3,3,'CB899685  ','Partial','Custom','Distributed','Partial','T-Closeness','Partial','SSO','Custom','Strong','Vulnerable','Passed',621,'Failed','Missing','Outdated'
4,'CB891187  ',4,4,'CB891187  ','Partial','SM4','Centralized',NULL,'K-Anonymity','Applied','SSO','RBAC','Adequate','Secure','Passed',2326,'Current','Tested','Outdated'
5,'CB879069  ',5,5,'CB879069  ','Partial','SM4','Centralized','Partial','L-Diversity','Applied','MFA','ABAC','Strong','Secure','Pending',1136,'Current','Tested','Review Required'
6,'CB760522  ',6,6,'CB760522  ','Full','SM4','Centralized',NULL,'T-Closeness',NULL,'Basic','ABAC','Weak','Vulnerable','Failed',3268,'Current','Untested','Active'
7,'CB987231  ',7,7,'CB987231  ','Full','SM4','Hybrid',NULL,'T-Closeness','Applied','Basic','Custom','Adequate','Review Required','Pending',823,'Failed','Tested','Review Required'
8,'CB795498  ',8,8,'CB795498  ','Full','RSA-2048','Hybrid','Partial','K-Anonymity','Applied','SSO','Custom','Strong','Secure','Pending',477,'Current','Tested','Outdated'
9,'CB182230  ',9,9,'CB182230  ',NULL,'Custom','Hybrid','Partial','L-Diversity',NULL,'SSO','ABAC','Weak','Secure','Failed',2503,'Outdated','Missing','Review Required'
10,'CB616195  ',10,10,'CB616195  ','Full','AES-256','Hybrid','Partial','K-Anonymity','Applied','MFA','Custom','Adequate','Secure','Pending',3120,'Current','Missing','Outdated'
11,'CB755070  ',11,11,'CB755070  ','Partial','Custom','Centralized',NULL,'L-Diversity','Applied','Basic','Custom','Strong','Review Required','Passed',2785,'Current','Missing','Review Required'
12,'CB333951  ',12,12,'CB333951  ','Full','Custom','Centralized',NULL,'K-Anonymity','Partial','MFA','Custom','Strong','Review Required','Pending',93,'Current','Untested','Active'
13,'CB189595  ',13,13,'CB189595  ','Full','RSA-2048','Hybrid',NULL,'K-Anonymity','Partial','SSO','RBAC','Strong','Secure','Passed',2861,'Current','Untested','Review Required'
14,'CB752021  ',14,14,'CB752021  ','Partial','AES-256','Distributed',NULL,'L-Diversity','Applied','MFA','Custom','Strong','Secure','Passed',841,'Failed','Untested','Active'
15,'CB681691  ',15,15,'CB681691  ',NULL,'SM4','Centralized',NULL,'L-Diversity',NULL,'MFA','ABAC','Adequate','Review Required','Passed',2744,'Failed','Missing','Outdated'
16,'CB754483  ',16,16,'CB754483  ',NULL,'SM4','Distributed',NULL,'T-Closeness','Partial','MFA','Custom','Adequate','Vulnerable','Failed',418,'Current','Tested','Review Required'
17,'CB574043  ',17,17,'CB574043  ','Partial','SM4','Centralized',NULL,'T-Closeness','Applied','Basic','RBAC','Strong','Secure','Pending',928,'Outdated','Untested','Review Required'
18,'CB847407  ',18,18,'CB847407  ','Full','SM4','Hybrid',NULL,'T-Closeness','Applied','SSO','ABAC','Strong','Vulnerable','Pending',3558,'Failed','Tested','Active'
