1,'CB932064  ',1,'CB932064  ','Commercial','High',1093.60,2629296,754585,2208,'Mixed',52.45,'Passed','Failed','Pending','Pending'
2,'CB339111  ',2,'CB339111  ','Personal','Low',9970.36,921745,797722,3456,'Unstructured',81.09,'Passed','Success','Verified','Verified'
3,'CB899685  ',3,'CB899685  ','Financial','Low',7306.78,751112,384363,1728,'Mixed',25.20,'Failed','Pending','Failed','Failed'
4,'CB891187  ',4,'CB891187  ','Industrial','Critical',5186.81,46838,772724,937,'Mixed',82.12,NULL,'Success','Pending','Failed'
5,'CB879069  ',5,'CB879069  ','Personal','Critical',2585.86,9968930,273890,3450,'Mixed',43.08,NULL,'Failed','Failed','Failed'
6,'CB760522  ',6,'CB760522  ','Medical','Medium',2525.52,2797624,730725,2595,'Unstructured',58.26,NULL,'Pending','Pending','Pending'
7,'CB987231  ',7,'CB987231  ','Commercial','High',3314.23,5830610,253165,294,'Structured',11.96,'Passed','Success','Failed','Failed'
8,'CB795498  ',8,'CB795498  ','Industrial','Medium',3037.76,2703206,307385,1829,'Structured',36.67,'Passed','Pending','Verified','Failed'
9,'CB182230  ',9,'CB182230  ','Industrial','High',5134.66,8897189,464865,1325,'Mixed',33.78,'Passed','Failed','Pending','Verified'
10,'CB616195  ',10,'CB616195  ','Medical','High',8816.71,4058226,302672,2875,'Mixed',81.35,'Failed','Failed','Failed','Pending'
11,'CB755070  ',11,'CB755070  ','Personal','High',1175.21,7501670,317319,767,'Unstructured',40.70,'Passed','Success','Failed','Verified'
12,'CB333951  ',12,'CB333951  ','Personal','Low',3598.65,3347356,99236,1392,'Unstructured',91.12,'Passed','Pending','Failed','Verified'
13,'CB189595  ',13,'CB189595  ','Personal','Critical',953.06,431904,306447,2260,'Unstructured',44.46,'Failed','Success','Pending','Failed'
14,'CB752021  ',14,'CB752021  ','Financial','High',1829.73,1653788,652988,1841,'Mixed',45.73,NULL,'Success','Failed','Verified'
15,'CB681691  ',15,'CB681691  ','Commercial','Medium',9159.08,7329448,569524,1975,'Mixed',58.84,NULL,'Failed','Verified','Verified'
16,'CB754483  ',16,'CB754483  ','Medical','Medium',7934.84,9403832,409051,3639,'Mixed',72.37,'Failed','Pending','Verified','Verified'
17,'CB574043  ',17,'CB574043  ','Financial','High',994.39,7729364,639158,618,'Unstructured',21.47,NULL,'Pending','Pending','Pending'
18,'CB847407  ',18,'CB847407  ','Personal','Low',3831.42,2675274,612160,1998,'Mixed',59.02,NULL,'Success','Verified','Failed'
19,'CB313620  ',19,'CB313620  ','Commercial','Low',3181.19,4589860,592171,1328,'Unstructured',53.28,'Passed','Success','Failed','Verified'
20,'CB494948  ',20,'CB494948  ','Medical','Critical',7064.89,2941955,67093,818,'Unstructured',99.19,'Failed','Failed','Failed','Failed'
21,'CB658848  ',21,'CB658848  ','Industrial','High',1601.11,7324986,395813,2929,'Mixed',56.47,'Passed','Success','Verified','Failed'
22,'CB139645  ',22,'CB139645  ','Financial','Critical',8056.57,9044052,789663,1005,'Mixed',38.34,NULL,'Failed','Verified','Pending'
23,'CB354081  ',23,'CB354081  ','Personal','High',8133.25,4433280,692973,1923,'Mixed',97.69,NULL,'Failed','Failed','Failed'
