1,1,1,1,'CB932064  ','Complete',3,6,'In Progress','2025-03-16','Not Required','SCCs','Required','Not Met','Partial','Fully Integrated',959,409,76,53,4.5
2,2,2,2,'CB339111  ','Complete',49,8,'In Progress','2025-04-14','Required','Adequacy Decision','Completed','Met','Partial','Manual',36,326,196,21,13.4
3,3,3,3,'CB899685  ',NULL,6,5,'Not Started','2025-04-10','Required','Derogations','In Progress','Partial','Partial','Fully Integrated',650,122,0,89,23.2
4,4,4,4,'CB891187  ',NULL,50,4,'Completed','2025-04-19','Submitted','SCCs','In Progress','Partial','Complete','Partial',17,466,51,34,6.1
5,5,5,5,'CB879069  ',NULL,37,4,'Completed','2025-04-29','Submitted','Derogations','Required','Met','Outdated','Fully Integrated',75,180,9,38,3.4
6,6,6,6,'CB760522  ','Complete',34,8,'In Progress','2025-03-14','Submitted','Derogations','Required','Partial','Partial','Partial',116,220,74,14,18.7
7,7,7,7,'CB987231  ','Complete',50,8,'Completed','2025-03-18','Required','Adequacy Decision','Required','Not Met','Partial','Partial',500,494,33,5,27.0
8,8,8,8,'CB795498  ',NULL,34,4,'Completed','2025-03-05','Required','BCRs','In Progress','Met','Partial','Manual',369,12,27,99,6.1
9,9,9,9,'CB182230  ','Complete',40,2,'In Progress','2025-03-30','Required','Adequacy Decision','Completed','Not Met','Complete','Manual',288,157,80,31,8.7
10,10,10,10,'CB616195  ',NULL,50,6,'Completed','2025-03-03','Required','BCRs','In Progress','Met','Complete','Manual',688,324,37,87,4.9
11,11,11,11,'CB755070  ',NULL,43,6,'In Progress','2025-03-21','Required','Derogations','Completed','Met','Outdated','Partial',15,113,181,96,15.3
12,12,12,12,'CB333951  ',NULL,36,10,'In Progress','2025-04-25','Submitted','Adequacy Decision','In Progress','Not Met','Complete','Partial',339,378,77,56,3.8
13,13,13,13,'CB189595  ',NULL,50,0,'In Progress','2025-04-05','Required','Derogations','Completed','Not Met','Complete','Manual',67,85,187,76,15.8
14,14,14,14,'CB752021  ','Complete',34,6,'Not Started','2025-03-06','Submitted','Adequacy Decision','Required','Partial','Complete','Fully Integrated',413,223,60,15,4.6
15,15,15,15,'CB681691  ','Complete',43,9,'Completed','2025-04-25','Submitted','BCRs','Completed','Partial','Outdated','Manual',25,289,69,61,26.2
