1,1,1,'CB932064  ','Completed','A','2024-05-30','Active','2027-01-12','Required','Implemented','Approved','Complete','Partial','Non-compliant','Due','Pending','Inactive','Delayed','Limited'
2,2,2,'CB339111  ','Completed','A','2024-06-30','Under Review','2026-08-16','Required','Implemented','Pending','Incomplete','Full','Non-compliant','Overdue','Expired','Inactive','Delayed','Poor'
3,3,3,'CB899685  ','In Progress','B','2024-11-14','Expired','2026-04-26','Signed','Partial','Pending','Incomplete','Full','Non-compliant','Current','Valid','Partial','Delayed','Limited'
4,4,4,'CB891187  ','Due','B','2024-10-04','Active','2025-05-16','Pending','Not Required','Pending','Complete','Full','Full','Due','Pending','Active','Current','Limited'
5,5,5,'CB879069  ','Completed','B','2024-11-30','Expired','2026-05-04','Pending','Partial','Pending','Complete','Partial','Non-compliant','Current','Valid','Partial','Current','Limited'
6,6,6,'CB760522  ','In Progress','C','2024-03-17','Under Review','2025-05-22','Pending','Not Required','Approved','Partial','Full','Partial','Due','Pending','Partial','Overdue','Regular'
7,7,7,'CB987231  ','Due','B','2024-08-09','Expired','2026-04-29','Required','Partial','Pending','Partial','Partial','Non-compliant','Current','Valid','Inactive','Overdue','Limited'
8,8,8,'CB795498  ','Due','D','2024-07-18','Expired','2025-07-27','Pending','Not Required','Approved','Complete','Full','Full','Due','Pending','Active','Overdue','Poor'
9,9,9,'CB182230  ','Completed','D','2024-06-22','Active','2025-02-28','Pending','Not Required','Pending','Partial','Non-compliant','Non-compliant','Overdue','Pending','Inactive','Overdue','Regular'
10,10,10,'CB616195  ','In Progress','D','2024-09-15','Under Review','2025-08-04','Required','Implemented','Pending','Partial','Full','Partial','Overdue','Valid','Inactive','Delayed','Regular'
11,11,11,'CB755070  ','In Progress','D','2024-05-16','Under Review','2025-02-25','Required','Partial','Not Applicable','Incomplete','Non-compliant','Full','Current','Valid','Partial','Overdue','Regular'
12,12,12,'CB333951  ','Completed','D','2024-03-05','Expired','2026-02-12','Signed','Partial','Approved','Complete','Partial','Non-compliant','Due','Pending','Active','Overdue','Limited'
13,13,13,'CB189595  ','Due','C','2024-12-05','Under Review','2025-10-14','Required','Partial','Pending','Complete','Non-compliant','Non-compliant','Overdue','Valid','Inactive','Delayed','Limited'
14,14,14,'CB752021  ','Completed','D','2024-03-29','Expired','2025-03-03','Signed','Not Required','Pending','Partial','Non-compliant','Full','Current','Pending','Active','Overdue','Poor'
15,15,15,'CB681691  ','Completed','A','2024-06-15','Active','2026-07-12','Required','Implemented','Pending','Partial','Non-compliant','Partial','Overdue','Pending','Active','Current','Regular'
16,16,16,'CB754483  ','Due','B','2025-01-10','Expired','2026-10-14','Signed','Partial','Pending','Partial','Non-compliant','Non-compliant','Overdue','Pending','Partial','Overdue','Regular'
17,17,17,'CB574043  ','Due','C','2024-07-19','Expired','2025-07-27','Pending','Not Required','Not Applicable','Complete','Full','Non-compliant','Due','Expired','Partial','Delayed','Poor'
