1,'CB932064  ','CB932064  ',75.89,'Pending','Adequate','Partial','Missing',8,1,1,42.70,97.28,62143.31,1035760.69,NULL,'Medium',30.51,76.41,'Optimized','2025-06-02','On Track'
2,'CB339111  ','CB339111  ',67.11,'Pending','Strong','Established','Active',54,2,7,149.60,92.63,697139.72,1901980.24,'Limited','High',25.93,75.01,'Optimized','2025-10-14','On Track'
3,'CB899685  ','CB899685  ',17.40,'Pending','Insufficient','Established','Outdated',40,6,3,92.30,99.54,81412.06,110601.04,NULL,'Medium',61.71,51.95,'Managed','2025-10-04','Not Started'
4,'CB891187  ','CB891187  ',9.34,'Pending','Strong','Partial','Missing',23,1,15,157.90,83.42,369644.73,186314.26,'Limited','Low',11.75,20.72,'Optimized','2025-06-21','Delayed'
5,'CB879069  ','CB879069  ',12.18,'Pending','Strong','Missing','Outdated',65,6,17,66.80,88.64,765964.79,785030.16,'Adequate','Low',68.46,49.99,'Managed','2025-04-23','Not Started'
6,'CB760522  ','CB760522  ',75.46,'Pending','Insufficient','Partial','Active',69,8,21,80.50,83.06,873024.21,356295.76,NULL,'High',0.63,48.74,'Optimized','2025-10-25','Not Started'
7,'CB987231  ','CB987231  ',5.03,'Partial','Insufficient','Partial','Active',97,9,30,50.10,82.43,451741.60,1632955.67,'Limited','High',69.74,65.18,'Managed','2025-02-26','Not Started'
8,'CB795498  ','CB795498  ',96.22,'Implemented','Insufficient','Missing','Active',59,3,11,96.10,93.63,326951.39,353806.09,'Adequate','Medium',85.58,94.64,'Initial','2025-08-20','On Track'
9,'CB182230  ','CB182230  ',50.46,'Partial','Adequate','Partial','Active',58,4,34,4.50,95.76,593784.24,45586.65,NULL,'Medium',75.82,25.88,'Initial','2025-04-20','On Track'
10,'CB616195  ','CB616195  ',15.31,'Implemented','Insufficient','Missing','Active',14,3,40,108.80,98.12,477681.61,738181.82,NULL,'High',23.94,95.37,'Optimized','2025-10-08','Not Started'
11,'CB755070  ','CB755070  ',96.35,'Pending','Insufficient','Partial','Missing',71,6,32,142.50,92.10,679567.11,1847775.55,NULL,'Low',90.38,2.07,'Initial','2025-11-28','On Track'
12,'CB333951  ','CB333951  ',37.86,'Partial','Insufficient','Partial','Outdated',82,5,10,92.00,86.99,960061.74,377134.77,NULL,'Low',36.88,97.37,'Optimized','2025-06-16','On Track'
13,'CB189595  ','CB189595  ',45.18,'Partial','Insufficient','Missing','Missing',29,0,46,51.30,87.19,623239.97,1365980.84,NULL,'Medium',6.69,38.51,'Initial','2025-11-14','On Track'
