'CB932064  ','2024-03-11 11:43:31.039','DF7811','Niue','Djibouti','Hill Ltd','Davis, Harper and Weber','Blockchain','Weekly',42668.42,1068,68.81,99.93,39,1
'CB339111  ','2024-05-01 07:58:45.040','DF9309','Israel','Monaco','Boyer-Mcdonald','Rogers Inc','SFTP','Hourly',32803.96,996,7.52,91.77,68,48
'CB899685  ','2024-05-07 04:39:04.040','DF8105','United States Virgin Islands','Germany','Curtis Inc','Horton LLC','Private Network','Real-time',93843.18,1325,62.66,93.76,80,45
'CB891187  ','2024-09-04 05:47:12.040','DF8711','Costa Rica','Congo','Park Ltd','Nixon Inc','SFTP','Real-time',10946.75,237,94.90,96.73,54,4
'CB879069  ','2024-05-27 21:21:14.041','DF3607','Cyprus','Cocos (Keeling) Islands','Hernandez PLC','Yu and Sons','HTTPS','Weekly',41713.03,1381,99.49,96.78,12,10
'CB760522  ','2025-01-25 21:36:04.041','DF9086','Niger','Bahamas','Smith, Schneider and Perkins','Parker-Cardenas','SFTP','Real-time',73011.98,188,29.64,98.57,16,15
'CB987231  ','2024-05-12 15:09:35.041','DF9182','Moldova','Switzerland','Mathis, Washington and Stark','Leonard, Padilla and Smith','Blockchain','Daily',54218.16,595,93.62,90.98,59,26
'CB795498  ','2024-09-30 12:35:40.041','DF1412','Algeria','Trinidad and Tobago','Wood Group','Gomez-Fox','Blockchain','Real-time',34776.33,691,49.21,97.89,63,16
'CB182230  ','2025-01-17 13:09:36.041','DF5694','Somalia','Saint Pierre and Miquelon','Farley-Burns','Brown Group','SFTP','Real-time',99134.07,436,84.46,92.18,100,28
'CB616195  ','2024-03-14 06:42:23.041','DF3008','Montserrat','French Polynesia','Perez Ltd','Hopkins-Shelton','SFTP','Hourly',37072.41,1284,64.66,92.35,43,31
'CB755070  ','2024-07-10 05:48:44.041','DF1827','Cayman Islands','Madagascar','Morgan-Miller','Wang, Daniels and Miller','SFTP','Hourly',2607.52,975,59.28,91.38,95,25
'CB333951  ','2024-05-29 07:46:07.042','DF1803','China','Sweden','Estes PLC','Smith Ltd','Private Network','Weekly',42687.76,845,52.28,94.04,70,3
'CB189595  ','2024-10-03 15:10:49.042','DF4707','Saint Lucia','Chad','Spencer, Neal and Diaz','Levine, Gregory and Bennett','Blockchain','Real-time',78804.84,674,44.08,91.34,53,21
'CB752021  ','2025-01-29 07:19:17.042','DF4275','Burundi','Macao','Rice PLC','Barr Inc','HTTPS','Weekly',16094.42,33,22.84,93.99,91,45
'CB681691  ','2024-11-16 04:23:42.042','DF3041','Denmark','Sao Tome and Principe','Dorsey, Valencia and Harrell','Williams Ltd','Private Network','Weekly',93447.22,165,73.53,97.61,0,40
'CB754483  ','2024-06-26 14:45:10.042','DF5518','Burkina Faso','Kyrgyz Republic','Adams, Graham and Gray','Cox, Brown and Payne','SFTP','Weekly',23384.55,388,69.59,98.89,45,16
'CB574043  ','2024-02-21 10:58:55.043','DF8923','Samoa','Austria','Berg, Adams and Perkins','Santana, Reed and Stone','Private Network','Weekly',28456.41,350,59.33,94.45,45,35
'CB847407  ','2025-02-12 13:30:01.043','DF2451','Saint Kitts and Nevis','Ireland','Benitez Inc','Nelson Group','Blockchain','Real-time',94071.84,1335,36.10,96.50,36,3
'CB313620  ','2024-10-27 02:50:06.043','DF5710','Romania','Georgia','Dixon Inc','Moore, Arroyo and Doyle','HTTPS','Real-time',84658.69,627,87.39,93.21,11,18
'CB494948  ','2025-01-01 15:34:45.043','DF6910','Cape Verde','Pitcairn Islands','Harper and Sons','Stevens and Sons','Private Network','Real-time',43570.47,677,60.05,91.14,46,8
'CB658848  ','2024-04-27 16:17:09.043','DF6467','Sri Lanka','Cook Islands','Green-Townsend','Smith-Lee','Private Network','Weekly',29143.07,1303,42.08,96.57,21,17
'CB139645  ','2024-03-16 17:08:03.044','DF9165','Estonia','Bouvet Island (Bouvetoya)','Pena Ltd','Cameron Ltd','Private Network','Real-time',89948.60,1284,47.22,96.53,1,14
'CB354081  ','2024-09-19 04:49:25.044','DF7457','Angola','Norfolk Island','Lee Group','Owens PLC','Blockchain','Real-time',76559.72,940,33.11,91.22,46,17
'CB709573  ','2024-06-16 16:05:26.044','DF7490','Latvia','Sri Lanka','Atkinson, Young and Gaines','Stephens and Sons','Blockchain','Daily',78545.84,1002,99.17,93.06,31,30
'CB350496  ','2024-04-24 05:01:37.044','DF9052','Guatemala','Belarus','Rodriguez-Jennings','Sutton, French and Ortega','HTTPS','Real-time',37995.44,613,39.67,91.23,99,8
'CB455586  ','2024-11-30 11:06:22.044','DF4593','Montenegro','French Southern Territories','Johnson, Johnson and Brown','Salas Inc','HTTPS','Hourly',46979.81,662,49.79,93.29,91,19
'CB380798  ','2024-06-18 06:13:58.045','DF2473','Western Sahara','Western Sahara','Carr, Marquez and Landry','Keller, Ball and Brewer','HTTPS','Real-time',81409.27,555,43.49,93.99,29,37
