'SESS_H5R5F  ','FA410087    ','Burst','Medium',13.0,4759.73,322488,58.62,NULL
'SESS_331DO  ','FA122676    ','Burst','High',87.9,1882.65,701816,9.90,NULL
'SESS_LYBFV  ','FA731882    ','Burst','High',99.2,1993.14,675414,59.04,NULL
'SESS_CYLMN  ','FA626376    ','Bot-like','High',88.3,8599.52,742086,84.24,NULL
'SESS_IQ7VQ  ','FA460461    ','Burst','High',90.8,8452.39,130502,52.27,NULL
'SESS_PU720  ','FA362256    ','Random','Medium',70.2,2298.71,247936,76.60,NULL
'SESS_8K4Z0  ','FA849131    ','Random','Low',62.3,4291.73,258562,73.21,NULL
'SESS_VLU12  ','FA325870    ','Bot-like','Low',10.0,8153.16,41965,57.86,NULL
'SESS_XE1YR  ','FA447714    ','Bot-like','Suspicious',26.9,1913.37,1437,12.61,NULL
'SESS_NNERM  ','FA816610    ','Bot-like','Medium',54.6,6047.94,190757,77.26,NULL
'SESS_3IOLM  ','FA610919    ','Regular','Suspicious',60.4,3203.67,749777,99.10,NULL
'SESS_NA3I3  ','FA204500    ','Bot-like','High',15.5,8527.87,924546,92.38,NULL
'SESS_7WDRX  ','FA145986    ','Burst','Low',36.2,551.48,758632,10.49,NULL
'SESS_F2XBQ  ','FA806136    ','Regular','Medium',39.1,2736.10,938958,57.61,NULL
'SESS_R4YLZ  ','FA464619    ','Bot-like','Medium',78.4,4616.14,357563,86.24,NULL
'SESS_P5B1P  ','FA108504    ','Random','Suspicious',45.7,7641.20,496008,51.13,NULL
'SESS_WZATT  ','FA305113    ','Bot-like','Medium',10.4,6215.86,293001,24.68,NULL
'SESS_JZFKT  ','FA103459    ','Regular','Medium',30.7,8948.37,9419,50.28,NULL
'SESS_QANC2  ','FA312206    ','Regular','High',84.5,1378.00,735881,57.04,NULL
'SESS_0Q459  ','FA880761    ','Regular','Low',30.1,6496.98,978403,10.74,NULL
'SESS_QXB3R  ','FA762303    ','Burst','Low',29.8,8136.90,635439,27.70,NULL
'SESS_YW8N6  ','FA222561    ','Bot-like','High',86.3,8421.75,354364,20.83,NULL
'SESS_DQRR2  ','FA764882    ','Bot-like','Low',39.0,8642.13,265954,42.14,NULL
'SESS_BSDWV  ','FA242277    ','Random','Medium',57.9,9379.08,722407,40.31,NULL
'SESS_70NED  ','FA480164    ','Regular','Low',26.0,1366.37,375905,88.65,NULL
'SESS_AF2MG  ','FA388855    ','Random','Low',33.6,3844.13,485526,19.98,NULL
'SESS_0LG93  ','FA867295    ','Regular','Medium',67.0,5511.06,760816,99.48,NULL
'SESS_QA12U  ','FA881359    ','Burst','Low',65.6,4111.13,76435,89.01,NULL
'SESS_MUMF7  ','FA907297    ','Random','Medium',43.4,2690.24,747778,68.10,NULL
'SESS_EFNYI  ','FA547506    ','Regular','Suspicious',68.4,2920.80,177301,75.34,NULL
'SESS_JQX0K  ','FA161257    ','Random','Medium',29.8,2458.64,604455,72.38,NULL
'SESS_K4MKL  ','FA976751    ','Regular','Low',54.8,1553.65,511696,27.34,NULL
'SESS_IA2CV  ','FA948745    ','Regular','Medium',82.1,3044.96,825028,49.06,NULL
'SESS_IV63Y  ','FA543814    ','Bot-like','Suspicious',26.5,692.50,697709,73.23,NULL
'SESS_NMO55  ','FA267579    ','Bot-like','Medium',84.4,3233.26,665257,79.44,NULL
'SESS_I4ZK1  ','FA123409    ','Burst','Low',54.4,9702.01,662532,55.54,NULL
'SESS_KKSX7  ','FA922512    ','Bot-like','Suspicious',27.3,4845.28,120211,64.22,NULL
'SESS_ATL9R  ','FA522086    ','Burst','Low',84.8,2351.10,750950,54.57,NULL
'SESS_IP6T8  ','FA306576    ','Burst','Low',24.6,6197.98,471534,47.20,NULL
'SESS_SNUX9  ','FA217440    ','Random','High',13.4,3926.26,868494,4.37,NULL
'SESS_W5RE6  ','FA168130    ','Random','High',35.3,1078.94,33587,17.98,NULL
'SESS_PJS1V  ','FA564598    ','Bot-like','Low',91.3,7526.47,998635,26.69,NULL
'SESS_JOKZV  ','FA500284    ','Random','Suspicious',24.7,226.33,237222,6.40,NULL
'SESS_0V1WX  ','FA573121    ','Random','High',82.4,7687.28,803989,73.66,NULL
'SESS_RYX41  ','FA638968    ','Random','Low',78.9,7412.03,261648,90.92,NULL
'SESS_77EZL  ','FA992002    ','Burst','Medium',62.3,1416.01,816613,34.69,NULL
'SESS_23BB5  ','FA625358    ','Random','Medium',75.2,7701.32,378819,83.69,NULL
'SESS_GY2DT  ','FA508809    ','Regular','Suspicious',79.1,2047.04,350053,99.39,NULL
'SESS_FFB8T  ','FA492014    ','Burst','High',81.0,4321.40,77077,31.59,NULL
'SESS_IUILO  ','FA267178    ','Regular','Low',92.6,5152.81,215219,15.46,NULL
'SESS_QF6BO  ','FA324357    ','Random','Low',39.0,9283.32,289349,0.23,NULL
'SESS_2CZX9  ','FA164406    ','Bot-like','Low',91.1,7679.66,408811,61.62,NULL
'SESS_G4TIT  ','FA187304    ','Regular','Low',96.7,4481.61,73155,86.20,NULL
'SESS_ZU5N3  ','FA777567    ','Burst','Suspicious',44.6,6155.35,53221,61.97,NULL
'SESS_X6J1I  ','FA391016    ','Regular','Suspicious',54.0,7835.82,709180,49.63,NULL
'SESS_6UPJH  ','FA278977    ','Bot-like','High',25.9,6299.66,782926,61.22,NULL
'SESS_EPA1F  ','FA789218    ','Random','High',77.5,6553.35,220795,1.74,NULL
'SESS_R8OLM  ','FA962938    ','Bot-like','Low',87.7,4353.86,610736,51.15,NULL
'SESS_R3AYW  ','FA259192    ','Regular','Medium',77.2,2795.57,846966,42.07,NULL
'SESS_ZCY60  ','FA398835    ','Regular','Medium',0.8,238.98,517491,56.87,NULL
'SESS_IO3XX  ','FA279606    ','Random','Low',7.2,1544.17,300091,16.37,NULL
'SESS_GE478  ','FA212788    ','Random','Low',50.5,9236.48,570199,81.55,NULL
'SESS_F04XH  ','FA403763    ','Regular','Suspicious',16.2,5956.99,310573,87.81,NULL
'SESS_GZZVP  ','FA250207    ','Bot-like','Suspicious',10.3,8589.91,762533,95.58,NULL
'SESS_671TQ  ','FA458773    ','Regular','Low',88.2,5353.84,267939,35.58,NULL
'SESS_9TWR8  ','FA142240    ','Bot-like','Low',88.5,379.39,487015,63.36,NULL
'SESS_S67YH  ','FA973776    ','Burst','Medium',91.2,1029.19,907967,56.41,NULL
'SESS_P0PMW  ','FA970068    ','Bot-like','High',52.1,398.56,398182,41.73,NULL
'SESS_M950W  ','FA587430    ','Regular','Low',94.4,923.81,571440,76.09,NULL
'SESS_LXS16  ','FA479789    ','Bot-like','High',56.3,8097.77,835644,38.16,NULL
'SESS_98CLZ  ','FA340291    ','Bot-like','Low',36.8,1856.95,665883,49.54,NULL
'SESS_VE55K  ','FA362276    ','Random','Low',53.3,9946.43,689304,89.32,NULL
'SESS_RS8LK  ','FA559759    ','Bot-like','Low',63.9,2853.38,30437,27.56,NULL
'SESS_YDYKW  ','FA800722    ','Regular','High',92.0,2652.94,602140,65.84,NULL
'SESS_EDUMP  ','FA960818    ','Bot-like','Low',72.6,1071.38,273038,17.27,NULL
'SESS_2DOZU  ','FA641974    ','Bot-like','Low',14.1,9626.89,531677,63.49,NULL
'SESS_1IBAJ  ','FA104303    ','Bot-like','High',76.3,1357.90,91147,60.81,NULL
'SESS_B0MQK  ','FA266829    ','Random','Low',30.8,4794.13,660110,23.80,NULL
'SESS_P8S5M  ','FA311091    ','Random','High',96.5,4604.15,338665,21.23,NULL
'SESS_OGHV6  ','FA577529    ','Bot-like','Low',59.1,5172.94,867002,67.42,NULL
'SESS_V0XG8  ','FA211751    ','Regular','Medium',71.1,946.85,716178,83.02,NULL
'SESS_3MAHQ  ','FA693258    ','Bot-like','Suspicious',30.5,8561.95,123192,94.24,NULL
'SESS_XDAOQ  ','FA345814    ','Regular','Suspicious',28.2,4548.75,388213,39.56,NULL
'SESS_MELS8  ','FA924715    ','Regular','Suspicious',94.8,7597.00,583923,59.92,NULL
'SESS_Q4VB8  ','FA332504    ','Random','Low',98.1,9000.25,582845,27.63,NULL
'SESS_5HMYM  ','FA736578    ','Regular','Low',55.9,4483.09,858680,88.65,NULL
'SESS_67ZSM  ','FA344340    ','Bot-like','High',85.3,1085.08,538646,34.96,NULL
