'MOD_3XO8L   ','SEC_5MMN6   ','CNT_QDB9A   ',9087,NULL,'3',475,'2',13,316,'Amplifier',69.55,38.57,0.598,8.2,0.3118,3.54,0.148,'High','Active','Restriction','Daily','2022-07-20','2023-07-25'
'MOD_AOFPW   ','SEC_26GHN   ','CNT_TAPIN   ',6430,NULL,'0',826,'2',13,658,'Leader',87.26,73.00,0.611,5.4,0.1222,0.30,0.634,'Medium','Active','Suspension','Quarterly','2023-04-20','2020-07-25'
'MOD_OOX29   ','SEC_G61S4   ','CNT_58HX0   ',8458,NULL,'4',949,'0',21,887,'Follower',43.30,98.24,0.601,1.9,0.2108,7.69,0.006,'Urgent','Active','Restriction','Weekly','2024-01-16','2021-02-27'
'MOD_S4Q3O   ','SEC_T67QD   ','CNT_TNUTM   ',9359,NULL,'2',465,'0',20,847,'Amplifier',62.14,67.43,0.374,3.1,0.2710,0.96,0.630,'Medium','Completed','Restriction','Weekly','2020-10-20','2024-02-21'
'MOD_8XIEA   ','SEC_QZ6P4   ','CNT_KLNX6   ',8692,NULL,'0',571,'0',29,124,'Leader',27.92,45.21,0.731,9.7,0.1346,8.88,0.375,'Low','Completed','Suspension','Quarterly','2023-02-07','2024-04-01'
'MOD_R6X75   ','SEC_BAL2Z   ','CNT_RGCQ6   ',1268,NULL,'1',452,'2',21,380,'Amplifier',95.45,99.46,0.817,3.7,0.6087,3.63,0.647,'Urgent','Active','Suspension','Daily','2022-06-20','2025-10-12'
'MOD_X54XF   ','SEC_5F98A   ','CNT_TGRJS   ',7777,NULL,'4',669,'2',13,952,'Leader',85.98,44.29,0.401,4.0,0.9062,2.51,0.972,'Medium','Completed','Restriction','Quarterly','2023-02-24','2023-04-25'
'MOD_4WXXT   ','SEC_7CA5R   ','CNT_S1SBI   ',6270,NULL,'5',835,'4',7,983,'Leader',87.63,67.33,0.627,9.9,0.2974,8.80,0.525,'Urgent','Pending','Warning','Daily','2024-05-23','2024-12-18'
'MOD_7P4QO   ','SEC_UJGUB   ','CNT_31NPG   ',6135,NULL,'3',827,'5',0,863,'Leader',6.25,5.48,0.102,7.3,0.7587,6.76,0.751,'Low','Active','Restriction','Daily','2024-03-20','2020-02-01'
'MOD_KGSZ2   ','SEC_L9WY6   ','CNT_0F0A1   ',5462,NULL,'0',332,'1',12,957,'Follower',86.27,81.81,0.311,7.1,0.3716,2.77,0.143,'Urgent','Active','Warning','Monthly','2020-05-22','2023-04-16'
'MOD_OE6ZR   ','SEC_UTDVS   ','CNT_EKL1Z   ',1971,NULL,'4',276,'1',4,873,'Follower',2.66,41.85,0.421,4.7,0.2284,5.10,0.361,'High','Active','Warning','Daily','2025-02-02','2022-02-28'
'MOD_2A014   ','SEC_8MKQB   ','CNT_IRXW9   ',2327,NULL,'2',504,'0',18,855,'Amplifier',31.41,92.59,0.708,0.0,0.4992,7.20,0.511,'High','Completed','Restriction','Weekly','2023-03-27','2024-06-23'
'MOD_PNNMG   ','SEC_F6HXN   ','CNT_MOEWU   ',8360,NULL,'4',414,'3',31,793,'Leader',42.65,87.81,0.883,2.6,0.9498,2.43,0.682,'High','Completed','Restriction','Monthly','2020-02-16','2024-02-29'
'MOD_VGT69   ','SEC_VO2I4   ','CNT_LR31G   ',1676,NULL,'5',437,'3',3,547,'Leader',88.70,72.07,0.449,8.8,0.7225,3.29,0.980,'Medium','Pending','Suspension','Monthly','2021-07-29','2025-09-22'
'MOD_MLCUE   ','SEC_G1AHO   ','CNT_T8IDD   ',873,NULL,'1',516,'1',46,689,'Amplifier',13.66,92.88,0.370,3.7,0.3267,4.62,0.254,'Medium','Completed','Suspension','Quarterly','2022-08-21','2022-03-19'
'MOD_CHUCA   ','SEC_W1G83   ','CNT_4TLV1   ',3188,NULL,'4',793,'1',29,236,'Isolated',20.09,87.31,0.821,7.8,0.1732,5.36,0.523,'Low','Completed','Warning','Daily','2020-01-13','2023-02-07'
'MOD_MSHOU   ','SEC_O4GXJ   ','CNT_KN8S4   ',7825,NULL,'2',44,'0',8,10,'Amplifier',62.64,8.87,0.334,0.1,0.7380,2.27,0.902,'High','Completed','Suspension','Monthly','2024-03-07','2020-06-17'
'MOD_IT4F6   ','SEC_02J5K   ','CNT_006YJ   ',9169,NULL,'3',637,'2',23,355,'Follower',22.73,86.60,0.522,4.4,0.9558,4.99,0.590,'Medium','Active','Suspension','Quarterly','2024-02-28','2024-04-30'
'MOD_ZWYLA   ','SEC_SGS9J   ','CNT_IQ6VW   ',5449,NULL,'1',825,'5',12,880,'Amplifier',94.37,24.81,0.851,6.6,0.1842,4.64,0.620,'Low','Pending','Warning','Weekly','2023-02-17','2020-11-28'
'MOD_MJBHX   ','SEC_QZGC4   ','CNT_9Z29S   ',4888,NULL,'5',495,'3',1,99,'Amplifier',19.25,32.76,0.432,8.4,0.4837,0.26,0.627,'Medium','Completed','Suspension','Weekly','2022-10-14','2025-06-29'
'MOD_QUNT5   ','SEC_CN9QB   ','CNT_LDUDV   ',3072,NULL,'4',773,'4',24,3,'Follower',88.06,64.17,0.107,4.0,0.2387,7.76,0.596,'Medium','Completed','Restriction','Quarterly','2020-11-26','2024-12-12'
'MOD_0QLG5   ','SEC_TN933   ','CNT_VGTYH   ',5305,NULL,'1',166,'3',10,380,'Leader',64.22,21.25,0.290,3.4,0.8870,1.04,0.400,'Medium','Pending','Warning','Daily','2022-09-13','2024-05-11'
'MOD_J6DNQ   ','SEC_2APG5   ','CNT_MZ24W   ',7944,NULL,'2',50,'4',26,249,'Isolated',14.45,92.60,0.101,3.7,0.3052,4.89,0.287,'Low','Active','Suspension','Daily','2025-12-01','2025-04-24'
'MOD_3C0Y5   ','SEC_SW59R   ','CNT_K478B   ',5815,NULL,'2',468,'3',17,266,'Amplifier',3.48,12.55,0.715,5.7,0.7601,4.58,0.514,'Medium','Active','Suspension','Monthly','2020-09-05','2025-06-04'
