'SEC_5MMN6   ','TECH_TYVED  ','2021-10-16 07:40:11.000','User Report','2021-10-09 22:04:40.000',720,'{"overall": {"confval": 0.20736, "riskval": 0.28, "fposprob": 0.4435, "threatlvl": "Critical", "detectconf": 0.26}, "pattern_scores": {"netpatscore": 8.40, "contpatscore": 0.007, "profpatscore": 0.611, "techpatscore": 0.183, "temppatscore": 5.463, "behavpatscore": 2.86}, "behavior_scores": {"botlikscore": 59.440, "commintscore": 0.8785, "autobehavscore": 0.264, "spambehavscore": 1.65}, "detection_reliability": {"featver": "FV_M3", "modelver": "MV_F7", "detmethrel": 0.512}}'
'SEC_26GHN   ','TECH_M7PND  ','2021-07-08 14:53:21.000','Pattern Match','2020-06-15 23:41:26.000',117,'{"overall": {"confval": 0.06661, "riskval": 5.94, "fposprob": 0.7838, "threatlvl": "Low", "detectconf": 0.08}, "pattern_scores": {"netpatscore": 3.30, "contpatscore": 0.738, "profpatscore": 0.567, "techpatscore": 0.036, "temppatscore": 1.035, "behavpatscore": 91.63}, "behavior_scores": {"botlikscore": 7.623, "commintscore": 0.2123, "autobehavscore": 0.845, "spambehavscore": 5.63}, "detection_reliability": {"featver": "FV_UF", "modelver": "MV_QK", "detmethrel": 0.617}}'
'SEC_G61S4   ','TECH_9KWQR  ','2021-08-07 23:20:51.000','Pattern Match','2025-11-11 09:00:25.000',10,'{"overall": {"confval": 0.45097, "riskval": 1.11, "fposprob": 0.5395, "threatlvl": "Medium", "detectconf": 0.75}, "pattern_scores": {"netpatscore": 1.34, "contpatscore": 0.322, "profpatscore": 0.522, "techpatscore": 0.182, "temppatscore": 1.982, "behavpatscore": 78.95}, "behavior_scores": {"botlikscore": 52.237, "commintscore": 0.1390, "autobehavscore": 0.848, "spambehavscore": 5.18}, "detection_reliability": {"featver": "FV_DP", "modelver": "MV_E2", "detmethrel": 0.074}}'
'SEC_T67QD   ','TECH_I88JW  ','2023-10-21 18:29:42.000','Pattern Match','2020-12-02 16:53:12.000',369,'{"overall": {"confval": 0.84893, "riskval": 6.95, "fposprob": 0.7761, "threatlvl": "Low", "detectconf": 0.88}, "pattern_scores": {"netpatscore": 0.83, "contpatscore": 0.725, "profpatscore": 0.833, "techpatscore": 0.894, "temppatscore": 3.627, "behavpatscore": 45.94}, "behavior_scores": {"botlikscore": 85.077, "commintscore": 0.8678, "autobehavscore": 0.732, "spambehavscore": 2.89}, "detection_reliability": {"featver": "FV_P6", "modelver": "MV_N6", "detmethrel": 0.772}}'
'SEC_QZ6P4   ','TECH_1F12C  ','2020-01-30 11:43:13.000','Pattern Match','2024-04-23 00:52:10.000',405,'{"overall": {"confval": 0.59608, "riskval": 8.09, "fposprob": 0.6326, "threatlvl": "High", "detectconf": 0.19}, "pattern_scores": {"netpatscore": 8.14, "contpatscore": 0.195, "profpatscore": 0.406, "techpatscore": 0.247, "temppatscore": 9.954, "behavpatscore": 30.49}, "behavior_scores": {"botlikscore": 4.159, "commintscore": 0.6914, "autobehavscore": 0.308, "spambehavscore": 1.49}, "detection_reliability": {"featver": "FV_OX", "modelver": "MV_HC", "detmethrel": 0.932}}'
'SEC_BAL2Z   ','TECH_RIID7  ','2021-08-02 08:49:52.000','Pattern Match','2024-03-19 01:43:57.000',536,'{"overall": {"confval": 0.45426, "riskval": 3.64, "fposprob": 0.6008, "threatlvl": "Low", "detectconf": 0.09}, "pattern_scores": {"netpatscore": 0.49, "contpatscore": 0.692, "profpatscore": 0.935, "techpatscore": 0.684, "temppatscore": 5.828, "behavpatscore": 0.50}, "behavior_scores": {"botlikscore": 89.508, "commintscore": 0.0148, "autobehavscore": 0.859, "spambehavscore": 9.92}, "detection_reliability": {"featver": "FV_DB", "modelver": "MV_SE", "detmethrel": 0.080}}'
'SEC_5F98A   ','TECH_69X2J  ','2021-12-08 16:22:21.000','User Report','2023-06-22 00:02:46.000',502,'{"overall": {"confval": 0.00224, "riskval": 5.82, "fposprob": 0.7803, "threatlvl": "Low", "detectconf": 0.74}, "pattern_scores": {"netpatscore": 8.67, "contpatscore": 0.564, "profpatscore": 0.399, "techpatscore": 0.470, "temppatscore": 8.317, "behavpatscore": 80.35}, "behavior_scores": {"botlikscore": 14.407, "commintscore": 0.3679, "autobehavscore": 0.912, "spambehavscore": 0.73}, "detection_reliability": {"featver": "FV_6Q", "modelver": "MV_0C", "detmethrel": 0.508}}'
'SEC_7CA5R   ','TECH_FXK73  ','2021-06-28 05:16:18.000','User Report','2021-10-17 13:46:57.000',263,'{"overall": {"confval": 0.12334, "riskval": 2.10, "fposprob": 0.5215, "threatlvl": "Medium", "detectconf": 0.98}, "pattern_scores": {"netpatscore": 9.68, "contpatscore": 0.299, "profpatscore": 0.881, "techpatscore": 0.153, "temppatscore": 0.913, "behavpatscore": 55.77}, "behavior_scores": {"botlikscore": 30.283, "commintscore": 0.5098, "autobehavscore": 0.894, "spambehavscore": 7.00}, "detection_reliability": {"featver": "FV_L8", "modelver": "MV_YV", "detmethrel": 0.858}}'
'SEC_UJGUB   ','TECH_VK4HG  ','2021-02-26 23:50:57.000','Pattern Match','2021-01-04 06:23:39.000',571,'{"overall": {"confval": 0.06043, "riskval": 3.58, "fposprob": 0.4680, "threatlvl": "Low", "detectconf": 0.50}, "pattern_scores": {"netpatscore": 1.51, "contpatscore": 0.062, "profpatscore": 0.141, "techpatscore": 0.993, "temppatscore": 2.344, "behavpatscore": 68.68}, "behavior_scores": {"botlikscore": 99.746, "commintscore": 0.9311, "autobehavscore": 0.347, "spambehavscore": 3.78}, "detection_reliability": {"featver": "FV_F7", "modelver": "MV_AD", "detmethrel": 0.313}}'
'SEC_L9WY6   ','TECH_17OJF  ','2020-02-25 04:18:24.000','User Report','2024-07-09 11:44:13.000',705,'{"overall": {"confval": 0.24223, "riskval": 8.59, "fposprob": 0.9178, "threatlvl": "Low", "detectconf": 0.25}, "pattern_scores": {"netpatscore": 5.68, "contpatscore": 0.889, "profpatscore": 0.124, "techpatscore": 0.250, "temppatscore": 2.597, "behavpatscore": 72.86}, "behavior_scores": {"botlikscore": 21.896, "commintscore": 0.8282, "autobehavscore": 0.397, "spambehavscore": 4.41}, "detection_reliability": {"featver": "FV_2C", "modelver": "MV_HD", "detmethrel": 0.587}}'
