'NET_G8MVO   ','SESS_H5R5F  ','{"connection_metrics": {"follownum": 3042137, "conngrowpat": "Bot-like", "followratio": 241.41, "followingnum": 4912954, "connqualscore": 5.5, "followgrowrate": 9.932, "mutualconnratio": 0.4, "followinggrowrate": 1.8849}, "engagement_metrics": {"engauth": 0.9854, "engrate": 8.751, "cmtratio": 1.12, "likeratio": 5.92, "sharerate": 7.512}, "interaction_metrics": {"interactdiv": 94.22, "interactreci": 0.774, "tempinteractpat": "Periodic"}}'
'NET_I9HFW   ','SESS_331DO  ','{"connection_metrics": {"follownum": 6688399, "conngrowpat": "Organic", "followratio": 163.30, "followingnum": 4859553, "connqualscore": 0.2, "followgrowrate": 9.326, "mutualconnratio": 8.6, "followinggrowrate": 9.5376}, "engagement_metrics": {"engauth": 0.4735, "engrate": 4.561, "cmtratio": 3.39, "likeratio": 1.31, "sharerate": 3.502}, "interaction_metrics": {"interactdiv": 85.69, "interactreci": 0.120, "tempinteractpat": "Random"}}'
'NET_2PK29   ','SESS_LYBFV  ','{"connection_metrics": {"follownum": 2676917, "conngrowpat": "Bot-like", "followratio": 956.92, "followingnum": 926514, "connqualscore": 3.6, "followgrowrate": 3.418, "mutualconnratio": 0.9, "followinggrowrate": 1.4366}, "engagement_metrics": {"engauth": 0.0681, "engrate": 3.399, "cmtratio": 0.75, "likeratio": 5.24, "sharerate": 3.731}, "interaction_metrics": {"interactdiv": 87.43, "interactreci": 0.391, "tempinteractpat": "Periodic"}}'
'NET_S4RMS   ','SESS_CYLMN  ','{"connection_metrics": {"follownum": 5936120, "conngrowpat": "Organic", "followratio": 114.27, "followingnum": 7583817, "connqualscore": 0.2, "followgrowrate": 5.857, "mutualconnratio": 9.0, "followinggrowrate": 8.0129}, "engagement_metrics": {"engauth": 0.8620, "engrate": 7.699, "cmtratio": 9.33, "likeratio": 5.40, "sharerate": 1.538}, "interaction_metrics": {"interactdiv": 61.89, "interactreci": 0.181, "tempinteractpat": "Periodic"}}'
'NET_UIYKD   ','SESS_UKQ2N  ','{"connection_metrics": {"follownum": 8170763, "conngrowpat": "Suspicious", "followratio": 384.75, "followingnum": 6613270, "connqualscore": 0.1, "followgrowrate": 2.750, "mutualconnratio": 8.8, "followinggrowrate": 0.9022}, "engagement_metrics": {"engauth": 0.2348, "engrate": 0.733, "cmtratio": 0.62, "likeratio": 3.52, "sharerate": 0.944}, "interaction_metrics": {"interactdiv": 66.04, "interactreci": 0.807, "tempinteractpat": "Random"}}'
'NET_BRGYJ   ','SESS_IQ7VQ  ','{"connection_metrics": {"follownum": 9275519, "conngrowpat": "Suspicious", "followratio": 791.80, "followingnum": 4182564, "connqualscore": 6.1, "followgrowrate": 5.977, "mutualconnratio": 8.6, "followinggrowrate": 3.0776}, "engagement_metrics": {"engauth": 0.8510, "engrate": 0.161, "cmtratio": 0.79, "likeratio": 5.17, "sharerate": 0.541}, "interaction_metrics": {"interactdiv": 91.10, "interactreci": 0.745, "tempinteractpat": "Random"}}'
'NET_EI8UK   ','SESS_PU720  ','{"connection_metrics": {"follownum": 3499813, "conngrowpat": "Organic", "followratio": 61.46, "followingnum": 656856, "connqualscore": 2.4, "followgrowrate": 1.745, "mutualconnratio": 3.9, "followinggrowrate": 5.0337}, "engagement_metrics": {"engauth": 0.3636, "engrate": 3.070, "cmtratio": 1.33, "likeratio": 9.06, "sharerate": 8.185}, "interaction_metrics": {"interactdiv": 58.01, "interactreci": 0.111, "tempinteractpat": "Natural"}}'
'NET_7SQ2S   ','SESS_8K4Z0  ','{"connection_metrics": {"follownum": 2331793, "conngrowpat": "Bot-like", "followratio": 87.84, "followingnum": 3670771, "connqualscore": 4.5, "followgrowrate": 5.388, "mutualconnratio": 7.6, "followinggrowrate": 5.2255}, "engagement_metrics": {"engauth": 0.4232, "engrate": 1.265, "cmtratio": 2.06, "likeratio": 6.81, "sharerate": 4.858}, "interaction_metrics": {"interactdiv": 75.81, "interactreci": 0.973, "tempinteractpat": "Automated"}}'
'NET_5UQH8   ','SESS_VLU12  ','{"connection_metrics": {"follownum": 3933686, "conngrowpat": "Suspicious", "followratio": 417.29, "followingnum": 3036968, "connqualscore": 5.8, "followgrowrate": 9.552, "mutualconnratio": 4.2, "followinggrowrate": 8.7142}, "engagement_metrics": {"engauth": 0.9985, "engrate": 5.153, "cmtratio": 7.83, "likeratio": 1.66, "sharerate": 6.435}, "interaction_metrics": {"interactdiv": 95.14, "interactreci": 0.960, "tempinteractpat": "Periodic"}}'
'NET_ZDGPG   ','SESS_XE1YR  ','{"connection_metrics": {"follownum": 6184974, "conngrowpat": "Burst", "followratio": 837.32, "followingnum": 7032546, "connqualscore": 6.3, "followgrowrate": 2.466, "mutualconnratio": 3.5, "followinggrowrate": 6.4536}, "engagement_metrics": {"engauth": 0.4994, "engrate": 1.001, "cmtratio": 7.56, "likeratio": 1.55, "sharerate": 5.980}, "interaction_metrics": {"interactdiv": 85.87, "interactreci": 0.479, "tempinteractpat": "Random"}}'
'NET_4ZGRE   ','SESS_NNERM  ','{"connection_metrics": {"follownum": 9779299, "conngrowpat": "Suspicious", "followratio": 785.15, "followingnum": 9032248, "connqualscore": 1.9, "followgrowrate": 7.755, "mutualconnratio": 4.8, "followinggrowrate": 2.0400}, "engagement_metrics": {"engauth": 0.9281, "engrate": 8.306, "cmtratio": 9.19, "likeratio": 4.96, "sharerate": 9.835}, "interaction_metrics": {"interactdiv": 87.54, "interactreci": 0.684, "tempinteractpat": "Periodic"}}'
