'34671e50-c3dc-4acb-af54-ccde16eb0ea6','34671e50-c3dc-4acb-af54-ccde16eb0ea6','34671e50-c3dc-4acb-af54-ccde16eb0ea6','34671e50-c3dc-4acb-af54-ccde16eb0ea6','Visual','Minor Issues','2024-08-24','Delayed','Claimed',2,178.82,1034.890,31529.130,13375.59
'34d240f4-6ed9-43bc-b7a8-24b56fdd315a','34d240f4-6ed9-43bc-b7a8-24b56fdd315a','34d240f4-6ed9-43bc-b7a8-24b56fdd315a','34d240f4-6ed9-43bc-b7a8-24b56fdd315a','IR Thermal','Major Issues','2024-12-23','Overdue','Active',4,9549.83,2957.080,15984.060,17065.19
'e00b3472-780b-490f-941b-a4f298882d7f','e00b3472-780b-490f-941b-a4f298882d7f','e00b3472-780b-490f-941b-a4f298882d7f','e00b3472-780b-490f-941b-a4f298882d7f','Visual','Major Issues','2025-01-30','Overdue','Claimed',2,9298.61,1934.670,3604.590,14035.91
'99619a33-69af-482b-a667-0c581f5247a1','99619a33-69af-482b-a667-0c581f5247a1','99619a33-69af-482b-a667-0c581f5247a1','99619a33-69af-482b-a667-0c581f5247a1','Visual','Major Issues','2024-09-26','Overdue','Expired',NULL,6797.73,1840.590,17542.380,15977.79
'e233c178-bd05-4eee-8b42-f2ebc5948432','e233c178-bd05-4eee-8b42-f2ebc5948432','e233c178-bd05-4eee-8b42-f2ebc5948432','e233c178-bd05-4eee-8b42-f2ebc5948432','Visual','Minor Issues','2025-02-17','Delayed','Claimed',1,1684.89,322.630,26075.490,16495.04
'657d7976-fb98-45f4-a916-4315352d235d','657d7976-fb98-45f4-a916-4315352d235d','657d7976-fb98-45f4-a916-4315352d235d','657d7976-fb98-45f4-a916-4315352d235d','Visual','Major Issues','2025-01-21','Overdue','Expired',3,5798.54,3768.600,26008.640,8443.06
'7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','IV Curve','Pass','2025-02-13','Delayed','Expired',NULL,3374.91,3691.980,35627.120,19226.90
'fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','Visual','Minor Issues','2025-02-15','Delayed','Claimed',3,9950.93,3517.860,39034.630,289.25
'9b607e6e-02d5-46f1-8eaf-d80c994395d4','9b607e6e-02d5-46f1-8eaf-d80c994395d4','9b607e6e-02d5-46f1-8eaf-d80c994395d4','9b607e6e-02d5-46f1-8eaf-d80c994395d4','Visual','Pass','2025-01-22','On Schedule','Claimed',1,7523.56,1360.260,22900.800,6434.07
'61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556','IR Thermal','Major Issues','2024-09-04','Overdue','Active',NULL,2673.84,1550.840,23235.420,19833.75
'd0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10','EL Imaging','Pass','2024-09-08','Delayed','Expired',2,3907.28,1513.030,33959.490,4027.64
'e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0','IV Curve','Pass','2024-11-08','Overdue','Expired',NULL,9704.76,4652.560,4031.720,10816.64
'03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a','EL Imaging','Minor Issues','2024-10-17','Overdue','Expired',2,3009.40,1591.900,17050.070,19125.27
'455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a','EL Imaging','Pass','2024-12-08','On Schedule','Expired',5,7139.69,1377.360,5319.550,409.96
'4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066','IR Thermal','Pass','2025-01-20','Delayed','Active',3,2302.42,3514.340,30427.090,18407.94
'bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf','EL Imaging','Minor Issues','2025-02-07','On Schedule','Expired',1,4649.37,853.450,26425.790,11953.28
'00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe','EL Imaging','Pass','2024-08-23','Overdue','Active',3,6694.94,4136.520,35560.100,19889.05
'aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea','EL Imaging','Major Issues','2024-11-23','On Schedule','Active',NULL,2827.43,324.750,34423.580,2538.16
'8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','Visual','Minor Issues','2024-12-08','Delayed','Claimed',2,2896.89,4367.510,44439.690,18093.21
'88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3','EL Imaging','Pass','2025-01-03','Overdue','Claimed',NULL,1667.09,3762.980,33825.080,8554.53
'3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1','Visual','Major Issues','2024-09-29','On Schedule','Expired',NULL,2278.55,686.490,2269.490,18677.69
'aba78bda-c462-4bd5-b99e-952962d757ca','aba78bda-c462-4bd5-b99e-952962d757ca','aba78bda-c462-4bd5-b99e-952962d757ca','aba78bda-c462-4bd5-b99e-952962d757ca','IV Curve','Major Issues','2024-09-25','Overdue','Claimed',NULL,5492.53,1885.390,38729.310,5381.67
'f1b35de2-bd22-4c48-b7c3-a57c89803acf','f1b35de2-bd22-4c48-b7c3-a57c89803acf','f1b35de2-bd22-4c48-b7c3-a57c89803acf','f1b35de2-bd22-4c48-b7c3-a57c89803acf','Visual','Major Issues','2025-02-10','Overdue','Active',NULL,1592.33,3412.170,23787.230,1020.93
'c9066537-7dcc-4d69-9b22-5b23672ff7bc','c9066537-7dcc-4d69-9b22-5b23672ff7bc','c9066537-7dcc-4d69-9b22-5b23672ff7bc','c9066537-7dcc-4d69-9b22-5b23672ff7bc','IR Thermal','Major Issues','2025-01-09','Delayed','Claimed',4,4729.38,2590.140,5367.410,4627.16
'ecab4bc2-d2ac-437e-9fac-572b36bb4cae','ecab4bc2-d2ac-437e-9fac-572b36bb4cae','ecab4bc2-d2ac-437e-9fac-572b36bb4cae','ecab4bc2-d2ac-437e-9fac-572b36bb4cae','EL Imaging','Minor Issues','2024-10-14','On Schedule','Expired',NULL,1624.51,611.770,756.950,6825.32
