'34671e50-c3dc-4acb-af54-ccde16eb0ea6','34671e50-c3dc-4acb-af54-ccde16eb0ea6','34671e50-c3dc-4acb-af54-ccde16eb0ea6',9.090,8.510,49.740,43.320,9.170,7.210,38.480,36.98,0.773,0.710,0.174,437.3
'34d240f4-6ed9-43bc-b7a8-24b56fdd315a','34d240f4-6ed9-43bc-b7a8-24b56fdd315a','34d240f4-6ed9-43bc-b7a8-24b56fdd315a',10.850,8.410,45.300,43.100,9.930,7.300,38.250,36.73,0.775,0.788,0.349,880.7
'e00b3472-780b-490f-941b-a4f298882d7f','e00b3472-780b-490f-941b-a4f298882d7f','e00b3472-780b-490f-941b-a4f298882d7f',10.780,9.030,46.070,43.280,8.470,8.050,37.870,36.78,0.836,0.706,0.995,703.9
'99619a33-69af-482b-a667-0c581f5247a1','99619a33-69af-482b-a667-0c581f5247a1','99619a33-69af-482b-a667-0c581f5247a1',9.310,9.240,47.330,46.630,8.630,8.930,35.950,35.79,0.807,0.708,0.534,248.8
'e233c178-bd05-4eee-8b42-f2ebc5948432','e233c178-bd05-4eee-8b42-f2ebc5948432','e233c178-bd05-4eee-8b42-f2ebc5948432',10.020,8.060,49.860,45.450,9.920,8.670,38.560,33.36,0.771,0.703,0.284,591.5
'657d7976-fb98-45f4-a916-4315352d235d','657d7976-fb98-45f4-a916-4315352d235d','657d7976-fb98-45f4-a916-4315352d235d',9.520,9.450,47.920,46.000,8.660,8.090,37.830,33.54,0.795,0.761,0.233,810.4
'7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa',9.040,9.110,48.300,45.850,8.400,8.250,36.570,34.20,0.792,0.719,0.371,380.3
'fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','fa1e0808-8e5c-4044-bbaf-4a17fbad26f2',10.340,9.490,45.560,47.900,9.570,7.450,38.540,34.12,0.789,0.791,0.198,355.3
'9b607e6e-02d5-46f1-8eaf-d80c994395d4','9b607e6e-02d5-46f1-8eaf-d80c994395d4','9b607e6e-02d5-46f1-8eaf-d80c994395d4',9.510,8.470,45.330,44.090,8.060,7.830,39.830,36.98,0.770,0.746,0.828,602.2
'61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556',9.820,8.190,49.180,47.290,9.660,7.260,38.080,36.83,0.785,0.791,0.196,777.4
'd0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10',9.050,8.400,48.550,44.340,9.710,8.380,36.630,33.58,0.788,0.728,0.615,797.9
'e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0',10.320,9.800,49.320,44.030,8.610,7.760,36.410,35.71,0.839,0.786,0.637,633.2
'03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a',9.640,8.020,46.340,46.730,9.640,7.910,37.420,36.78,0.838,0.755,0.508,911.2
'455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a',9.550,9.460,45.670,47.660,9.230,8.300,37.920,34.83,0.780,0.765,0.674,738.5
'4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066',9.110,8.780,49.350,45.560,9.610,7.530,37.250,35.63,0.800,0.785,0.299,364.1
'bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf',10.610,8.540,48.730,47.730,9.700,8.600,39.530,37.63,0.764,0.725,0.563,287.0
'00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe',10.550,9.320,45.570,46.760,9.450,7.580,39.770,33.71,0.784,0.775,0.242,810.2
'aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea',9.800,9.790,48.330,43.040,9.860,8.310,38.290,34.01,0.750,0.714,0.297,227.9
'8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769',9.430,8.600,49.030,46.700,9.160,7.250,37.050,33.84,0.832,0.704,0.364,370.5
'88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3',10.700,8.880,45.340,46.640,8.760,7.760,37.830,34.43,0.819,0.708,0.653,521.2
'3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1',9.470,9.960,48.740,47.000,9.860,7.960,39.350,35.57,0.804,0.723,0.680,865.3
'aba78bda-c462-4bd5-b99e-952962d757ca','aba78bda-c462-4bd5-b99e-952962d757ca','aba78bda-c462-4bd5-b99e-952962d757ca',9.550,8.400,46.780,43.990,9.430,8.920,37.170,35.41,0.790,0.714,0.861,932.8
'f1b35de2-bd22-4c48-b7c3-a57c89803acf','f1b35de2-bd22-4c48-b7c3-a57c89803acf','f1b35de2-bd22-4c48-b7c3-a57c89803acf',10.150,9.650,45.900,44.260,9.160,7.830,38.260,34.88,0.831,0.713,0.272,772.7
'c9066537-7dcc-4d69-9b22-5b23672ff7bc','c9066537-7dcc-4d69-9b22-5b23672ff7bc','c9066537-7dcc-4d69-9b22-5b23672ff7bc',9.990,9.860,47.700,44.130,8.410,7.170,36.940,35.56,0.816,0.739,0.323,268.4
'ecab4bc2-d2ac-437e-9fac-572b36bb4cae','ecab4bc2-d2ac-437e-9fac-572b36bb4cae','ecab4bc2-d2ac-437e-9fac-572b36bb4cae',9.430,8.070,45.980,46.740,8.130,7.550,39.200,34.59,0.762,0.730,0.601,713.9
'15e2ae5a-a2f7-4a2a-b3b3-7d634b56be1e','15e2ae5a-a2f7-4a2a-b3b3-7d634b56be1e','15e2ae5a-a2f7-4a2a-b3b3-7d634b56be1e',9.000,8.280,48.870,47.710,9.260,8.750,36.740,36.05,0.810,0.788,0.756,910.4
'e75dfa36-606a-4d46-8d5e-418b01f410de','e75dfa36-606a-4d46-8d5e-418b01f410de','e75dfa36-606a-4d46-8d5e-418b01f410de',10.040,8.640,49.760,46.370,8.050,8.040,35.920,34.16,0.805,0.712,0.587,802.0
'07bf1bb7-c717-4a83-9d14-b71dfc536375','07bf1bb7-c717-4a83-9d14-b71dfc536375','07bf1bb7-c717-4a83-9d14-b71dfc536375',10.570,8.110,46.810,45.780,9.870,8.930,37.490,37.00,0.798,0.731,0.196,954.2
'e0ac6249-7edc-49eb-afc7-134576651dd1','e0ac6249-7edc-49eb-afc7-134576651dd1','e0ac6249-7edc-49eb-afc7-134576651dd1',9.660,9.990,45.350,46.650,8.470,8.770,35.420,33.85,0.799,0.773,0.840,562.6
'c08ac1ef-892f-413a-b130-6ebb0de66a66','c08ac1ef-892f-413a-b130-6ebb0de66a66','c08ac1ef-892f-413a-b130-6ebb0de66a66',10.710,8.730,48.520,46.460,8.470,8.130,36.960,37.01,0.835,0.732,0.513,472.9
'51015cab-b6df-41de-9214-cb270ece3471','51015cab-b6df-41de-9214-cb270ece3471','51015cab-b6df-41de-9214-cb270ece3471',10.390,8.480,46.150,47.870,9.090,7.820,39.600,34.37,0.798,0.748,0.901,554.9
'2bb02bae-bc8c-4dba-8c69-c7490d7480f6','2bb02bae-bc8c-4dba-8c69-c7490d7480f6','2bb02bae-bc8c-4dba-8c69-c7490d7480f6',10.590,9.810,46.160,47.280,8.950,7.540,36.160,35.79,0.830,0.742,0.123,636.2
'8e3717d7-a9a4-461d-b193-399de4e8272f','8e3717d7-a9a4-461d-b193-399de4e8272f','8e3717d7-a9a4-461d-b193-399de4e8272f',9.490,8.940,46.810,44.720,9.030,7.900,39.790,33.38,0.801,0.757,0.661,837.8
'ab56932f-2a40-4658-9ba9-bd610d2be417','ab56932f-2a40-4658-9ba9-bd610d2be417','ab56932f-2a40-4658-9ba9-bd610d2be417',9.390,8.520,48.300,47.110,9.520,7.210,37.300,36.14,0.830,0.703,0.599,269.3
'62c912ed-2cf2-4df7-b431-5ee342f97178','62c912ed-2cf2-4df7-b431-5ee342f97178','62c912ed-2cf2-4df7-b431-5ee342f97178',10.300,9.680,46.530,45.520,9.990,7.470,37.130,37.82,0.767,0.741,0.970,565.5
'20c7d1b2-8e45-4065-af08-09ebef71af18','20c7d1b2-8e45-4065-af08-09ebef71af18','20c7d1b2-8e45-4065-af08-09ebef71af18',9.660,8.330,46.980,45.340,8.660,7.250,38.460,33.31,0.832,0.769,0.904,507.4
'40224d8d-98e2-430e-985f-f0ea3705c445','40224d8d-98e2-430e-985f-f0ea3705c445','40224d8d-98e2-430e-985f-f0ea3705c445',10.920,9.330,46.680,43.340,8.510,8.430,37.350,34.60,0.754,0.790,0.746,579.7
'8d85877e-8cd9-4f16-b9cc-c3ae02da9277','8d85877e-8cd9-4f16-b9cc-c3ae02da9277','8d85877e-8cd9-4f16-b9cc-c3ae02da9277',9.630,9.130,46.380,46.160,8.430,8.310,35.670,33.25,0.802,0.785,0.754,603.9
'4f7d6525-e2c7-470c-ba0c-5925cc785d32','4f7d6525-e2c7-470c-ba0c-5925cc785d32','4f7d6525-e2c7-470c-ba0c-5925cc785d32',9.710,9.410,46.830,45.800,9.110,8.800,39.480,36.16,0.755,0.755,0.726,750.7
'ae8f27c1-2beb-4ba4-aedf-172f1db09605','ae8f27c1-2beb-4ba4-aedf-172f1db09605','ae8f27c1-2beb-4ba4-aedf-172f1db09605',10.170,9.760,49.900,46.250,8.170,7.480,35.510,37.11,0.761,0.750,0.307,345.8
'e203b74a-88ad-4c87-a891-cca77887a09b','e203b74a-88ad-4c87-a891-cca77887a09b','e203b74a-88ad-4c87-a891-cca77887a09b',9.830,8.830,49.820,43.160,9.190,7.010,37.310,35.93,0.775,0.757,0.947,487.3
'a629de86-978f-4b4e-b4e6-eea065fa4e0c','a629de86-978f-4b4e-b4e6-eea065fa4e0c','a629de86-978f-4b4e-b4e6-eea065fa4e0c',9.710,9.610,49.990,45.290,9.510,7.340,37.670,37.30,0.779,0.754,0.919,398.4
'7b3b5979-6c37-4a59-8d53-76364c260524','7b3b5979-6c37-4a59-8d53-76364c260524','7b3b5979-6c37-4a59-8d53-76364c260524',10.360,9.640,47.200,45.000,9.600,8.070,38.070,37.83,0.796,0.772,0.497,852.9
'4e067cb6-c022-4ad1-bccc-1b8c32cb63b1','4e067cb6-c022-4ad1-bccc-1b8c32cb63b1','4e067cb6-c022-4ad1-bccc-1b8c32cb63b1',9.640,9.280,48.290,46.670,8.310,8.480,37.400,33.12,0.844,0.750,0.773,503.7
'e39a3c4d-eb78-43b2-871d-d5bab20b8c52','e39a3c4d-eb78-43b2-871d-d5bab20b8c52','e39a3c4d-eb78-43b2-871d-d5bab20b8c52',10.110,8.310,48.500,45.760,8.240,7.680,39.470,37.37,0.774,0.727,0.178,388.4
'8f4902f8-68b7-474c-a7c3-3ac33c7cd7c8','8f4902f8-68b7-474c-a7c3-3ac33c7cd7c8','8f4902f8-68b7-474c-a7c3-3ac33c7cd7c8',9.310,9.000,46.110,47.820,9.160,8.340,37.760,34.78,0.829,0.754,0.280,897.7
'cb324c13-1784-4057-86b0-c73d0b7d1793','cb324c13-1784-4057-86b0-c73d0b7d1793','cb324c13-1784-4057-86b0-c73d0b7d1793',9.610,8.260,48.770,44.960,9.000,8.340,39.000,33.84,0.755,0.753,0.398,427.4
'338a1bd5-90ed-4756-a321-eceb1d90e9ce','338a1bd5-90ed-4756-a321-eceb1d90e9ce','338a1bd5-90ed-4756-a321-eceb1d90e9ce',9.100,9.380,46.260,44.840,8.490,8.900,37.100,35.61,0.838,0.737,0.850,755.8
'00aa8f38-bdb6-4a5c-b6a5-2690c2306cfd','00aa8f38-bdb6-4a5c-b6a5-2690c2306cfd','00aa8f38-bdb6-4a5c-b6a5-2690c2306cfd',10.160,9.650,49.170,45.660,9.730,8.330,39.010,33.92,0.826,0.720,0.754,564.7
'e267ad3d-fdfe-4ed6-89fa-becc54dd53c4','e267ad3d-fdfe-4ed6-89fa-becc54dd53c4','e267ad3d-fdfe-4ed6-89fa-becc54dd53c4',10.330,8.290,45.750,47.000,9.550,7.330,39.350,37.16,0.848,0.711,0.544,414.7
'dcfc58d7-7db4-40e7-a8f1-2625eea889a0','dcfc58d7-7db4-40e7-a8f1-2625eea889a0','dcfc58d7-7db4-40e7-a8f1-2625eea889a0',9.970,8.500,47.280,46.830,8.520,8.390,39.490,34.34,0.809,0.750,0.993,598.9
