'657d7976-fb98-45f4-a916-4315352d235d','657d7976-fb98-45f4-a916-4315352d235d','2022-07-14 06:51:30.052',48.800,223.200,50.490,0.778,'{"harmdistpct": 0.750, "reacpwrkvar": 75.46, "inverteffpct": 98.090, "invertpowfac": 0.928}'
'7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','2022-07-16 15:18:16.052',30.300,225.300,49.950,0.714,'{"harmdistpct": 0.890, "reacpwrkvar": 80.82, "inverteffpct": 98.780, "invertpowfac": 0.988}'
'fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','2016-08-02 03:08:36.052',30.500,233.100,49.870,0.007,'{"harmdistpct": 0.930, "reacpwrkvar": 64.01, "inverteffpct": 97.360, "invertpowfac": 0.983}'
'9b607e6e-02d5-46f1-8eaf-d80c994395d4','9b607e6e-02d5-46f1-8eaf-d80c994395d4','2019-08-13 07:51:06.052',27.300,235.900,49.520,0.905,'{"harmdistpct": 1.730, "reacpwrkvar": 66.38, "inverteffpct": 95.190, "invertpowfac": 0.951}'
'61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556','2023-04-24 05:22:00.052',34.600,223.900,49.710,0.888,'{"harmdistpct": 4.280, "reacpwrkvar": -22.92, "inverteffpct": 98.890, "invertpowfac": 0.908}'
'd0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10','2020-12-10 14:06:40.053',45.300,227.600,49.900,0.453,'{"harmdistpct": 2.750, "reacpwrkvar": 95.11, "inverteffpct": 98.870, "invertpowfac": 0.943}'
'e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0','2016-07-08 20:40:53.053',51.800,225.200,50.230,0.882,'{"harmdistpct": 3.820, "reacpwrkvar": 97.77, "inverteffpct": 96.990, "invertpowfac": 0.958}'
'03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a','2021-02-04 22:23:31.053',34.800,239.600,49.890,0.055,'{"harmdistpct": 4.170, "reacpwrkvar": 28.08, "inverteffpct": 95.540, "invertpowfac": 0.957}'
'455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a','2018-04-21 08:59:52.053',24.900,222.400,50.480,0.220,'{"harmdistpct": 0.790, "reacpwrkvar": -3.01, "inverteffpct": 98.890, "invertpowfac": 0.933}'
'4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066','2016-06-09 07:13:43.053',33.600,232.800,49.880,0.215,'{"harmdistpct": 3.860, "reacpwrkvar": 40.86, "inverteffpct": 95.860, "invertpowfac": 0.911}'
'bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf','2021-10-19 00:56:51.053',48.900,238.200,50.470,0.907,'{"harmdistpct": 1.120, "reacpwrkvar": -32.73, "inverteffpct": 95.550, "invertpowfac": 0.913}'
'00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe','2021-11-12 12:14:26.053',32.400,228.400,50.470,0.192,'{"harmdistpct": 3.760, "reacpwrkvar": 49.02, "inverteffpct": 98.890, "invertpowfac": 0.981}'
'aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea','2019-01-01 18:19:09.053',22.000,238.900,49.900,0.478,'{"harmdistpct": 1.320, "reacpwrkvar": -88.80, "inverteffpct": 98.380, "invertpowfac": 0.955}'
'8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','2020-08-26 11:19:55.053',48.200,223.500,49.890,0.686,'{"harmdistpct": 4.010, "reacpwrkvar": 28.42, "inverteffpct": 95.290, "invertpowfac": 0.978}'
'88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3','2023-12-06 10:50:14.053',39.000,236.800,50.280,0.515,'{"harmdistpct": 1.930, "reacpwrkvar": -41.41, "inverteffpct": 98.300, "invertpowfac": 0.944}'
'3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1','2018-12-09 09:39:32.053',43.400,235.600,50.250,0.766,'{"harmdistpct": 4.700, "reacpwrkvar": -73.47, "inverteffpct": 95.520, "invertpowfac": 0.968}'
'aba78bda-c462-4bd5-b99e-952962d757ca','aba78bda-c462-4bd5-b99e-952962d757ca','2025-02-03 01:14:42.053',57.300,232.900,49.620,0.678,'{"harmdistpct": 0.480, "reacpwrkvar": 77.58, "inverteffpct": 97.500, "invertpowfac": 0.985}'
'f1b35de2-bd22-4c48-b7c3-a57c89803acf','f1b35de2-bd22-4c48-b7c3-a57c89803acf','2024-04-20 16:09:37.053',21.000,237.700,50.230,0.226,'{"harmdistpct": 1.690, "reacpwrkvar": -57.61, "inverteffpct": 98.640, "invertpowfac": 0.990}'
'c9066537-7dcc-4d69-9b22-5b23672ff7bc','c9066537-7dcc-4d69-9b22-5b23672ff7bc','2018-03-31 10:25:48.053',57.500,232.800,49.770,0.696,'{"harmdistpct": 2.240, "reacpwrkvar": 89.91, "inverteffpct": 97.610, "invertpowfac": 0.989}'
'ecab4bc2-d2ac-437e-9fac-572b36bb4cae','ecab4bc2-d2ac-437e-9fac-572b36bb4cae','2015-03-09 22:14:12.053',24.800,227.300,50.440,0.958,'{"harmdistpct": 1.740, "reacpwrkvar": 85.68, "inverteffpct": 95.490, "invertpowfac": 0.950}'
'15e2ae5a-a2f7-4a2a-b3b3-7d634b56be1e','15e2ae5a-a2f7-4a2a-b3b3-7d634b56be1e','2016-02-04 03:08:17.054',34.700,237.600,49.590,0.273,'{"harmdistpct": 1.430, "reacpwrkvar": -43.71, "inverteffpct": 95.690, "invertpowfac": 0.984}'
'e75dfa36-606a-4d46-8d5e-418b01f410de','e75dfa36-606a-4d46-8d5e-418b01f410de','2021-02-06 12:41:52.054',28.400,236.800,49.650,0.169,'{"harmdistpct": 4.350, "reacpwrkvar": -6.49, "inverteffpct": 97.710, "invertpowfac": 0.904}'
