'34671e50-c3dc-4acb-af54-ccde16eb0ea6','34671e50-c3dc-4acb-af54-ccde16eb0ea6','2018-08-03 12:21:20.051',47.300,41.200,13.410,0.056,38,'2025-01-14',76.100,11.600,249.300,41.30,1099.20,1.100,12.400,24.800,'{"specmisfac": 1.005, "irradiance_types": [530.40, 169.3, 44.100, 135.100]}'
'34d240f4-6ed9-43bc-b7a8-24b56fdd315a','34d240f4-6ed9-43bc-b7a8-24b56fdd315a','2023-03-05 14:10:48.052',36.100,22.700,11.270,3.519,52,'2025-01-23',50.000,22.600,29.800,36.20,958.30,3.600,93.800,59.700,'{"specmisfac": 0.996, "irradiance_types": [556.40, 686.2, 81.900, 500.100]}'
'e00b3472-780b-490f-941b-a4f298882d7f','e00b3472-780b-490f-941b-a4f298882d7f','2023-01-30 02:55:15.052',59.200,26.200,1.120,3.300,17,'2025-02-05',98.500,18.300,179.300,18.10,1050.60,1.700,69.200,92.700,'{"specmisfac": 1.047, "irradiance_types": [637.10, 656.6, 71.400, 1155.000]}'
'99619a33-69af-482b-a667-0c581f5247a1','99619a33-69af-482b-a667-0c581f5247a1','2021-02-15 08:48:34.052',57.500,22.800,5.390,4.379,12,'2025-02-03',57.200,20.600,84.400,10.70,1054.80,3.400,57.600,90.900,'{"specmisfac": 0.969, "irradiance_types": [684.40, 710.7, 199.500, 468.600]}'
'e233c178-bd05-4eee-8b42-f2ebc5948432','e233c178-bd05-4eee-8b42-f2ebc5948432','2017-03-22 21:49:13.052',69.400,38.800,7.150,3.634,44,'2025-01-14',44.900,16.700,192.500,11.90,1029.20,9.000,31.200,18.200,'{"specmisfac": 0.969, "irradiance_types": [329.50, 945.9, 87.600, 180.100]}'
'7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','2022-07-16 15:18:16.052',31.000,36.400,4.170,2.669,55,'2025-02-19',46.900,13.300,60.900,42.40,1013.00,7.500,32.800,82.900,'{"specmisfac": 0.955, "irradiance_types": [745.30, 118.8, 67.000, 165.300]}'
'fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','2016-08-02 03:08:36.052',27.200,-6.900,1.790,4.217,24,'2024-12-24',63.200,9.600,73.800,28.10,903.90,7.200,58.500,20.800,'{"specmisfac": 1.009, "irradiance_types": [1138.00, 169.1, 60.800, 159.100]}'
'9b607e6e-02d5-46f1-8eaf-d80c994395d4','9b607e6e-02d5-46f1-8eaf-d80c994395d4','2019-08-13 07:51:06.052',57.700,4.400,11.090,0.421,39,'2024-12-30',83.400,18.000,135.600,26.40,1040.80,1.900,24.500,25.500,'{"specmisfac": 0.972, "irradiance_types": [604.70, 231.4, 157.800, 1039.100]}'
'61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556','2023-04-24 05:22:00.052',53.400,34.700,5.620,1.844,21,'2025-01-05',62.900,16.500,21.000,42.40,1045.00,4.900,43.700,66.200,'{"specmisfac": 0.970, "irradiance_types": [462.40, 649.7, 34.600, 72.700]}'
'd0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10','2020-12-10 14:06:40.053',42.200,-9.100,3.830,4.993,53,'2025-02-03',83.600,19.900,230.400,7.80,1005.30,4.900,17.500,14.400,'{"specmisfac": 0.994, "irradiance_types": [1113.80, 94.1, 149.400, 841.300]}'
'e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0','2016-07-08 20:40:53.053',44.500,21.600,13.870,0.612,56,'2025-01-27',44.800,22.800,10.600,17.70,1058.90,0.600,90.100,87.000,'{"specmisfac": 0.968, "irradiance_types": [524.10, 408.2, 171.200, 458.500]}'
'03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a','2021-02-04 22:23:31.053',38.600,-8.200,6.280,0.942,55,'2025-02-15',29.800,9.600,114.800,21.40,1038.50,5.000,34.800,60.900,'{"specmisfac": 1.045, "irradiance_types": [1187.60, 737.8, 189.000, 1037.000]}'
'455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a','2018-04-21 08:59:52.053',56.900,14.600,6.380,1.123,22,'2024-12-26',26.500,14.900,96.400,16.40,961.60,8.700,71.100,42.400,'{"specmisfac": 0.971, "irradiance_types": [791.20, 118.4, 70.900, 1040.300]}'
'4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066','2016-06-09 07:13:43.053',71.700,36.100,3.860,3.335,46,'2025-02-16',86.100,10.300,121.800,4.90,969.10,2.600,83.000,97.000,'{"specmisfac": 0.967, "irradiance_types": [112.20, 499.1, 142.300, 1117.100]}'
'bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf','2021-10-19 00:56:51.053',66.200,17.100,10.120,0.468,30,'2025-02-17',41.500,18.700,219.600,20.70,1063.90,3.500,79.400,76.200,'{"specmisfac": 1.035, "irradiance_types": [1129.20, 15.7, 121.200, 66.500]}'
'00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe','2021-11-12 12:14:26.053',39.200,-0.700,4.010,1.856,12,'2025-01-30',18.000,16.700,310.200,21.00,1003.60,6.800,76.800,72.900,'{"specmisfac": 1.034, "irradiance_types": [1039.70, 520.0, 163.900, 34.200]}'
'aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea','2019-01-01 18:19:09.053',68.400,28.000,8.200,2.960,58,'2025-02-02',11.600,4.100,252.100,19.30,1095.10,4.200,50.400,30.700,'{"specmisfac": 1.044, "irradiance_types": [1045.60, 752.6, 75.800, 147.900]}'
'8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','2020-08-26 11:19:55.053',45.600,11.000,14.570,1.885,19,'2024-12-30',98.700,21.700,2.800,5.10,1053.90,1.400,64.200,NULL,'{"specmisfac": 1.004, "irradiance_types": [439.20, 663.7, 190.100, 826.800]}'
'88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3','2023-12-06 10:50:14.053',27.700,3.200,11.980,1.744,54,'2024-12-26',25.200,11.700,130.400,35.30,918.10,7.300,51.800,56.000,'{"specmisfac": 0.960, "irradiance_types": [191.20, 104.3, 189.400, 577.900]}'
'3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1','2018-12-09 09:39:32.053',45.200,-6.300,9.270,2.916,11,'2025-01-25',12.200,20.300,85.500,22.30,966.70,0.600,36.400,21.100,'{"specmisfac": 0.964, "irradiance_types": [686.10, 595.0, 135.400, 815.800]}'
'aba78bda-c462-4bd5-b99e-952962d757ca','aba78bda-c462-4bd5-b99e-952962d757ca','2025-02-03 01:14:42.053',69.700,29.200,13.930,3.256,42,'2025-02-07',25.200,17.100,33.000,13.80,1053.10,12.000,10.900,78.900,'{"specmisfac": 0.990, "irradiance_types": [447.00, 621.9, 182.900, 521.400]}'
'f1b35de2-bd22-4c48-b7c3-a57c89803acf','f1b35de2-bd22-4c48-b7c3-a57c89803acf','2024-04-20 16:09:37.053',31.900,-2.600,3.470,1.511,7,'2025-01-31',96.900,22.300,71.200,37.90,1018.50,4.700,51.500,88.000,'{"specmisfac": 0.958, "irradiance_types": [997.70, 309.3, 49.400, 324.700]}'
'c9066537-7dcc-4d69-9b22-5b23672ff7bc','c9066537-7dcc-4d69-9b22-5b23672ff7bc','2018-03-31 10:25:48.053',74.100,24.600,14.050,4.692,20,'2025-01-23',29.600,18.100,139.100,40.20,996.80,10.500,55.800,89.800,'{"specmisfac": 1.011, "irradiance_types": [75.70, 235.9, 126.300, 756.100]}'
'ecab4bc2-d2ac-437e-9fac-572b36bb4cae','ecab4bc2-d2ac-437e-9fac-572b36bb4cae','2015-03-09 22:14:12.053',70.700,25.200,11.750,1.216,32,'2025-02-04',7.100,11.900,153.600,42.10,1084.40,8.000,57.800,28.600,'{"specmisfac": 0.955, "irradiance_types": [279.30, 326.3, 171.600, 586.000]}'
'15e2ae5a-a2f7-4a2a-b3b3-7d634b56be1e','15e2ae5a-a2f7-4a2a-b3b3-7d634b56be1e','2016-02-04 03:08:17.054',69.600,11.500,0.440,1.047,34,'2025-01-20',82.800,0.900,103.600,33.60,911.70,6.700,12.000,11.200,'{"specmisfac": 0.959, "irradiance_types": [42.50, 786.0, 28.400, 592.600]}'
'e75dfa36-606a-4d46-8d5e-418b01f410de','e75dfa36-606a-4d46-8d5e-418b01f410de','2021-02-06 12:41:52.054',67.100,7.800,2.220,3.329,35,'2025-02-14',46.300,0.300,242.000,8.20,1034.90,11.900,70.300,97.400,'{"specmisfac": 1.035, "irradiance_types": [1034.60, 624.9, 59.800, 1020.800]}'
'07bf1bb7-c717-4a83-9d14-b71dfc536375','07bf1bb7-c717-4a83-9d14-b71dfc536375','2024-10-10 23:37:14.054',64.700,30.400,6.110,3.293,48,'2025-01-22',0.100,22.900,231.600,1.20,999.10,1.300,92.800,32.100,'{"specmisfac": 1.033, "irradiance_types": [701.20, 253.5, 121.000, 309.700]}'
'e0ac6249-7edc-49eb-afc7-134576651dd1','e0ac6249-7edc-49eb-afc7-134576651dd1','2021-06-27 08:19:04.054',37.300,18.700,7.070,3.744,35,'2025-01-29',40.100,8.500,288.300,44.20,999.20,11.800,44.200,30.800,'{"specmisfac": 1.022, "irradiance_types": [860.20, 543.3, 90.200, 993.600]}'
