'61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556','2023-04-24 05:22:00.052',587.220,12.780,'{"degradation": {"cumdegpct": 2.130, "anndegrate": 0.710}, "current_efficiency": {"curreffpct": 19.360, "efflosspct": 2.960}}'
'd0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10','2020-12-10 14:06:40.053',518.820,31.180,'{"degradation": {"cumdegpct": 5.670, "anndegrate": 1.010}, "current_efficiency": {"curreffpct": 20.050, "efflosspct": 1.280}}'
'e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0','2016-07-08 20:40:53.053',384.030,65.970,'{"degradation": {"cumdegpct": 14.660, "anndegrate": 0.470}, "current_efficiency": {"curreffpct": 19.530, "efflosspct": 0.710}}'
'03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a','2021-02-04 22:23:31.053',624.260,25.740,'{"degradation": {"cumdegpct": 3.960, "anndegrate": 0.800}, "current_efficiency": {"curreffpct": 18.430, "efflosspct": 3.450}}'
'455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a','2018-04-21 08:59:52.053',384.530,65.470,'{"degradation": {"cumdegpct": 14.550, "anndegrate": 0.340}, "current_efficiency": {"curreffpct": 20.460, "efflosspct": -1.090}}'
'4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066','2016-06-09 07:13:43.053',432.100,67.900,'{"degradation": {"cumdegpct": 13.580, "anndegrate": 0.940}, "current_efficiency": {"curreffpct": 17.490, "efflosspct": 0.830}}'
'bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf','2021-10-19 00:56:51.053',566.820,33.180,'{"degradation": {"cumdegpct": 5.530, "anndegrate": 0.910}, "current_efficiency": {"curreffpct": 15.280, "efflosspct": 4.030}}'
'00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe','2021-11-12 12:14:26.053',566.930,83.070,'{"degradation": {"cumdegpct": 12.780, "anndegrate": 0.820}, "current_efficiency": {"curreffpct": 15.770, "efflosspct": 5.260}}'
'aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea','2019-01-01 18:19:09.053',520.630,29.370,'{"degradation": {"cumdegpct": 5.340, "anndegrate": 0.650}, "current_efficiency": {"curreffpct": 16.060, "efflosspct": 2.010}}'
'8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','2020-08-26 11:19:55.053',385.920,64.080,'{"degradation": {"cumdegpct": 14.240, "anndegrate": 1.080}, "current_efficiency": {"curreffpct": 19.170, "efflosspct": 2.480}}'
'88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3','2023-12-06 10:50:14.053',588.180,11.820,'{"degradation": {"cumdegpct": 1.970, "anndegrate": 1.190}, "current_efficiency": {"curreffpct": 15.470, "efflosspct": 5.570}}'
'3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1','2018-12-09 09:39:32.053',543.400,6.600,'{"degradation": {"cumdegpct": 1.200, "anndegrate": 0.820}, "current_efficiency": {"curreffpct": 20.470, "efflosspct": 0.700}}'
