'34671e50-c3dc-4acb-af54-ccde16eb0ea6','34671e50-c3dc-4acb-af54-ccde16eb0ea6','34671e50-c3dc-4acb-af54-ccde16eb0ea6','34671e50-c3dc-4acb-af54-ccde16eb0ea6','2018-08-03 12:21:20.051',NULL,6,'High','High','Medium'
'34d240f4-6ed9-43bc-b7a8-24b56fdd315a','34d240f4-6ed9-43bc-b7a8-24b56fdd315a','34d240f4-6ed9-43bc-b7a8-24b56fdd315a','34d240f4-6ed9-43bc-b7a8-24b56fdd315a','2023-03-05 14:10:48.052','Warning',2,'High','High','High'
'e00b3472-780b-490f-941b-a4f298882d7f','e00b3472-780b-490f-941b-a4f298882d7f','e00b3472-780b-490f-941b-a4f298882d7f','e00b3472-780b-490f-941b-a4f298882d7f','2023-01-30 02:55:15.052','Critical',9,'High','High','Low'
'99619a33-69af-482b-a667-0c581f5247a1','99619a33-69af-482b-a667-0c581f5247a1','99619a33-69af-482b-a667-0c581f5247a1','99619a33-69af-482b-a667-0c581f5247a1','2021-02-15 08:48:34.052',NULL,1,'High','Low','Low'
'e233c178-bd05-4eee-8b42-f2ebc5948432','e233c178-bd05-4eee-8b42-f2ebc5948432','e233c178-bd05-4eee-8b42-f2ebc5948432','e233c178-bd05-4eee-8b42-f2ebc5948432','2017-03-22 21:49:13.052',NULL,NULL,'Medium','High','Low'
'657d7976-fb98-45f4-a916-4315352d235d','657d7976-fb98-45f4-a916-4315352d235d','657d7976-fb98-45f4-a916-4315352d235d','657d7976-fb98-45f4-a916-4315352d235d','2022-07-14 06:51:30.052',NULL,6,'Medium','Medium','Low'
'7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','7da8ce5b-0710-48ac-ae70-cfd4c2bda1fa','2022-07-16 15:18:16.052','Warning',7,'Medium','High','Medium'
'fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','fa1e0808-8e5c-4044-bbaf-4a17fbad26f2','2016-08-02 03:08:36.052',NULL,4,'High','Low','Medium'
'9b607e6e-02d5-46f1-8eaf-d80c994395d4','9b607e6e-02d5-46f1-8eaf-d80c994395d4','9b607e6e-02d5-46f1-8eaf-d80c994395d4','9b607e6e-02d5-46f1-8eaf-d80c994395d4','2019-08-13 07:51:06.052',NULL,7,'Medium','Low','High'
'61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556','61881c67-e019-431b-92f4-540d018ce556','2023-04-24 05:22:00.052','Critical',2,'Medium','Medium','High'
'd0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10','d0e8b043-26a7-44a0-92aa-8d8719e49e10','2020-12-10 14:06:40.053','Warning',5,'High','High','Medium'
'e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0','e2324feb-31cd-417a-ba69-86c74e8e65c0','2016-07-08 20:40:53.053','Warning',2,'High','High','Low'
'03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a','03ba1f48-8f07-4672-b292-f53511c4a44a','2021-02-04 22:23:31.053','Warning',4,'Medium','High','Medium'
'455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a','455d3198-51b8-460b-aba3-e2d2e39f509a','2018-04-21 08:59:52.053','Critical',4,'High','Medium','Medium'
'4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066','4f6e3e61-5d41-4b6f-a2e5-e999b484e066','2016-06-09 07:13:43.053','Warning',NULL,'High','Medium','Low'
'bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf','bf90391d-4f2e-4439-bad4-2a1235948caf','2021-10-19 00:56:51.053','Critical',2,'High','High','Low'
'00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe','00bfcb5b-37fb-43a8-9823-30d4dd62defe','2021-11-12 12:14:26.053','Warning',5,'Medium','Low','High'
'aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea','aea89403-62f7-4c14-8fea-45eb52e60fea','2019-01-01 18:19:09.053','Critical',NULL,'Medium','High','Low'
'8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','8e1c7488-e62f-4a9a-bb54-a8fcad8a2769','2020-08-26 11:19:55.053','Warning',8,'Medium','Low','Medium'
'88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3','88453494-1794-4b53-9c65-c3fbb293a9e3','2023-12-06 10:50:14.053','Critical',NULL,'Low','Low','Medium'
'3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1','3bcecbd9-0768-4f8c-a996-9001872179b1','2018-12-09 09:39:32.053',NULL,9,'Medium','Medium','Medium'
'aba78bda-c462-4bd5-b99e-952962d757ca','aba78bda-c462-4bd5-b99e-952962d757ca','aba78bda-c462-4bd5-b99e-952962d757ca','aba78bda-c462-4bd5-b99e-952962d757ca','2025-02-03 01:14:42.053','Critical',9,'Medium','High','High'
'f1b35de2-bd22-4c48-b7c3-a57c89803acf','f1b35de2-bd22-4c48-b7c3-a57c89803acf','f1b35de2-bd22-4c48-b7c3-a57c89803acf','f1b35de2-bd22-4c48-b7c3-a57c89803acf','2024-04-20 16:09:37.053','Critical',8,'High','High','Low'
