'GPT287164','2024-09-26 17:36:53.795','Keyboard',3.14,78,'Stable',202,-67.00,33,1939,38.0,150.00,'true','7.5W',3.35,9.94,1000,2.28,2.53,0.827
'GPT831546','2024-11-26 19:47:28.795','Headset',4.15,27,'Beta',93,80.62,9,1115,54.0,64.00,'true','5W',12.61,5.98,125,9.11,1.39,1.138
'GPT573068','2024-10-12 10:19:04.795','Keyboard',4.04,81,'Experimental',79,71.61,17,1026,84.0,76.00,'false','10W',5.24,1.15,1000,0.14,3.59,1.656
'GPT776383','2024-10-31 03:53:46.796','Gamepad',1.05,61,'Experimental',235,-76.00,51,1722,91.0,72.00,'true','7.5W',15.75,7.92,8000,5.74,3.80,1.077
'GPT694476','2024-12-25 09:42:16.796','Mouse',3.36,47,'Stable',261,96.40,96,1706,68.0,148.00,'false','5W',8.17,6.55,250,2.26,3.98,0.772
'GPT269441','2024-06-27 07:04:03.796','Mouse',3.03,56,'Experimental',119,0.87,16,622,54.0,174.00,'true','7.5W',4.83,1.13,500,4.85,4.15,0.829
'GPT490710','2024-05-22 14:30:32.796','Headset',0.77,10,'Beta',203,-79.00,62,1363,30.0,97.00,'false','USB-PD23',0.55,4.62,8000,0.21,3.35,0.890
'GPT264115','2025-01-07 06:21:33.796','Controller',2.76,83,'Beta',291,6.63,52,1453,58.0,113.00,'true','USB-PD1W',8.76,1.00,1000,2.17,1.34,0.217
'GPT681675','2024-09-02 00:30:37.796','Mouse',4.15,80,'Beta',38,64.36,9,1659,26.0,65.00,'true','USB-PDEX',17.13,6.94,8000,7.49,4.01,1.711
'GPT736637','2024-08-25 13:02:50.796','Headset',0.08,16,'Experimental',269,40.39,68,1891,80.0,195.00,'false','USB-PD4T',1.71,7.20,8000,3.46,4.60,0.505
'GPT230771','2024-11-24 03:55:58.796','Headset',1.36,62,'Experimental',275,95.41,25,1379,51.0,112.00,'true','10W',15.06,8.47,8000,5.61,1.75,1.064
'GPT341983','2024-09-16 20:30:34.796','Mouse',3.31,28,'Beta',103,31.32,27,1272,53.0,113.00,'true','10W',1.62,7.46,2000,0.40,3.46,1.610
'GPT351002','2025-01-03 20:13:19.796','Gamepad',2.18,57,'Beta',185,23.68,7,1539,36.0,191.00,'false','7.5W',14.06,4.27,125,9.98,3.60,1.223
'GPT335987','2024-07-08 15:57:25.796','Keyboard',0.65,39,'Beta',127,22.36,99,1945,73.0,82.00,'false','USB-PDAH',4.75,14.28,1000,1.04,2.42,1.112
'GPT441137','2024-04-08 07:31:17.796','Headset',4.42,80,'Stable',73,54.38,31,1607,55.0,106.00,'true','5W',9.91,0.60,4000,3.59,4.53,1.755
'GPT123209','2024-05-01 01:10:03.796','Controller',3.83,91,'Stable',187,17.60,15,931,28.0,181.00,'true','USB-PD6L',4.62,1.60,500,4.35,3.27,1.470
'GPT228783','2025-02-10 11:58:55.796','Gamepad',2.64,33,'Experimental',72,61.18,94,1550,75.0,166.00,'false','10W',12.52,8.64,2000,7.91,1.88,1.352
'GPT583729','2024-02-21 06:08:02.796','Headset',1.87,81,'Experimental',120,18.22,34,722,62.0,107.00,'false','10W',6.31,6.75,250,3.93,4.38,0.604
'GPT880799','2024-11-15 18:50:13.796','Controller',3.69,61,'Experimental',141,47.21,56,1818,32.0,212.00,'true','10W',14.31,5.42,500,9.56,0.81,0.384
'GPT241128','2024-04-24 13:46:51.796','Headset',1.41,41,'Experimental',151,-76.00,5,876,89.0,79.00,'true','10W',8.36,4.62,250,1.57,4.54,1.573
'GPT369460','2025-01-28 20:56:26.796','Headset',3.02,14,'Stable',252,-39.00,21,1917,72.0,193.00,'true','7.5W',4.29,10.69,8000,8.36,0.26,1.887
'GPT826413','2024-09-06 03:31:24.796','Controller',3.09,73,'Stable',73,43.41,36,1089,44.0,152.00,'true','10W',5.70,8.03,8000,5.83,1.01,1.933
