'DEV_RQ33OK','GPT287164','HyperX','MDL7333','6.6.9','Wireless 2.4GHz',8.0,'Low','false',1.30,90,143,113,8,2,1.51,0.24,92.70,9774,4,'PMW3389',22986
'DEV_UPPRRQ','GPT831546','Corsair','MDL8501','5.3.7','Wired',6.0,'Low','false',1.45,21,335,149,64,4,2.32,0.36,92.80,24096,1,'Optical',16401
'DEV_E2VRHA','GPT573068','Logitech','MDL8929','7.0.3','Bluetooth',16.0,'High','false',1.96,45,345,136,8,3,4.63,0.63,96.80,5125,1,'Optical',20417
'DEV_3WOOVM','GPT776383','SteelSeries','MDL5074','4.4.8','Wireless 2.4GHz',10.0,'Medium','false',1.94,88,417,75,8,2,5.00,1.90,95.20,23400,5,'PMW3389',20200
'DEV_QCDP8I','GPT694476','SteelSeries','MDL3558','9.6.7','Wired',8.0,'Low','false',1.69,74,131,188,0,2,0.17,1.92,91.80,20132,3,'Optical',1652
'DEV_4LUGO5','GPT269441','SteelSeries','MDL2162','2.2.2','Hybrid',17.0,'High','false',1.67,28,451,69,0,2,4.10,0.65,90.30,17610,4,'Laser',8421
'DEV_2GUB4J','GPT490710','Razer','MDL3221','8.5.4','Wireless 2.4GHz',9.0,'Medium','false',0.95,10,379,91,0,4,0.23,1.40,94.40,11354,3,'PAW3399',10745
'DEV_W2S3ZH','GPT264115','HyperX','MDL3928','7.7.5','Hybrid',16.0,'Low','false',0.99,86,424,148,64,1,2.55,0.89,90.40,11309,1,'Optical',4562
'DEV_1NC9JB','GPT681675','SteelSeries','MDL9469','8.9.3','Wired',15.0,'Medium','false',1.90,20,284,112,64,5,0.21,0.18,95.40,238,4,'Laser',15333
'DEV_GUWPMM','GPT736637','Razer','MDL2184','8.4.2','Wired',17.0,'High','false',0.45,20,380,166,16,3,1.96,1.19,91.00,8468,4,'Laser',23789
'DEV_1HW85J','GPT230771','Corsair','MDL1664','4.1.0','Hybrid',18.0,'High','false',1.96,90,148,146,8,2,4.05,0.81,90.40,13660,2,'PMW3389',12324
'DEV_GCO57C','GPT341983','Logitech','MDL3430','8.3.9','Hybrid',11.0,'High','false',0.62,86,232,138,32,2,1.23,0.74,97.20,22262,2,'Laser',8109
'DEV_MWUZD4','GPT351002','HyperX','MDL8140','6.3.3','Bluetooth',5.0,'Low','false',0.92,52,471,113,8,5,2.44,0.58,98.10,1655,4,'PMW3389',17803
'DEV_90S2JO','GPT335987','Razer','MDL2862','2.2.9','Hybrid',16.0,'High','false',1.19,48,489,133,32,2,1.24,1.50,99.90,12053,2,'PMW3389',19784
'DEV_PV8C8F','GPT441137','SteelSeries','MDL2617','5.9.5','Hybrid',18.0,'High','false',0.32,93,211,160,0,5,3.99,0.71,97.20,16677,4,'Laser',2903
'DEV_A739Z2','GPT123209','Logitech','MDL4368','5.3.8','Hybrid',10.0,'High','false',1.83,76,227,98,8,1,0.65,0.22,96.20,12467,3,'Laser',6608
'DEV_LG977R','GPT228783','SteelSeries','MDL9908','2.3.8','Wired',18.0,'Low','false',0.33,80,332,88,64,5,4.17,0.24,95.40,1910,4,'PMW3389',11843
'DEV_Z44DLR','GPT583729','HyperX','MDL3450','7.8.1','Wired',16.0,'Medium','false',1.20,85,156,153,0,4,4.74,0.71,97.30,8597,5,'Optical',22450
'DEV_T5XOGZ','GPT880799','SteelSeries','MDL7494','1.6.4','Wired',18.0,'High','false',1.87,16,146,154,0,3,3.01,0.61,94.00,22868,3,'Optical',16976
'DEV_AQKRJK','GPT241128','Razer','MDL3998','8.7.3','Wireless 2.4GHz',6.0,'Medium','false',0.47,47,412,152,0,4,0.87,0.41,91.80,12389,1,'Laser',5314
'DEV_09W3KS','GPT369460','Razer','MDL6372','5.2.5','Wireless 2.4GHz',6.0,'Low','false',1.75,43,442,127,32,1,3.32,1.89,97.60,21830,2,'PMW3389',15394
'DEV_Y5U65F','GPT826413','Logitech','MDL5147','7.3.0','Bluetooth',10.0,'High','false',0.13,23,313,138,64,3,3.05,1.45,90.30,3319,4,'Optical',22935
'DEV_J9L9IF','GPT309740','SteelSeries','MDL7508','7.3.2','Wired',6.0,'Medium','false',1.62,33,252,167,16,5,1.81,1.32,97.00,10741,5,'Laser',3936
'DEV_NUO9DA','GPT728771','Corsair','MDL7401','1.3.6','Wireless 2.4GHz',20.0,'Medium','false',0.51,61,188,123,8,5,2.75,1.19,96.90,7194,1,'Laser',18637
'DEV_E345LX','GPT874132','Razer','MDL7613','5.0.0','Bluetooth',19.0,'Low','false',0.51,70,427,153,8,2,3.99,0.66,90.40,10855,3,'PMW3389',2009
'DEV_N7Y1JH','GPT582955','SteelSeries','MDL1558','9.1.8','Wireless 2.4GHz',12.0,'Low','false',1.51,70,149,176,0,5,3.81,0.17,99.10,17720,5,'Optical',18259
'DEV_A0YFQ4','GPT474842','Corsair','MDL9989','9.7.9','Wireless 2.4GHz',16.0,'Low','false',0.85,27,246,146,64,4,0.47,0.40,98.50,17348,4,'Optical',8039
'DEV_WX3AG8','GPT901066','SteelSeries','MDL3135','4.0.2','Wireless 2.4GHz',12.0,'High','false',0.44,62,276,196,32,2,2.12,0.26,98.50,4694,4,'PAW3399',14107
'DEV_VQO1YU','GPT148983','HyperX','MDL2909','3.7.0','Wireless 2.4GHz',13.0,'High','false',1.43,40,455,59,64,2,3.33,1.67,98.70,24585,2,'PAW3399',9103
'DEV_UJUDVW','GPT810215','Corsair','MDL4471','1.0.6','Wireless 2.4GHz',12.0,'Low','false',1.36,68,256,125,64,1,0.80,0.37,90.40,23899,3,'Optical',15583
'DEV_83QF51','GPT943505','HyperX','MDL9450','5.5.0','Wireless 2.4GHz',8.0,'Low','false',1.37,26,405,192,32,5,2.26,0.56,90.70,23845,5,'PAW3399',1765
