'PERF_F82J4K','GPT287164',36,360,0.8,'false','Light',0.49,52679106,'Optical',20,91.8
'PERF_UFXS4T','GPT831546',32,396,1.6,'false','Medium',1.83,36886488,'Optical',23,96.8
'PERF_3PQ3KQ','GPT573068',38,273,1.2,'false','Light',0.51,32306990,'Optical',20,90.2
'PERF_YZFPWY','GPT776383',45,388,1.6,'false','Heavy',1.49,59331383,'Mechanical',17,94.8
'PERF_QSEXX3','GPT694476',24,271,1.4,'false','Heavy',0.15,66633391,'Magnetic',14,96.2
'PERF_A6MKF5','GPT269441',23,440,0.6,'false','Heavy',1.29,29608647,'Mechanical',21,93.8
'PERF_H50EHL','GPT490710',45,286,1.0,'false','Light',0.68,22285963,'Magnetic',21,91.8
'PERF_3ZZGII','GPT264115',23,349,3.0,'false','Light',1.98,25388491,'Magnetic',12,90.4
'PERF_SEGB09','GPT681675',28,339,2.8,'false','Medium',1.45,34990551,'Magnetic',23,95.3
'PERF_LJLGHK','GPT736637',26,421,2.1,'false','Light',0.80,67248472,'Magnetic',22,91.9
'PERF_VX0TMS','GPT230771',35,447,0.5,'false','Light',0.81,41287223,'Optical',18,97.1
'PERF_VQ5QT0','GPT341983',36,386,0.5,'false','Heavy',0.11,26655486,'Magnetic',13,96.0
'PERF_IR0AK5','GPT351002',49,290,2.8,'false','Medium',0.29,44279719,'Mechanical',24,97.0
'PERF_AE7EO2','GPT335987',38,421,1.4,'false','Light',1.53,56890997,'Optical',15,97.4
'PERF_8V7BX5','GPT441137',34,442,1.9,'false','Medium',1.61,60495572,'Optical',23,99.1
'PERF_LFZH9H','GPT123209',34,369,0.5,'false','Light',0.26,43582725,'Magnetic',14,95.5
'PERF_OHC69R','GPT228783',36,342,1.0,'false','Medium',1.75,47385810,'Magnetic',20,91.8
'PERF_ES0H1Z','GPT583729',34,400,2.5,'false','Heavy',0.47,47303579,'Magnetic',24,96.4
'PERF_2CMYJK','GPT880799',21,259,1.6,'false','Heavy',0.19,64764011,'Mechanical',18,94.2
'PERF_K1G1CT','GPT241128',27,410,1.6,'false','Light',0.67,39672300,'Magnetic',19,91.0
'PERF_XTMU2P','GPT369460',39,445,2.4,'false','Heavy',0.54,21100028,'Optical',20,96.1
'PERF_57RO8C','GPT826413',31,287,2.3,'false','Light',1.06,34692087,'Mechanical',20,91.4
'PERF_KHBA4P','GPT309740',34,353,2.2,'false','Heavy',0.87,47280756,'Optical',21,90.5
'PERF_OZWIKY','GPT728771',21,280,2.8,'false','Light',0.13,62789437,'Magnetic',24,90.9
'PERF_V6GC2M','GPT874132',25,366,1.9,'false','Medium',1.68,59402430,'Optical',20,93.3
'PERF_VWVJTR','GPT582955',34,446,1.7,'false','Light',1.06,21962350,'Mechanical',16,99.3
'PERF_1BPQ41','GPT474842',42,308,0.7,'false','Medium',0.85,35648874,'Optical',12,96.6
'PERF_WCNRD8','GPT901066',30,310,2.4,'false','Heavy',0.42,27563771,'Optical',12,92.0
'PERF_45JP0H','GPT148983',21,408,0.9,'false','Medium',0.52,50055295,'Magnetic',16,92.2
'PERF_YQE8B7','GPT810215',34,346,1.3,'false','Heavy',0.91,55228381,'Magnetic',14,94.0
'PERF_OQUTD7','GPT943505',23,258,1.1,'false','Light',0.81,33426438,'Magnetic',21,93.2
'PERF_HCBFSE','GPT639299',49,289,0.6,'false','Medium',0.27,46143524,'Magnetic',21,95.1
'PERF_MDFQCA','GPT434778',39,402,1.4,'false','Light',0.93,37120036,'Magnetic',15,90.1
'PERF_YPCZNY','GPT541936',24,314,0.6,'false','Light',1.70,54824328,'Magnetic',15,92.8
'PERF_VCGJ8J','GPT783946',29,422,1.4,'false','Light',1.90,32043089,'Magnetic',22,94.6
'PERF_ET2OFM','GPT536395',26,448,2.8,'false','Light',0.88,61722926,'Magnetic',18,94.3
'PERF_U6YYL4','GPT286956',24,303,2.2,'false','Medium',0.95,28412514,'Mechanical',22,98.5
'PERF_IY35IZ','GPT833908',47,258,0.7,'false','Light',1.62,61723206,'Mechanical',23,93.3
'PERF_MFT880','GPT522599',38,402,2.2,'false','Heavy',1.60,34028947,'Magnetic',18,99.8
'PERF_U4N3R0','GPT115657',37,371,2.0,'false','Heavy',1.14,30335579,'Magnetic',12,97.4
'PERF_FGTWDZ','GPT480277',25,320,1.0,'false','Light',0.41,51301858,'Optical',13,95.3
'PERF_5NL7B1','GPT378587',32,430,2.5,'false','Heavy',1.97,68915721,'Magnetic',13,90.5
'PERF_2B5EA2','GPT934407',38,416,0.8,'false','Medium',1.79,24740095,'Magnetic',12,100.0
'PERF_7PI6UO','GPT496915',35,345,2.1,'false','Medium',1.50,33724685,'Optical',18,96.3
'PERF_3IV32W','GPT177296',34,331,2.1,'false','Light',1.69,58596806,'Magnetic',19,92.0
'PERF_FWDKLC','GPT964208',46,351,2.9,'false','Medium',0.18,38946956,'Optical',14,97.3
'PERF_XSBRGL','GPT878421',46,324,2.3,'false','Light',1.42,26615825,'Magnetic',12,90.3
'PERF_UJ1U1L','GPT219858',46,273,2.1,'false','Heavy',0.80,40078006,'Magnetic',17,93.8
'PERF_XAR9M1','GPT780714',37,274,2.1,'false','Light',1.27,29481731,'Optical',17,97.9
'PERF_Q1QZHT','GPT700786',48,398,2.9,'false','Medium',1.06,55991517,'Mechanical',24,92.0
'PERF_6OTZGH','GPT275227',45,338,0.8,'false','Light',1.58,52892759,'Optical',22,98.2
'PERF_YDNTA1','GPT521769',20,270,2.1,'false','Medium',0.23,55444347,'Magnetic',15,95.5
'PERF_CDF9Y1','GPT612657',41,364,1.5,'false','Light',1.81,47773069,'Optical',19,99.8
'PERF_3RIUHK','GPT309124',39,287,0.8,'false','Medium',0.97,54635017,'Mechanical',21,90.3
'PERF_PZ63Y2','GPT564654',50,376,2.5,'false','Light',1.80,36416238,'Magnetic',18,93.1
'PERF_W2GCZZ','GPT984673',37,306,1.9,'false','Heavy',1.54,53561228,'Magnetic',20,97.5
'PERF_QZK9QE','GPT475009',33,418,0.7,'false','Medium',0.61,48329147,'Mechanical',21,93.1
