'MECH_JOL75L','PERF_F82J4K','DEV_RQ33OK',75.80,3.3,'Membrane',74090272,65,'2KRO',97.0,95.2,1.72,1.4,2.4,1.9,3.4,'Minimal','PCB Mount',1.4,'ABS','Double Shot',1,'true',0,6
'MECH_0WBA9L','PERF_UFXS4T','DEV_UPPRRQ',79.90,2.4,'Mechanical',27318594,68,'6KRO',99.3,95.2,1.17,2.4,1.4,1.6,3.7,'Minimal','PCB Mount',1.4,'ABS','Dye Sub',1,'false',15,9
'MECH_Q9PD87','PERF_3PQ3KQ','DEV_E2VRHA',79.30,1.9,'Mechanical',76894521,102,'6KRO',92.6,94.8,0.85,1.6,1.5,2.3,4.0,'Minimal','Screw-in',1.0,'ABS','Double Shot',1,'false',8,8
'MECH_ZQDCCU','PERF_YZFPWY','DEV_3WOOVM',70.00,3.2,'Membrane',25318273,27,'6KRO',92.2,95.8,1.76,1.7,2.3,2.4,3.4,'Minimal','PCB Mount',1.1,'Double Shot PBT','Laser Etched',6,'true',7,9
'MECH_UB7PHG','PERF_QSEXX3','DEV_QCDP8I',56.60,3.8,'Optical',94876295,59,'NKRO',99.1,93.8,0.61,1.7,2.3,1.9,3.1,'Moderate','Plate Mount',1.2,'Double Shot PBT','Double Shot',2,'false',12,1
'MECH_6A5M05','PERF_A6MKF5','DEV_4LUGO5',51.40,3.8,'Optical',94493586,90,'NKRO',98.8,90.9,1.09,1.1,1.0,1.7,3.1,'Minimal','PCB Mount',1.1,'Double Shot PBT','Double Shot',0,'false',1,4
'MECH_M3U6YQ','PERF_H50EHL','DEV_2GUB4J',49.00,1.5,'Optical',55689132,26,'2KRO',98.0,96.2,0.63,1.5,2.1,2.3,3.5,'Moderate','Plate Mount',1.1,'PBT','Double Shot',7,'false',4,1
'MECH_J8U6KY','PERF_3ZZGII','DEV_W2S3ZH',67.50,1.7,'Magnetic',58014408,75,'2KRO',90.7,97.7,1.97,1.1,1.8,1.8,3.1,'Minimal','PCB Mount',1.2,'PBT','Laser Etched',6,'false',10,7
'MECH_MWOJOE','PERF_SEGB09','DEV_1NC9JB',78.70,3.8,'Membrane',34825426,8,'NKRO',90.9,99.7,1.89,1.9,1.8,1.5,3.2,'Moderate','PCB Mount',1.1,'Double Shot PBT','Laser Etched',2,'false',5,1
'MECH_I7AOG8','PERF_LJLGHK','DEV_GUWPMM',58.10,3.2,'Membrane',90191729,69,'6KRO',91.4,94.4,1.05,1.6,2.1,1.8,3.4,'Minimal','PCB Mount',1.3,'PBT','Dye Sub',4,'true',14,6
'MECH_1Y7FGK','PERF_VX0TMS','DEV_1HW85J',54.10,2.7,'Magnetic',55654929,64,'NKRO',99.8,90.8,0.11,1.8,1.3,1.5,3.8,'Moderate','PCB Mount',1.1,'Double Shot PBT','Dye Sub',5,'true',10,8
'MECH_LERUMS','PERF_VQ5QT0','DEV_GCO57C',45.60,3.5,'Optical',42146402,13,'2KRO',95.9,92.4,0.53,1.5,2.0,2.3,3.8,'Moderate','Screw-in',1.4,'ABS','Dye Sub',5,'false',13,10
'MECH_CCW6OC','PERF_IR0AK5','DEV_MWUZD4',74.80,3.4,'Membrane',31769603,76,'6KRO',90.4,98.3,1.03,1.2,2.1,1.5,3.2,'Moderate','Screw-in',1.5,'Double Shot PBT','Dye Sub',8,'true',0,7
'MECH_EX9UNW','PERF_AE7EO2','DEV_90S2JO',48.10,2.7,'Membrane',45774000,74,'6KRO',90.4,99.9,0.22,1.4,2.4,2.1,3.0,'Minimal','Plate Mount',1.3,'ABS','Laser Etched',5,'false',11,6
'MECH_BGO4W2','PERF_8V7BX5','DEV_PV8C8F',75.40,2.8,'Optical',47330833,43,'NKRO',98.0,98.9,0.36,1.8,1.7,1.5,3.7,'Minimal','PCB Mount',1.2,'PBT','Dye Sub',9,'true',6,8
'MECH_Q534TA','PERF_LFZH9H','DEV_A739Z2',65.40,3.5,'Membrane',79844986,26,'2KRO',93.5,92.7,0.71,1.8,2.3,2.2,3.7,'Minimal','Screw-in',1.4,'ABS','Double Shot',9,'true',3,7
'MECH_CUKUAL','PERF_OHC69R','DEV_LG977R',65.90,3.8,'Optical',21977507,7,'2KRO',95.0,90.4,0.68,1.2,1.7,2.1,3.3,'None','Plate Mount',1.3,'Double Shot PBT','Double Shot',1,'true',0,4
'MECH_RXS0F2','PERF_ES0H1Z','DEV_Z44DLR',61.70,2.4,'Magnetic',44819048,77,'NKRO',96.5,93.5,0.05,1.8,2.0,1.7,3.6,'Minimal','Screw-in',1.2,'ABS','Laser Etched',8,'true',15,8
'MECH_FDQS79','PERF_2CMYJK','DEV_T5XOGZ',46.50,2.5,'Optical',35432968,93,'NKRO',96.3,93.3,0.47,1.5,1.2,2.1,3.6,'Minimal','Plate Mount',1.1,'PBT','Double Shot',9,'false',7,5
'MECH_VG34QU','PERF_K1G1CT','DEV_AQKRJK',50.30,1.5,'Membrane',67458195,96,'NKRO',91.4,98.8,1.12,1.0,1.8,1.9,4.0,'Moderate','PCB Mount',1.4,'Double Shot PBT','Double Shot',9,'false',0,9
