'AUD_62KLBY','DEV_RQ33OK','PERF_F82J4K',54.4,'Silent',26,15.0,-34.00,'87-14667Hz',16,108,1.82,'17-22680Hz',53,'Stereo',9,'false','Passive','4.0',21,217.70,'true',6,771.6
'AUD_HN6IA9','DEV_UPPRRQ','PERF_UFXS4T',37.2,'Silent',21,3.1,-42.00,'38-19153Hz',64,108,1.11,'18-28862Hz',50,'5.1',6,'false','Active','5.0',25,147.00,'false',11,979.7
'AUD_QYXW48','DEV_E2VRHA','PERF_3PQ3KQ',63.6,'Thocky',15,11.5,-38.00,'42-10348Hz',16,99,0.81,'19-20571Hz',53,'7.1',4,'false','Active','5.1',19,200.20,'false',9,373.9
'AUD_7BM7RB','DEV_3WOOVM','PERF_YZFPWY',42.2,'Silent',11,4.2,-50.00,'56-16558Hz',64,91,1.88,'23-32282Hz',53,'Stereo',7,'false','Active','4.0',7,230.70,'true',8,750.7
'AUD_T6B09U','DEV_QCDP8I','PERF_QSEXX3',54.1,'Clicky',21,3.1,-37.00,'100-11690Hz',16,104,1.96,'27-25505Hz',40,'Stereo',5,'false','Active','5.0',18,228.70,'false',1,863.9
'AUD_UJ4WK0','DEV_4LUGO5','PERF_A6MKF5',49.6,'Clicky',29,5.1,-38.00,'79-19563Hz',64,106,0.82,'27-27890Hz',50,'5.1',10,'false','Active','5.0',13,286.10,'true',24,915.3
'AUD_VHV1E9','DEV_2GUB4J','PERF_H50EHL',52.3,'Linear',29,4.4,-41.00,'61-18184Hz',16,110,0.85,'30-30401Hz',40,'7.1',3,'false','Active','5.1',9,129.10,'false',28,627.5
'AUD_506Y3W','DEV_W2S3ZH','PERF_3ZZGII',44.2,'Silent',12,3.4,-47.00,'55-14202Hz',64,108,0.86,'24-20093Hz',53,'Stereo',5,'false','None','5.1',10,286.50,'true',6,914.7
'AUD_DUNJP8','DEV_1NC9JB','PERF_SEGB09',62.8,'Thocky',18,4.9,-43.00,'79-12225Hz',32,100,0.98,'22-39662Hz',50,'7.1',7,'false','Active','5.2',15,294.50,'false',1,187.4
'AUD_7FKQ89','DEV_GUWPMM','PERF_LJLGHK',58.6,'Clicky',18,18.1,-43.00,'89-18917Hz',64,103,1.59,'25-38696Hz',53,'5.1',7,'false','None','5.0',28,144.40,'false',15,527.5
'AUD_VKXWNV','DEV_1HW85J','PERF_VX0TMS',48.2,'Thocky',11,18.3,-41.00,'66-19769Hz',64,110,0.90,'11-37463Hz',40,'7.1',7,'false','Active','5.1',23,208.60,'true',16,947.2
'AUD_JQMF9L','DEV_GCO57C','PERF_VQ5QT0',54.6,'Linear',28,6.2,-43.00,'81-13324Hz',16,91,1.50,'26-38720Hz',50,'5.1',8,'false','Passive','5.2',17,164.30,'true',17,737.6
'AUD_CA2F7D','DEV_MWUZD4','PERF_IR0AK5',32.6,'Clicky',27,12.0,-45.00,'53-12809Hz',16,107,1.80,'18-37290Hz',50,'5.1',6,'false','Active','5.2',19,145.70,'true',19,863.9
'AUD_77VO8L','DEV_90S2JO','PERF_AE7EO2',66.4,'Linear',16,16.4,-30.00,'50-13074Hz',16,104,1.40,'26-25209Hz',53,'5.1',7,'false','Passive','5.0',27,126.70,'false',5,948.7
'AUD_1DEHXR','DEV_PV8C8F','PERF_8V7BX5',59.5,'Thocky',11,1.2,-36.00,'79-15126Hz',32,95,0.73,'29-38420Hz',40,'5.1',5,'false','Passive','5.1',20,213.40,'false',13,684.8
'AUD_Z7FISN','DEV_A739Z2','PERF_LFZH9H',60.1,'Thocky',16,18.9,-45.00,'23-19857Hz',32,93,0.25,'14-38220Hz',40,'Stereo',10,'false','Passive','5.0',10,227.20,'false',24,165.0
'AUD_N8NL5P','DEV_LG977R','PERF_OHC69R',53.9,'Linear',13,14.0,-31.00,'57-14691Hz',16,91,0.63,'19-39543Hz',40,'7.1',7,'false','Active','5.2',11,100.60,'false',29,548.1
'AUD_WTTE0R','DEV_Z44DLR','PERF_ES0H1Z',30.3,'Clicky',11,9.0,-48.00,'67-18382Hz',32,106,0.79,'11-27374Hz',53,'7.1',10,'false','Passive','5.2',25,114.20,'false',29,773.0
'AUD_X6OA1M','DEV_T5XOGZ','PERF_2CMYJK',38.8,'Thocky',13,19.3,-37.00,'64-14091Hz',16,99,1.54,'19-28252Hz',40,'Stereo',10,'false','Active','5.0',6,155.20,'false',9,894.2
'AUD_INIQ4N','DEV_AQKRJK','PERF_K1G1CT',55.9,'Thocky',30,16.4,-46.00,'34-10587Hz',64,108,0.70,'17-28764Hz',50,'5.1',6,'false','Passive','5.1',9,228.10,'false',13,349.3
'AUD_IT468S','DEV_09W3KS','PERF_XTMU2P',31.9,'Clicky',18,17.1,-49.00,'48-18854Hz',32,97,0.41,'21-20150Hz',53,'7.1',6,'false','None','5.2',28,252.10,'true',26,599.8
'AUD_V32TAZ','DEV_Y5U65F','PERF_57RO8C',49.0,'Clicky',14,17.2,-47.00,'67-15113Hz',64,95,0.65,'21-27595Hz',40,'Stereo',4,'false','Active','5.0',10,151.80,'false',20,991.2
'AUD_Z9LRYU','DEV_J9L9IF','PERF_KHBA4P',49.0,'Linear',29,13.0,-47.00,'53-17556Hz',64,108,0.40,'16-26380Hz',53,'Stereo',4,'false','Active','5.0',19,242.00,'false',30,134.8
'AUD_K1JGOD','DEV_NUO9DA','PERF_OZWIKY',42.5,'Thocky',19,12.7,-39.00,'24-13948Hz',32,105,0.79,'28-31207Hz',53,'5.1',9,'false','Passive','5.1',10,239.50,'true',21,469.9
